PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
58990,2001/01/02,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,55.375,57.625,56.188,231400.000,-0.007726,,,66462.000,1.000,1.000,57.500,,-0.007726,-0.034,-0.034,-0.001,-0.001,-0.028
58990,2001/01/03,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,56.062,58.875,58.562,366700.000,0.042269,,,66462.000,1.000,1.000,56.062,,0.042269,0.053,0.053,0.046,0.046,0.050
58990,2001/01/04,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,57.875,61.938,61.562,435600.000,0.051227,,,66462.000,1.000,1.000,58.312,,0.051227,-0.012,-0.012,0.011,0.011,-0.011
58990,2001/01/05,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,58.000,61.250,58.938,363200.000,-0.042640,,,66462.000,1.000,1.000,61.125,,-0.042640,-0.029,-0.029,-0.009,-0.009,-0.026
58990,2001/01/08,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,56.625,58.562,57.500,335300.000,-0.024390,,,66462.000,1.000,1.000,58.500,,-0.024390,-0.003,-0.004,-0.005,-0.005,-0.002
58990,2001/01/09,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,56.250,57.375,56.625,302200.000,-0.015217,,,66462.000,1.000,1.000,56.750,,-0.015217,0.005,0.005,0.012,0.012,0.004
58990,2001/01/10,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,55.625,56.812,56.562,310800.000,-0.001104,,,66462.000,1.000,1.000,56.812,,-0.001104,0.014,0.014,0.021,0.020,0.010
58990,2001/01/11,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,56.188,58.438,57.562,243300.000,0.017680,,,66462.000,1.000,1.000,56.188,,0.017680,0.015,0.015,0.027,0.027,0.010
58990,2001/01/12,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,56.500,58.250,57.938,169600.000,0.006515,,,66462.000,1.000,1.000,57.562,,0.006515,-0.004,-0.004,0.019,0.019,-0.006
58990,2001/01/16,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,56.625,57.812,57.750,118200.000,-0.003236,,,66462.000,1.000,1.000,57.375,,-0.003236,0.006,0.006,0.019,0.019,0.006
58990,2001/01/17,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,57.875,59.625,59.500,381700.000,0.030303,,,66462.000,1.000,1.000,58.250,,0.030303,0.004,0.004,0.013,0.013,0.002
58990,2001/01/18,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,58.625,60.375,59.812,437300.000,0.005252,,,66462.000,1.000,1.000,59.125,,0.005252,0.012,0.012,0.009,0.008,0.014
58990,2001/01/19,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,58.500,59.812,59.500,297400.000,-0.005225,,,66462.000,1.000,1.000,59.062,,-0.005225,-0.004,-0.004,0.004,0.004,-0.004
58990,2001/01/22,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,58.188,59.500,58.375,194200.000,-0.018908,,,66462.000,1.000,1.000,59.500,,-0.018908,0.000,0.000,0.005,0.005,0.000
58990,2001/01/23,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,58.000,59.438,59.250,291500.000,0.014989,,,66462.000,1.000,1.000,58.125,,0.014989,0.016,0.016,0.015,0.015,0.013
58990,2001/01/24,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,58.375,59.125,58.688,141400.000,-0.009494,,,66462.000,1.000,1.000,59.125,,-0.009494,0.003,0.003,0.007,0.007,0.003
58990,2001/01/25,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,57.875,59.750,59.625,211300.000,0.015974,,,66462.000,1.000,1.000,58.000,,0.015974,-0.008,-0.008,-0.003,-0.003,-0.005
58990,2001/01/26,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,57.875,59.438,59.250,205800.000,-0.006289,,,66462.000,1.000,1.000,58.875,,-0.006289,-0.001,-0.001,0.002,0.002,-0.002
58990,2001/01/29,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,,,,,,,,,,,,,,,,,,,,59.040,60.080,59.950,267600.000,0.011814,,,66462.000,1.000,1.000,59.260,,0.011814,0.009,0.009,0.010,0.010,0.007
58990,2001/01/30,,11,1,2711,26056110,DJ,DOW JONES & CO INC,,,,N,A,R,1366,1751,1,2711,26056110,,,,,,2001/03/01,2001/02/01,0.000,,,1232.000,0.250,0.000,0.000,,,,,,,,,,,59.150,61.280,61.260,403800.000,0.026022,,,66462.000,1.000,1.000,59.500,,0.021852,0.007,0.007,0.010,0.009,0.007
