PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
90373,2004/10/29,2008/04/24,18,1,6798,25386810,DLR,DIGITAL REALTY TRUST INC,,DLR,525930,N,A,R,45684,0,1,6798,25386810,,,,,,,,0.000,67.000,679.000,,,,,,,,,,,,,,,12.000,12.010,12.000,5951800.000,C,12.000,12.010,20000.000,1.000,1.000,12.000,,C,0.002,0.002,0.002,0.002,0.002
90373,2004/11/01,,18,1,6798,25386810,DLR,DIGITAL REALTY TRUST INC,,DLR,525930,N,A,R,45684,0,1,6798,25386810,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,12.000,12.010,12.000,764400.000,0.000000,12.000,12.010,20000.000,1.000,1.000,12.000,,0.000000,0.001,0.001,0.002,0.002,0.000
90373,2004/11/02,,18,1,6798,25386810,DLR,DIGITAL REALTY TRUST INC,,DLR,525930,N,A,R,45684,0,1,6798,25386810,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,12.000,12.010,12.000,970900.000,0.000000,12.000,12.010,20000.000,1.000,1.000,12.000,,0.000000,0.000,0.000,0.000,0.000,0.000
90373,2004/11/03,,18,1,6798,25386810,DLR,DIGITAL REALTY TRUST INC,,DLR,525930,N,A,R,45684,0,1,6798,25386810,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,12.010,12.200,12.150,633600.000,0.012500,12.110,12.150,20000.000,1.000,1.000,12.020,,0.012500,0.012,0.011,0.010,0.010,0.011
90373,2004/11/04,,18,1,6798,25386810,DLR,DIGITAL REALTY TRUST INC,,DLR,525930,N,A,R,45684,0,1,6798,25386810,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,12.050,12.180,12.060,311200.000,-0.007407,12.040,12.060,20000.000,1.000,1.000,12.180,,-0.007407,0.014,0.014,0.008,0.008,0.016
90373,2004/11/05,,18,1,6798,25386810,DLR,DIGITAL REALTY TRUST INC,,DLR,525930,N,A,R,45684,0,1,6798,25386810,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,12.000,12.100,12.080,391800.000,0.001658,12.000,12.100,20000.000,1.000,1.000,12.050,,0.001658,0.004,0.004,0.005,0.005,0.004
90373,2004/11/08,,18,1,6798,25386810,DLR,DIGITAL REALTY TRUST INC,,DLR,525930,N,A,R,45684,0,1,6798,25386810,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,12.000,12.130,12.010,91100.000,-0.005795,12.000,12.040,20000.000,1.000,1.000,12.130,,-0.005795,-0.001,-0.001,-0.001,-0.001,-0.001
90373,2004/11/09,,18,1,6798,25386810,DLR,DIGITAL REALTY TRUST INC,,DLR,525930,N,A,R,45684,0,1,6798,25386810,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,12.000,12.060,12.010,97600.000,0.000000,12.000,12.050,20000.000,1.000,1.000,12.000,,0.000000,0.001,0.000,0.005,0.005,-0.001
90373,2004/11/10,,18,1,6798,25386810,DLR,DIGITAL REALTY TRUST INC,,DLR,525930,N,A,R,45684,0,1,6798,25386810,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,12.000,12.040,12.010,177500.000,0.000000,12.000,12.020,20000.000,1.000,1.000,12.000,,0.000000,0.001,0.000,0.005,0.005,-0.001
90373,2004/11/11,,18,1,6798,25386810,DLR,DIGITAL REALTY TRUST INC,,DLR,525930,N,A,R,45684,0,1,6798,25386810,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,12.000,12.020,12.020,92700.000,0.000833,12.010,12.020,20000.000,1.000,1.000,12.000,,0.000833,0.009,0.009,0.009,0.009,0.009
