PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
82298,2001/01/02,,11,1,1381,25271C10,DO,DIAMOND OFFSHORE DRILLING INC,,,,N,A,R,30963,0,1,1381,25271C10,,,,,,,,,,,,,,,,,,,,,,,,,39.688,41.312,39.938,679300.000,-0.001563,39.625,41.938,134020.000,1.000,1.000,40.062,,-0.001563,-0.034,-0.034,-0.001,-0.001,-0.028
82298,2001/01/03,,11,1,1381,25271C10,DO,DIAMOND OFFSHORE DRILLING INC,,,,N,A,R,30963,0,1,1381,25271C10,,,,,,,,,,,,,,,,,,,,,,,,,37.750,40.062,37.812,1295900.000,-0.053208,37.438,38.062,134020.000,1.000,1.000,39.688,,-0.053208,0.053,0.053,0.046,0.046,0.050
82298,2001/01/04,,11,1,1381,25271C10,DO,DIAMOND OFFSHORE DRILLING INC,,,,N,A,R,30963,0,1,1381,25271C10,,,,,,,,,,,,,,,,,,,,,,,,,35.625,37.625,37.125,1487600.000,-0.018182,,,134020.000,1.000,1.000,37.562,,-0.018182,-0.012,-0.012,0.011,0.011,-0.011
82298,2001/01/05,,11,1,1381,25271C10,DO,DIAMOND OFFSHORE DRILLING INC,,,,N,A,R,30963,0,1,1381,25271C10,,,,,,,,,,,,,,,,,,,,,,,,,37.000,38.562,37.562,852600.000,0.011785,,,134020.000,1.000,1.000,37.375,,0.011785,-0.029,-0.029,-0.009,-0.009,-0.026
82298,2001/01/08,,11,1,1381,25271C10,DO,DIAMOND OFFSHORE DRILLING INC,,,,N,A,R,30963,0,1,1381,25271C10,,,,,,,,,,,,,,,,,,,,,,,,,37.250,38.438,37.688,879800.000,0.003328,,,134020.000,1.000,1.000,37.750,,0.003328,-0.003,-0.004,-0.005,-0.005,-0.002
82298,2001/01/09,,11,1,1381,25271C10,DO,DIAMOND OFFSHORE DRILLING INC,,,,N,A,R,30963,0,1,1381,25271C10,,,,,,,,,,,,,,,,,,,,,,,,,38.000,39.000,38.250,703100.000,0.014925,,,134020.000,1.000,1.000,38.375,,0.014925,0.005,0.005,0.012,0.012,0.004
82298,2001/01/10,,11,1,1381,25271C10,DO,DIAMOND OFFSHORE DRILLING INC,,,,N,A,R,30963,0,1,1381,25271C10,,,,,,,,,,,,,,,,,,,,,,,,,37.500,38.875,37.875,1444000.000,-0.009804,,,134020.000,1.000,1.000,37.500,,-0.009804,0.014,0.014,0.021,0.020,0.010
82298,2001/01/11,,11,1,1381,25271C10,DO,DIAMOND OFFSHORE DRILLING INC,,,,N,A,R,30963,0,1,1381,25271C10,,,,,,,,,,,,,,,,,,,,,,,,,37.375,38.625,38.000,1032100.000,0.003300,,,134020.000,1.000,1.000,38.125,,0.003300,0.015,0.015,0.027,0.027,0.010
82298,2001/01/12,,11,1,1381,25271C10,DO,DIAMOND OFFSHORE DRILLING INC,,,,N,A,R,30963,0,1,1381,25271C10,,,,,,,,,,,,,,,,,,,,,,,,,37.438,38.500,38.438,946100.000,0.011513,,,134020.000,1.000,1.000,38.062,,0.011513,-0.004,-0.004,0.019,0.019,-0.006
82298,2001/01/16,,11,1,1381,25271C10,DO,DIAMOND OFFSHORE DRILLING INC,,,,N,A,R,30963,0,1,1381,25271C10,,,,,,,,,,,,,,,,,,,,,,,,,37.938,39.375,38.875,775200.000,0.011382,,,134020.000,1.000,1.000,39.188,,0.011382,0.006,0.006,0.019,0.019,0.006
