PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
92618,2008/05/07,2018/07/09,11,1,2086,26138E10,DPS,DR PEPPER SNAPPLE GROUP INC,,DPS,312111,N,A,R,52990,0,1,2086,26138E10,,,,,,,,0.000,20.000,208.000,,,,,,,,,,,,,,,24.800,25.800,25.500,38943400.000,C,25.500,25.500,253500.000,1.000,1.000,25.200,,C,-0.016,-0.016,-0.012,-0.012,-0.018
92618,2008/05/08,,11,1,2086,26138E10,DPS,DR PEPPER SNAPPLE GROUP INC,,DPS,312111,N,A,R,52990,0,1,2086,26138E10,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,24.740,25.830,25.400,12468500.000,-0.003922,25.100,25.190,253500.000,1.000,1.000,25.580,,-0.003922,0.005,0.005,0.002,0.002,0.004
92618,2008/05/09,,11,1,2086,26138E10,DPS,DR PEPPER SNAPPLE GROUP INC,,DPS,312111,N,A,R,52990,0,1,2086,26138E10,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,24.940,25.400,25.240,9746900.000,-0.006299,25.160,25.310,253500.000,1.000,1.000,25.100,,-0.006299,-0.005,-0.005,-0.001,-0.001,-0.007
92618,2008/05/12,,11,1,2086,26138E10,DPS,DR PEPPER SNAPPLE GROUP INC,,DPS,312111,N,A,R,52990,0,1,2086,26138E10,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,25.100,26.850,25.570,7921800.000,0.013074,25.590,25.630,253500.000,1.000,1.000,25.110,,0.013074,0.011,0.011,0.011,0.011,0.011
92618,2008/05/13,,11,1,2086,26138E10,DPS,DR PEPPER SNAPPLE GROUP INC,,DPS,312111,N,A,R,52990,0,1,2086,26138E10,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,25.200,25.920,25.900,4518700.000,0.012906,25.840,25.890,253500.000,1.000,1.000,25.380,,0.012906,0.001,0.001,0.003,0.002,-0.000
92618,2008/05/14,,11,1,2086,26138E10,DPS,DR PEPPER SNAPPLE GROUP INC,,DPS,312111,N,A,R,52990,0,1,2086,26138E10,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,24.600,26.310,26.170,4295500.000,0.010425,25.950,26.220,253500.000,1.000,1.000,25.500,,0.010425,0.003,0.003,0.002,0.002,0.004
92618,2008/05/15,,11,1,2086,26138E10,DPS,DR PEPPER SNAPPLE GROUP INC,,DPS,312111,N,A,R,52990,0,1,2086,26138E10,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,25.580,26.410,26.030,3969300.000,-0.005350,26.030,26.080,253500.000,1.000,1.000,25.750,,-0.005350,0.011,0.011,0.008,0.008,0.011
92618,2008/05/16,,11,1,2086,26138E10,DPS,DR PEPPER SNAPPLE GROUP INC,,DPS,312111,N,A,R,52990,0,1,2086,26138E10,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,25.670,26.750,26.500,11418200.000,0.018056,26.520,26.540,253500.000,1.000,1.000,25.860,,0.018056,0.002,0.002,0.001,0.001,0.001
92618,2008/05/19,,11,1,2086,26138E10,DPS,DR PEPPER SNAPPLE GROUP INC,,DPS,312111,N,A,R,52990,0,1,2086,26138E10,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,25.970,26.450,26.070,5645000.000,-0.016226,26.030,26.040,253500.000,1.000,1.000,26.150,,-0.016226,-0.000,-0.000,-0.000,-0.001,0.001
92618,2008/05/20,,11,1,2086,26138E10,DPS,DR PEPPER SNAPPLE GROUP INC,,DPS,312111,N,A,R,52990,0,1,2086,26138E10,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,25.000,25.940,25.550,8338000.000,-0.019946,25.560,25.600,253500.000,1.000,1.000,25.700,,-0.019946,-0.006,-0.006,-0.003,-0.004,-0.009
