PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
75341,2001/01/02,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.688,25.438,24.938,536400.000,0.012690,24.875,25.062,127535.000,1.000,1.000,25.375,,0.012690,-0.034,-0.034,-0.001,-0.001,-0.028
75341,2001/01/03,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.688,25.438,25.062,302400.000,0.005013,24.938,25.125,127535.000,1.000,1.000,24.688,,0.005013,0.053,0.053,0.046,0.046,0.050
75341,2001/01/04,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.562,25.312,25.312,225700.000,0.009975,25.000,25.375,127535.000,1.000,1.000,25.312,,0.009975,-0.012,-0.012,0.011,0.011,-0.011
75341,2001/01/05,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.625,25.438,24.938,315600.000,-0.014815,24.812,25.000,127535.000,1.000,1.000,25.312,,-0.014815,-0.029,-0.029,-0.009,-0.009,-0.026
75341,2001/01/08,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.250,25.000,24.438,246100.000,-0.020050,24.375,24.562,127535.000,1.000,1.000,24.688,,-0.020050,-0.003,-0.004,-0.005,-0.005,-0.002
75341,2001/01/09,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.312,24.875,24.500,524500.000,0.002558,24.375,24.562,127535.000,1.000,1.000,24.688,,0.002558,0.005,0.005,0.012,0.012,0.004
75341,2001/01/10,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.375,25.000,24.750,253900.000,0.010204,24.625,24.938,127535.000,1.000,1.000,24.500,,0.010204,0.014,0.014,0.021,0.020,0.010
75341,2001/01/11,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.500,25.000,24.625,142400.000,-0.005051,24.500,24.688,127535.000,1.000,1.000,24.750,,-0.005051,0.015,0.015,0.027,0.027,0.010
75341,2001/01/12,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.562,24.812,24.750,102700.000,0.005076,24.625,24.812,127535.000,1.000,1.000,24.625,,0.005076,-0.004,-0.004,0.019,0.019,-0.006
75341,2001/01/16,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.375,24.875,24.750,181000.000,0.000000,24.625,24.812,127535.000,1.000,1.000,24.875,,0.000000,0.006,0.006,0.019,0.019,0.006
75341,2001/01/17,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.625,24.938,24.688,232500.000,-0.002525,24.688,24.812,127535.000,1.000,1.000,24.938,,-0.002525,0.004,0.004,0.013,0.013,0.002
75341,2001/01/18,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.500,24.750,24.500,138200.000,-0.007595,24.500,24.625,127535.000,1.000,1.000,24.750,,-0.007595,0.012,0.012,0.009,0.008,0.014
75341,2001/01/19,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.250,24.688,24.625,191700.000,0.005102,24.500,24.688,127535.000,1.000,1.000,24.688,,0.005102,-0.004,-0.004,0.004,0.004,-0.004
75341,2001/01/22,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.500,24.875,24.750,176800.000,0.005076,24.625,24.812,127535.000,1.000,1.000,24.625,,0.005076,0.000,0.000,0.005,0.005,0.000
75341,2001/01/23,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.625,24.750,24.750,180600.000,0.000000,24.625,24.812,127535.000,1.000,1.000,24.688,,0.000000,0.016,0.016,0.015,0.015,0.013
75341,2001/01/24,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.625,25.062,24.750,464600.000,0.000000,24.625,24.812,127535.000,1.000,1.000,24.750,,0.000000,0.003,0.003,0.007,0.007,0.003
75341,2001/01/25,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.562,24.938,24.875,200000.000,0.005051,24.750,24.875,127535.000,1.000,1.000,24.562,,0.005051,-0.008,-0.008,-0.003,-0.003,-0.005
75341,2001/01/26,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.562,24.875,24.688,320300.000,-0.007538,24.562,24.750,127535.000,1.000,1.000,24.875,,-0.007538,-0.001,-0.001,0.002,0.002,-0.002
75341,2001/01/29,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.580,24.800,24.720,206000.000,0.001316,24.690,24.730,127535.000,1.000,1.000,24.750,,0.001316,0.009,0.009,0.010,0.010,0.007
75341,2001/01/30,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.600,24.850,24.680,215900.000,-0.001618,,,127535.000,1.000,1.000,24.750,,-0.001618,0.007,0.007,0.010,0.009,0.007
75341,2001/01/31,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,0.000,,,,,,,,,,,,,,,,,24.700,24.980,24.980,257300.000,0.012156,24.750,25.200,127535.000,1.000,1.000,24.800,,0.012156,-0.007,-0.007,-0.000,-0.000,-0.006
75341,2001/02/01,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.670,24.980,24.740,192700.000,-0.009608,23.720,25.200,127535.000,1.000,1.000,24.980,,-0.009608,0.004,0.004,0.002,0.002,0.005
75341,2001/02/02,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.380,24.900,24.610,220900.000,-0.005255,23.590,24.890,127535.000,1.000,1.000,24.900,,-0.005255,-0.019,-0.019,-0.009,-0.009,-0.017
75341,2001/02/05,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.250,24.650,24.280,210400.000,-0.013409,23.250,24.790,127535.000,1.000,1.000,24.650,,-0.013409,0.002,0.002,-0.004,-0.004,0.004
75341,2001/02/06,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.250,24.490,24.320,277000.000,0.001647,,,127535.000,1.000,1.000,24.450,,0.001647,0.000,0.000,0.002,0.002,-0.002
75341,2001/02/07,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,24.090,24.290,24.100,307300.000,-0.009046,,,127535.000,1.000,1.000,24.250,,-0.009046,-0.009,-0.009,-0.004,-0.004,-0.008
75341,2001/02/08,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,23.700,24.100,23.700,259100.000,-0.016597,,,127535.000,1.000,1.000,23.990,,-0.016597,-0.006,-0.007,-0.003,-0.003,-0.006
75341,2001/02/09,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,23.230,23.790,23.250,404300.000,-0.018987,,,127535.000,1.000,1.000,23.750,,-0.018987,-0.014,-0.014,-0.009,-0.009,-0.013
75341,2001/02/12,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,2001/01/31,,,,,2001/02/28,2001/02/14,0.000,,,1232.000,0.430,0.000,0.000,,,,,,,,,,,22.940,23.250,23.030,10977900.000,0.009032,,,127535.000,1.000,1.000,23.250,,-0.009462,0.010,0.010,0.005,0.005,0.012
75341,2001/02/13,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,22.830,23.230,22.900,565200.000,-0.005645,,,127535.000,1.000,1.000,23.200,,-0.005645,-0.009,-0.009,-0.003,-0.004,-0.009
75341,2001/02/14,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,22.830,23.400,23.350,240900.000,0.019651,,,127535.000,1.000,1.000,22.990,,0.019651,-0.000,-0.000,-0.000,-0.001,-0.002
75341,2001/02/15,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,23.180,23.480,23.370,186800.000,0.000857,,,127535.000,1.000,1.000,23.250,,0.000857,0.009,0.009,0.009,0.009,0.008
75341,2001/02/16,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,23.150,23.620,23.280,152700.000,-0.003851,,,127535.000,1.000,1.000,23.620,,-0.003851,-0.021,-0.021,-0.014,-0.014,-0.019
75341,2001/02/20,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,23.000,23.340,23.240,133900.000,-0.001718,,,127535.000,1.000,1.000,23.280,,-0.001718,-0.019,-0.019,-0.012,-0.012,-0.017
75341,2001/02/21,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,22.630,23.250,22.780,203200.000,-0.019793,,,127535.000,1.000,1.000,23.000,,-0.019793,-0.018,-0.018,-0.016,-0.016,-0.019
75341,2001/02/22,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,22.380,22.680,22.450,382200.000,-0.014486,,,127535.000,1.000,1.000,22.530,,-0.014486,-0.005,-0.005,-0.011,-0.011,-0.002
75341,2001/02/23,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,22.440,23.000,22.600,369700.000,0.006681,,,127535.000,1.000,1.000,22.490,,0.006681,-0.004,-0.004,-0.003,-0.003,-0.006
75341,2001/02/26,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,22.500,23.100,23.050,141200.000,0.019911,,,127535.000,1.000,1.000,22.500,,0.019911,0.019,0.019,0.016,0.016,0.017
75341,2001/02/27,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,23.000,23.190,23.190,133400.000,0.006074,,,127535.000,1.000,1.000,23.190,,0.006074,-0.012,-0.012,-0.012,-0.012,-0.008
75341,2001/02/28,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,0.000,,,,,,,,,,,,,,,,,22.550,23.120,22.900,327900.000,-0.012505,,,127535.000,1.000,1.000,22.950,,-0.012505,-0.014,-0.014,-0.008,-0.008,-0.014
75341,2001/03/01,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,22.950,23.650,23.650,270500.000,0.032751,,,127535.000,1.000,1.000,22.950,,0.032751,0.000,0.000,-0.006,-0.006,0.001
75341,2001/03/02,,18,1,6798,26441150,DRE,DUKE WEEKS REALTY CORP,,,,N,A,R,20609,0,1,6798,26441150,,,,,,,,,,,,,,,,,,,,,,,,,23.690,24.050,23.860,267600.000,0.008880,22.850,24.400,127535.000,1.000,1.000,23.900,,0.008880,-0.005,-0.005,0.005,0.005,-0.006
