PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
16851,2017/09/01,2018/12/31,11,1,2821,26078J10,DWDP,DOWDUPONT INC,,DWDP,325211,N,A,R,56027,0,1,2821,26078J10,,,,,,,,2.000,28.000,282.000,,,,,,,,,,,,,,,65.660,67.300,67.180,7341133.000,C,67.020,67.030,2335972.000,1.000,1.000,66.660,,C,0.003,0.003,0.006,0.006,0.002
16851,2017/09/05,,11,1,2821,26078J10,DWDP,DOWDUPONT INC,,DWDP,325211,N,A,R,56027,0,1,2821,26078J10,,,,,,,,,28.000,282.000,,,,,,,,,,,,,,,64.980,67.170,64.980,10832692.000,-0.032748,64.980,64.990,2335972.000,1.000,1.000,67.020,,-0.032748,-0.008,-0.008,-0.006,-0.006,-0.008
16851,2017/09/06,,11,1,2821,26078J10,DWDP,DOWDUPONT INC,,DWDP,325211,N,A,R,56027,0,1,2821,26078J10,,,,,,,,,28.000,282.000,,,,,,,,,,,,,,,64.010,65.330,64.870,10345913.000,-0.001693,64.850,64.860,2335972.000,1.000,1.000,65.200,,-0.001693,0.003,0.003,0.003,0.003,0.003
16851,2017/09/07,,11,1,2821,26078J10,DWDP,DOWDUPONT INC,,DWDP,325211,N,A,R,56027,0,1,2821,26078J10,,,,,,,,,28.000,282.000,,,,,,,,,,,,,,,64.220,64.950,64.680,6382521.000,-0.002929,64.730,64.740,2335972.000,1.000,1.000,64.600,,-0.002929,-0.000,-0.000,0.001,0.001,-0.000
16851,2017/09/08,,11,1,2821,26078J10,DWDP,DOWDUPONT INC,,DWDP,325211,N,A,R,56027,0,1,2821,26078J10,,,,,,,,,28.000,282.000,,,,,,,,,,,,,,,64.640,65.200,64.850,8099999.000,0.002628,64.890,64.900,2335972.000,1.000,1.000,64.900,,0.002628,-0.001,-0.001,-0.001,-0.001,-0.001
16851,2017/09/11,,11,1,2821,26078J10,DWDP,DOWDUPONT INC,,DWDP,325211,N,A,R,56027,0,1,2821,26078J10,,,,,,,,,28.000,282.000,,,,,,,,,,,,,,,65.200,67.160,66.850,11567033.000,0.030840,66.810,66.820,2335972.000,1.000,1.000,65.250,,0.030840,0.010,0.010,0.009,0.009,0.011
16851,2017/09/12,,11,1,2821,26078J10,DWDP,DOWDUPONT INC,,DWDP,325211,N,A,R,56027,0,1,2821,26078J10,,,,,,,,,28.000,282.000,,,,,,,,,,,,,,,67.801,69.250,68.520,14631020.000,0.024981,68.500,68.510,2335972.000,1.000,1.000,68.200,,0.024981,0.004,0.004,0.004,0.004,0.003
16851,2017/09/13,,11,1,2821,26078J10,DWDP,DOWDUPONT INC,,DWDP,325211,N,A,R,56027,0,1,2821,26078J10,,,,,,,,,28.000,282.000,,,,,,,,,,,,,,,68.290,69.600,69.500,9223585.000,0.014302,69.470,69.480,2335972.000,1.000,1.000,68.900,,0.014302,0.001,0.001,0.003,0.003,0.001
16851,2017/09/14,,11,1,2821,26078J10,DWDP,DOWDUPONT INC,,DWDP,325211,N,A,R,56027,0,1,2821,26078J10,,,,,,,,,28.000,282.000,,,,,,,,,,,,,,,69.220,70.300,70.020,12264841.000,0.007482,70.060,70.070,2335972.000,1.000,1.000,69.600,,0.007482,-0.000,-0.001,0.000,-0.000,-0.001
16851,2017/09/15,,11,1,2821,26078J10,DWDP,DOWDUPONT INC,,DWDP,325211,N,A,R,56027,0,1,2821,26078J10,,,,,,,,,28.000,282.000,,,,,,,,,,,,,,,69.500,70.700,69.860,32382148.000,-0.002285,69.980,69.990,2335972.000,1.000,1.000,70.260,,-0.002285,0.002,0.002,0.002,0.002,0.002
