PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
15720,2001/01/02,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,14.938,15.562,15.000,2496800.000,-0.040000,,,325811.000,1.000,1.000,15.500,,-0.040000,-0.034,-0.034,-0.001,-0.001,-0.028
15720,2001/01/03,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,12.250,15.812,12.250,9574600.000,-0.183333,,,325811.000,1.000,1.000,15.000,,-0.183333,0.053,0.053,0.046,0.046,0.050
15720,2001/01/04,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,6.250,11.750,10.750,29014500.000,-0.122449,10.000,10.688,325811.000,1.000,1.000,8.250,,-0.122449,-0.012,-0.012,0.011,0.011,-0.011
15720,2001/01/05,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,9.500,11.500,10.312,8091100.000,-0.040698,,,325811.000,1.000,1.000,9.500,,-0.040698,-0.029,-0.029,-0.009,-0.009,-0.026
15720,2001/01/08,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,9.875,12.250,12.000,6502500.000,0.163636,,,325811.000,1.000,1.000,9.875,,0.163636,-0.003,-0.004,-0.005,-0.005,-0.002
15720,2001/01/09,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,11.000,11.625,11.125,6429400.000,-0.072917,11.000,11.688,325811.000,1.000,1.000,11.375,,-0.072917,0.005,0.005,0.012,0.012,0.004
15720,2001/01/10,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,10.625,11.500,11.250,7176000.000,0.011236,,,325811.000,1.000,1.000,11.000,,0.011236,0.014,0.014,0.021,0.020,0.010
15720,2001/01/11,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,10.125,11.000,10.500,5623900.000,-0.066667,,,325811.000,1.000,1.000,11.000,,-0.066667,0.015,0.015,0.027,0.027,0.010
15720,2001/01/12,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,10.000,10.562,10.188,6662500.000,-0.029762,,,325811.000,1.000,1.000,10.500,,-0.029762,-0.004,-0.004,0.019,0.019,-0.006
15720,2001/01/16,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,8.312,9.875,9.562,7393000.000,-0.061350,,,325811.000,1.000,1.000,8.625,,-0.061350,0.006,0.006,0.019,0.019,0.006
15720,2001/01/17,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,8.688,9.875,8.875,9403200.000,-0.071895,,,325811.000,1.000,1.000,9.375,,-0.071895,0.004,0.004,0.013,0.013,0.002
15720,2001/01/18,,11,1,4931,28102010,EIX,EDISON INTERNATIONAL,,,,N,A,R,21543,0,1,4911,28102010,,,,,,,,,,,,,,,,,,,,,,,,,8.000,9.500,9.000,8046100.000,0.014085,,,325811.000,1.000,1.000,8.938,,0.014085,0.012,0.012,0.009,0.008,0.014
