PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
77481,2001/12/31,2002/01/01,11,1,4922,28336L10,EP,EL PASO CORP,,,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,0.000,49.000,492.000,,,,,,,,,,,,,,,44.500,45.700,44.610,1319000.000,-0.024278,44.580,44.860,528001.000,1.000,1.000,45.000,,-0.024278,-0.010,-0.010,0.007,0.007,-0.011
77481,2002/01/02,2004/06/09,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,2.000,49.000,492.000,,,,,,,,,,,,,,,43.600,45.850,45.710,2697000.000,0.024658,45.510,45.880,528001.000,1.000,1.000,45.550,,0.024658,0.004,0.004,0.008,0.008,0.006
77481,2002/01/03,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,44.050,45.750,44.700,1715400.000,-0.022096,44.540,44.850,528001.000,1.000,1.000,45.600,,-0.022096,0.010,0.010,0.013,0.013,0.009
77481,2002/01/04,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,44.000,45.200,44.520,1970300.000,-0.004027,44.420,44.750,528001.000,1.000,1.000,44.950,,-0.004027,0.007,0.007,0.011,0.011,0.006
77481,2002/01/07,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,44.620,45.660,45.140,2022300.000,0.013926,44.980,45.290,528001.000,1.000,1.000,45.250,,0.013926,-0.007,-0.007,-0.000,-0.000,-0.006
77481,2002/01/08,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,44.150,45.000,44.600,1305800.000,-0.011963,44.440,44.760,528001.000,1.000,1.000,44.700,,-0.011963,-0.002,-0.003,0.005,0.005,-0.004
77481,2002/01/09,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,43.700,44.840,43.700,2813300.000,-0.020179,43.520,43.860,528001.000,1.000,1.000,44.600,,-0.020179,-0.004,-0.004,0.001,0.001,-0.005
77481,2002/01/10,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,42.830,43.800,43.360,1974700.000,-0.007780,43.200,43.520,528001.000,1.000,1.000,43.700,,-0.007780,0.001,0.001,0.000,0.000,0.001
77481,2002/01/11,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,41.300,43.490,41.770,3281900.000,-0.036670,41.560,41.930,528001.000,1.000,1.000,43.360,,-0.036670,-0.009,-0.009,-0.004,-0.004,-0.009
77481,2002/01/14,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,40.200,41.800,41.170,2655900.000,-0.014364,41.020,41.330,528001.000,1.000,1.000,41.770,,-0.014364,-0.008,-0.008,-0.010,-0.010,-0.006
77481,2002/01/15,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,41.100,43.100,41.800,2256600.000,0.015302,41.610,41.950,528001.000,1.000,1.000,43.000,,0.015302,0.006,0.006,0.001,0.001,0.007
77481,2002/01/16,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,40.490,41.450,40.630,2462200.000,-0.027990,40.480,40.830,528001.000,1.000,1.000,41.310,,-0.027990,-0.016,-0.016,-0.011,-0.011,-0.016
77481,2002/01/17,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,39.690,41.000,39.810,2454600.000,-0.020182,39.610,39.960,528001.000,1.000,1.000,41.000,,-0.020182,0.010,0.010,0.007,0.007,0.010
77481,2002/01/18,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,39.000,40.110,39.300,3693900.000,-0.012811,39.130,39.460,528001.000,1.000,1.000,39.000,,-0.012811,-0.010,-0.010,-0.006,-0.006,-0.010
77481,2002/01/22,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,37.920,39.450,37.920,3659100.000,-0.035115,37.750,38.080,528001.000,1.000,1.000,39.400,,-0.035115,-0.008,-0.008,-0.008,-0.008,-0.007
77481,2002/01/23,,11,1,4922,28336L10,EP,EL PASO CORP,,EP,,N,A,R,22983,0,1,4922,28336L10,,,,,,,,,49.000,492.000,,,,,,,,,,,,,,,37.740,38.600,38.000,3887300.000,0.002110,38.000,38.130,528001.000,1.000,1.000,37.750,,0.002110,0.009,0.009,0.008,0.008,0.008
