PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
24328,2001/01/02,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,63.750,66.688,64.500,193200.000,-0.033708,64.438,64.625,32636.000,7.602,4.000,66.688,,-0.033708,-0.034,-0.034,-0.001,-0.001,-0.028
24328,2001/01/03,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,57.000,64.812,61.125,629100.000,-0.052326,61.062,61.250,32636.000,7.602,4.000,64.562,,-0.052326,0.053,0.053,0.046,0.046,0.050
24328,2001/01/04,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,55.375,61.250,56.812,239700.000,-0.070552,56.750,56.938,32636.000,7.602,4.000,60.500,,-0.070552,-0.012,-0.012,0.011,0.011,-0.011
24328,2001/01/05,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,56.812,59.250,57.938,171200.000,0.019802,57.750,58.062,32636.000,7.602,4.000,56.812,,0.019802,-0.029,-0.029,-0.009,-0.009,-0.026
24328,2001/01/08,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,57.812,59.562,59.312,248400.000,0.023732,59.188,59.375,32636.000,7.602,4.000,58.188,,0.023732,-0.003,-0.004,-0.005,-0.005,-0.002
24328,2001/01/09,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,57.875,59.375,59.375,99500.000,0.001054,59.250,59.438,32636.000,7.602,4.000,59.312,,0.001054,0.005,0.005,0.012,0.012,0.004
24328,2001/01/10,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,58.000,59.375,58.562,81900.000,-0.013684,58.375,58.625,32636.000,7.602,4.000,59.375,,-0.013684,0.014,0.014,0.021,0.020,0.010
24328,2001/01/11,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,57.312,59.000,58.000,57300.000,-0.009605,57.875,58.062,32636.000,7.602,4.000,58.750,,-0.009605,0.015,0.015,0.027,0.027,0.010
24328,2001/01/12,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,57.438,58.500,57.938,66000.000,-0.001078,57.750,58.062,32636.000,7.602,4.000,58.000,,-0.001078,-0.004,-0.004,0.019,0.019,-0.006
24328,2001/01/16,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,57.688,59.000,58.312,74300.000,0.006472,58.188,58.750,32636.000,7.602,4.000,57.938,,0.006472,0.006,0.006,0.019,0.019,0.006
24328,2001/01/17,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,58.250,59.125,58.312,218200.000,0.000000,58.188,58.375,32636.000,7.602,4.000,58.312,,0.000000,0.004,0.004,0.013,0.013,0.002
24328,2001/01/18,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,57.188,58.438,57.812,114400.000,-0.008574,57.688,58.062,32636.000,7.602,4.000,58.312,,-0.008574,0.012,0.012,0.009,0.008,0.014
24328,2001/01/19,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,56.312,58.125,56.812,197400.000,-0.017297,56.688,57.000,32636.000,7.602,4.000,57.812,,-0.017297,-0.004,-0.004,0.004,0.004,-0.004
24328,2001/01/22,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,56.438,57.500,57.438,156700.000,0.011001,57.375,57.562,32636.000,7.602,4.000,56.562,,0.011001,0.000,0.000,0.005,0.005,0.000
24328,2001/01/23,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,57.312,58.000,57.875,136500.000,0.007617,57.812,58.000,32636.000,7.602,4.000,57.312,,0.007617,0.016,0.016,0.015,0.015,0.013
24328,2001/01/24,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,57.750,59.438,59.188,144300.000,0.022678,59.125,59.312,32636.000,7.602,4.000,57.750,,0.022678,0.003,0.003,0.007,0.007,0.003
24328,2001/01/25,,11,1,4923,29454910,EQT,EQUITABLE RESOURCES INC,,,,N,A,R,20662,0,1,1311,26884L10,,,,,,,,,,,,,,,,,,,,,,,,,58.625,59.250,59.000,123900.000,-0.003168,58.875,59.062,32636.000,7.602,4.000,59.062,,-0.003168,-0.008,-0.008,-0.003,-0.003,-0.005
