PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
80681,2001/01/02,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,54.250,54.938,54.312,36500.000,-0.007991,54.062,54.500,18655.000,1.000,1.000,54.750,,-0.007991,-0.034,-0.034,-0.001,-0.001,-0.028
80681,2001/01/03,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,54.375,55.938,55.938,77300.000,0.029919,55.688,56.188,18655.000,1.000,1.000,54.375,,0.029919,0.053,0.053,0.046,0.046,0.050
80681,2001/01/04,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,55.000,55.812,55.062,92300.000,-0.015642,54.875,55.188,18655.000,1.000,1.000,55.688,,-0.015642,-0.012,-0.012,0.011,0.011,-0.011
80681,2001/01/05,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.500,55.062,51.812,192300.000,-0.059024,51.625,52.000,18655.000,1.000,1.000,55.000,,-0.059024,-0.029,-0.029,-0.009,-0.009,-0.026
80681,2001/01/08,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.875,52.500,52.062,130900.000,0.004825,51.875,52.312,18655.000,1.000,1.000,52.188,,0.004825,-0.003,-0.004,-0.005,-0.005,-0.002
80681,2001/01/09,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.625,52.250,52.000,70600.000,-0.001200,51.750,52.250,18655.000,1.000,1.000,52.125,,-0.001200,0.005,0.005,0.012,0.012,0.004
80681,2001/01/10,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.438,52.500,52.500,142600.000,0.009615,52.312,52.688,18655.000,1.000,1.000,52.250,,0.009615,0.014,0.014,0.021,0.020,0.010
80681,2001/01/11,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.938,52.625,52.000,42100.000,-0.009524,51.812,52.125,18655.000,1.000,1.000,52.625,,-0.009524,0.015,0.015,0.027,0.027,0.010
80681,2001/01/12,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,52.062,52.312,52.188,10500.000,0.003606,51.875,52.312,18655.000,1.000,1.000,52.125,,0.003606,-0.004,-0.004,0.019,0.019,-0.006
80681,2001/01/16,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.500,52.125,52.000,34500.000,-0.003593,51.750,52.250,18655.000,1.000,1.000,52.125,,-0.003593,0.006,0.006,0.019,0.019,0.006
80681,2001/01/17,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.312,51.938,51.688,25700.000,-0.006010,51.438,51.875,18655.000,1.000,1.000,51.938,,-0.006010,0.004,0.004,0.013,0.013,0.002
80681,2001/01/18,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.250,51.812,51.688,46500.000,0.000000,51.500,52.000,18655.000,1.000,1.000,51.625,,0.000000,0.012,0.012,0.009,0.008,0.014
80681,2001/01/19,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.312,51.688,51.375,31100.000,-0.006046,51.188,51.688,18655.000,1.000,1.000,51.562,,-0.006046,-0.004,-0.004,0.004,0.004,-0.004
80681,2001/01/22,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,50.750,51.625,50.938,52400.000,-0.008516,50.688,51.188,18655.000,1.000,1.000,51.625,,-0.008516,0.000,0.000,0.005,0.005,0.000
80681,2001/01/23,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.125,51.688,51.688,19500.000,0.014724,51.438,51.812,18655.000,1.000,1.000,51.188,,0.014724,0.016,0.016,0.015,0.015,0.013
80681,2001/01/24,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.000,51.812,51.188,13300.000,-0.009674,50.812,51.312,18655.000,1.000,1.000,51.812,,-0.009674,0.003,0.003,0.007,0.007,0.003
80681,2001/01/25,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.000,51.625,51.438,39400.000,0.004884,51.250,51.625,18655.000,1.000,1.000,51.000,,0.004884,-0.008,-0.008,-0.003,-0.003,-0.005
80681,2001/01/26,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,50.500,51.000,50.750,32800.000,-0.013366,50.625,51.000,18655.000,1.000,1.000,50.812,,-0.013366,-0.001,-0.001,0.002,0.002,-0.002
80681,2001/01/29,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.000,51.300,51.300,36700.000,0.010837,51.240,51.360,18655.000,1.000,1.000,51.000,,0.010837,0.009,0.009,0.010,0.010,0.007
80681,2001/01/30,,18,1,6798,29717810,ESS,ESSEX PROPERTY TRUST INC,,,,N,A,R,30421,0,1,6798,29717810,,,,,,,,,,,,,,,,,,,,,,,,,51.500,51.600,51.590,21400.000,0.005653,51.500,51.610,18655.000,1.000,1.000,51.500,,0.005653,0.007,0.007,0.010,0.009,0.007
