PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
83862,2006/12/27,2010/06/01,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,0.000,62.000,621.000,,,,,,,,,,,1.000,6.000,42.000,4.000,22.650,22.950,22.700,2184397.000,0.003093,22.710,22.740,427007.000,0.100,0.100,22.910,5773.000,0.003093,0.008,0.007,0.009,0.008,0.007
83862,2006/12/28,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,0.000,62.000,621.000,,,,,,,,,,,1.000,6.000,43.000,4.000,22.460,23.000,22.620,2492895.000,-0.003524,22.600,22.610,427007.000,0.100,0.100,22.700,8110.000,-0.003524,-0.001,-0.001,-0.000,-0.001,-0.001
83862,2006/12/29,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,0.000,62.000,621.000,,,,,,,,,,,1.000,6.000,43.000,4.000,22.360,22.710,22.420,2753088.000,-0.008842,22.410,22.420,426304.000,0.100,0.100,22.500,6939.000,-0.008842,-0.005,-0.005,-0.001,-0.001,-0.005
83862,2007/01/03,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,0.000,62.000,621.000,,,,,,,,,,,1.000,6.000,44.000,4.000,22.500,23.020,22.910,4604961.000,0.021855,22.900,22.910,426304.000,0.100,0.100,22.600,16162.000,0.021855,-0.001,-0.002,-0.000,-0.000,-0.001
83862,2007/01/04,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,0.000,62.000,621.000,,,,,,,,,,,1.000,6.000,45.000,4.000,22.920,23.350,23.290,5710577.000,0.016587,23.270,23.290,426304.000,0.100,0.100,23.000,16291.000,0.016587,0.001,0.001,0.001,0.001,0.001
83862,2007/01/05,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,0.000,62.000,621.000,,,,,,,,,,,1.000,6.000,47.000,4.000,22.820,23.280,23.090,3594515.000,-0.008587,23.050,23.090,426304.000,0.100,0.100,23.150,12171.000,-0.008587,-0.007,-0.007,-0.010,-0.010,-0.006
83862,2007/01/08,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,0.000,62.000,621.000,,,,,,,,,,,1.000,6.000,48.000,4.000,22.950,23.560,23.510,4004015.000,0.018190,23.510,23.520,426304.000,0.100,0.100,23.090,11702.000,0.018190,0.003,0.002,0.002,0.002,0.002
83862,2007/01/09,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,0.000,62.000,621.000,,,,,,,,,,,1.000,6.000,49.000,4.000,23.100,23.670,23.320,3771237.000,-0.008082,23.290,23.320,426304.000,0.100,0.100,23.490,11712.000,-0.008082,-0.000,-0.000,0.000,0.000,-0.001
83862,2007/01/10,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.110,23.710,23.590,3184904.000,0.011578,23.590,23.610,426304.000,0.100,0.100,23.250,11267.000,0.011578,0.002,0.002,0.001,0.001,0.002
83862,2007/01/11,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.450,24.190,24.110,2911533.000,0.022043,24.120,24.130,426304.000,0.100,0.100,23.620,10730.000,0.022043,0.007,0.007,0.008,0.008,0.006
83862,2007/01/12,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,0.000,62.000,621.000,,,,,,,,,,,1.000,6.000,50.000,4.000,23.890,25.210,25.020,7615329.000,0.037744,25.020,25.040,426304.000,0.100,0.100,23.930,19276.000,0.037744,0.006,0.006,0.007,0.007,0.005
83862,2007/01/16,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,0.000,62.000,621.000,,,,,,,,,,,1.000,6.000,52.000,4.000,25.160,26.080,25.450,8024479.000,0.017186,25.460,25.480,426304.000,0.100,0.100,25.180,19584.000,0.017186,0.000,0.000,0.001,0.001,0.001
83862,2007/01/17,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,24.910,25.490,25.020,5481334.000,-0.016896,24.990,25.020,426304.000,0.100,0.100,25.380,17700.000,-0.016896,-0.001,-0.001,-0.000,-0.000,-0.001
83862,2007/01/18,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,24.610,25.220,24.710,5163256.000,-0.012390,24.710,24.750,426304.000,0.100,0.100,25.020,17150.000,-0.012390,-0.005,-0.005,-0.007,-0.007,-0.003
83862,2007/01/19,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.760,24.500,24.080,6771399.000,-0.025496,24.110,24.130,426304.000,0.100,0.100,24.475,22104.000,-0.025496,0.004,0.004,0.005,0.005,0.003
83862,2007/01/22,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.910,24.300,24.200,4546430.000,0.004983,24.210,24.220,426304.000,0.100,0.100,24.190,11689.000,0.004983,-0.005,-0.005,-0.004,-0.004,-0.005
83862,2007/01/23,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.690,24.210,23.880,5569863.000,-0.013223,23.870,23.880,426304.000,0.100,0.100,24.090,17753.000,-0.013223,0.005,0.005,0.006,0.006,0.004
83862,2007/01/24,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.950,24.690,24.670,5005427.000,0.033082,24.630,24.640,426304.000,0.100,0.100,24.000,14410.000,0.033082,0.009,0.009,0.007,0.007,0.009
83862,2007/01/25,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.900,24.760,23.970,2778985.000,-0.028375,23.970,23.990,426304.000,0.100,0.100,24.580,10357.000,-0.028375,-0.011,-0.011,-0.008,-0.008,-0.011
83862,2007/01/26,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.650,24.150,23.880,2898505.000,-0.003755,23.860,23.870,426304.000,0.100,0.100,24.010,9359.000,-0.003755,0.000,0.000,0.003,0.003,-0.001
83862,2007/01/29,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.710,24.050,23.800,1908761.000,-0.003350,23.790,23.800,426304.000,0.100,0.100,23.920,7559.000,-0.003350,0.000,0.000,0.003,0.003,-0.001
83862,2007/01/30,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.670,23.980,23.840,2165213.000,0.001681,23.830,23.840,426304.000,0.100,0.100,23.810,6612.000,0.001681,0.006,0.006,0.005,0.005,0.006
83862,2007/01/31,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,23.740,24.510,24.380,3927730.000,0.022651,24.380,24.390,426304.000,0.100,0.100,23.900,12279.000,0.022651,0.006,0.006,0.004,0.003,0.007
83862,2007/02/01,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,24.230,24.890,24.330,3146825.000,-0.002051,24.330,24.360,426304.000,0.100,0.100,24.400,11566.000,-0.002051,0.006,0.006,0.006,0.006,0.005
83862,2007/02/02,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,24.100,24.440,24.240,2023583.000,-0.003699,24.230,24.270,426304.000,0.100,0.100,24.330,7159.000,-0.003699,0.001,0.001,0.002,0.002,0.002
83862,2007/02/05,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,24.020,24.540,24.400,5199481.000,0.006601,24.400,24.410,426304.000,0.100,0.100,24.190,12463.000,0.006601,-0.001,-0.001,-0.001,-0.001,-0.001
83862,2007/02/06,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,24.240,24.500,24.330,2490881.000,-0.002869,24.290,24.330,426304.000,0.100,0.100,24.490,9390.000,-0.002869,0.002,0.002,0.003,0.003,0.001
83862,2007/02/07,,11,3,6211,26924610,ETFC,E TRADE FINANCIAL CORP,,ETFC,523910,Q,A,R,14915,19977,3,6211,26924640,,,,,,,,,62.000,621.000,,,,,,,,,,,,,,,24.250,24.631,24.550,1776210.000,0.009042,24.550,24.550,426304.000,0.100,0.100,24.330,5841.000,0.009042,0.002,0.002,0.004,0.004,0.001
