PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
90305,2004/08/12,2008/04/24,18,1,6798,30225T10,EXR,EXTRA SPACE STORAGE INC,,EXR,525930,N,A,R,45469,0,1,8999,30225T10,,,,,,,,2.000,89.000,899.000,,,,,,,,,,,,,,,12.500,12.770,12.500,3796200.000,C,12.500,12.520,28140.000,1.000,1.000,12.760,,C,-0.012,-0.012,-0.012,-0.012,-0.012
90305,2004/08/13,,18,1,6798,30225T10,EXR,EXTRA SPACE STORAGE INC,,EXR,525930,N,A,R,45469,0,1,8999,30225T10,,,,,,,,,89.000,899.000,,,,,,,,,,,,,,,12.500,12.520,12.500,669300.000,0.000000,12.500,12.510,28140.000,1.000,1.000,12.500,,0.000000,0.002,0.002,0.001,0.001,0.001
90305,2004/08/16,,18,1,6798,30225T10,EXR,EXTRA SPACE STORAGE INC,,EXR,525930,N,A,R,45469,0,1,8999,30225T10,,,,,,,,,89.000,899.000,,,,,,,,,,,,,,,12.500,12.530,12.500,188800.000,0.000000,12.500,12.520,28140.000,1.000,1.000,12.500,,0.000000,0.014,0.014,0.011,0.011,0.014
90305,2004/08/17,,18,1,6798,30225T10,EXR,EXTRA SPACE STORAGE INC,,EXR,525930,N,A,R,45469,0,1,8999,30225T10,,,,,,,,,89.000,899.000,,,,,,,,,,,,,,,12.500,12.540,12.510,153600.000,0.000800,12.500,12.510,28140.000,1.000,1.000,12.500,,0.000800,0.003,0.003,0.004,0.004,0.002
90305,2004/08/18,,18,1,6798,30225T10,EXR,EXTRA SPACE STORAGE INC,,EXR,525930,N,A,R,45469,0,1,8999,30225T10,,,,,,,,,89.000,899.000,,,,,,,,,,,,,,,12.500,12.650,12.510,149800.000,0.000000,12.500,12.510,28140.000,1.000,1.000,12.500,,0.000000,0.013,0.013,0.014,0.014,0.012
90305,2004/08/19,,18,1,6798,30225T10,EXR,EXTRA SPACE STORAGE INC,,EXR,525930,N,A,R,45469,0,1,8999,30225T10,,,,,,,,,89.000,899.000,,,,,,,,,,,,,,,12.500,12.550,12.530,126900.000,0.001599,12.510,12.540,28140.000,1.000,1.000,12.500,,0.001599,-0.003,-0.003,-0.002,-0.002,-0.004
90305,2004/08/20,,18,1,6798,30225T10,EXR,EXTRA SPACE STORAGE INC,,EXR,525930,N,A,R,45469,0,1,8999,30225T10,,,,,,,,,89.000,899.000,,,,,,,,,,,,,,,12.500,12.590,12.550,144900.000,0.001596,12.550,12.580,28140.000,1.000,1.000,12.530,,0.001596,0.008,0.008,0.011,0.011,0.007
90305,2004/08/23,,18,1,6798,30225T10,EXR,EXTRA SPACE STORAGE INC,,EXR,525930,N,A,R,45469,0,1,8999,30225T10,,,,,,,,,89.000,899.000,,,,,,,,,,,,,,,12.500,12.590,12.550,64400.000,0.000000,12.550,12.570,28140.000,1.000,1.000,12.550,,0.000000,-0.003,-0.004,-0.003,-0.003,-0.002
90305,2004/08/24,,18,1,6798,30225T10,EXR,EXTRA SPACE STORAGE INC,,EXR,525930,N,A,R,45469,0,1,8999,30225T10,,,,,,,,,89.000,899.000,,,,,,,,,,,,,,,12.550,12.990,12.980,382900.000,0.034263,12.900,12.990,28140.000,1.000,1.000,12.550,,0.034263,0.001,0.001,0.001,0.001,0.000
90305,2004/08/25,,18,1,6798,30225T10,EXR,EXTRA SPACE STORAGE INC,,EXR,525930,N,A,R,45469,0,1,8999,30225T10,,,,,,,,,89.000,899.000,,,,,,,,,,,,,,,12.750,13.090,13.000,500200.000,0.001541,13.000,13.040,28140.000,1.000,1.000,12.750,,0.001541,0.008,0.008,0.008,0.008,0.008
