PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
25785,2001/01/02,,11,1,3711,34537086,F,FORD MOTOR CO DEL,,,,N,A,R,20750,0,1,3711,34537086,,,,,,,,,,,,,,,,,,,,,,,,,23.750,24.938,24.312,5226500.000,0.037333,23.812,24.812,1825384.000,1.000,1.000,23.812,,0.037333,-0.034,-0.034,-0.001,-0.001,-0.028
25785,2001/01/03,,11,1,3711,34537086,F,FORD MOTOR CO DEL,,,,N,A,R,20750,0,1,3711,34537086,,,,,,,,,,,,,,,,,,,,,,,,,23.875,25.500,25.125,11157800.000,0.033419,24.625,25.500,1825384.000,1.000,1.000,24.562,,0.033419,0.053,0.053,0.046,0.046,0.050
25785,2001/01/04,,11,1,3711,34537086,F,FORD MOTOR CO DEL,,,,N,A,R,20750,0,1,3711,34537086,,,,,,,,,,,,,,,,,,,,,,,,,25.438,28.000,26.938,14896200.000,0.072139,26.438,27.438,1825384.000,1.000,1.000,28.000,,0.072139,-0.012,-0.012,0.011,0.011,-0.011
25785,2001/01/05,,11,1,3711,34537086,F,FORD MOTOR CO DEL,,,,N,A,R,20750,0,1,3711,34537086,,,,,,,,,,,,,,,,,,,,,,,,,25.875,27.000,26.250,6710900.000,-0.025522,25.750,26.750,1825384.000,1.000,1.000,27.000,,-0.025522,-0.029,-0.029,-0.009,-0.009,-0.026
25785,2001/01/08,,11,1,3711,34537086,F,FORD MOTOR CO DEL,,,,N,A,R,20750,0,1,3711,34537086,,,,,,,,,,,,,,,,,,,,,,,,,24.938,26.000,25.625,5900300.000,-0.023810,25.125,26.000,1825384.000,1.000,1.000,25.438,,-0.023810,-0.003,-0.004,-0.005,-0.005,-0.002
25785,2001/01/09,,11,1,3711,34537086,F,FORD MOTOR CO DEL,,,,N,A,R,20750,0,1,3711,34537086,,,,,,,,,,,,,,,,,,,,,,,,,25.562,26.750,26.438,7254400.000,0.031707,26.000,26.938,1825384.000,1.000,1.000,25.750,,0.031707,0.005,0.005,0.012,0.012,0.004
25785,2001/01/10,,11,1,3711,34537086,F,FORD MOTOR CO DEL,,,,N,A,R,20750,0,1,3711,34537086,,,,,,,,,,,,,,,,,,,,,,,,,25.562,26.500,26.250,6974400.000,-0.007092,25.750,26.250,1825384.000,1.000,1.000,25.625,,-0.007092,0.014,0.014,0.021,0.020,0.010
25785,2001/01/11,,11,1,3711,34537086,F,FORD MOTOR CO DEL,,,,N,A,R,20750,0,1,3711,34537086,,,,,,,,,,,,,,,,,,,,,,,,,25.938,27.625,26.938,6835600.000,0.026190,26.438,27.438,1825384.000,1.000,1.000,26.062,,0.026190,0.015,0.015,0.027,0.027,0.010
25785,2001/01/12,,11,1,3711,34537086,F,FORD MOTOR CO DEL,,,,N,A,R,20750,0,1,3711,34537086,,,,,,,,,,,,,,,,,,,,,,,,,25.875,27.062,26.375,5003000.000,-0.020882,25.875,26.875,1825384.000,1.000,1.000,27.000,,-0.020882,-0.004,-0.004,0.019,0.019,-0.006
25785,2001/01/16,,11,1,3711,34537086,F,FORD MOTOR CO DEL,,,,N,A,R,20750,0,1,3711,34537086,,,,,,,,,,,,,,,,,,,,,,,,,26.000,27.438,27.125,6242700.000,0.028436,26.625,27.625,1825384.000,1.000,1.000,26.375,,0.028436,0.006,0.006,0.019,0.019,0.006
