PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
19166,2001/01/02,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,69.000,72.750,69.000,261700.000,-0.037489,,,30465.000,7.432,4.000,71.438,,-0.037489,-0.034,-0.034,-0.001,-0.001,-0.028
19166,2001/01/03,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,68.750,71.250,71.250,248600.000,0.032609,,,30465.000,7.432,4.000,69.688,,0.032609,0.053,0.053,0.046,0.046,0.050
19166,2001/01/04,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,71.125,73.062,72.812,282300.000,0.021930,,,30465.000,7.432,4.000,71.250,,0.021930,-0.012,-0.012,0.011,0.011,-0.011
19166,2001/01/05,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,72.688,73.875,73.125,365500.000,0.004292,,,30465.000,7.432,4.000,73.500,,0.004292,-0.029,-0.029,-0.009,-0.009,-0.026
19166,2001/01/08,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,72.500,75.000,73.938,219700.000,0.011111,,,30465.000,7.432,4.000,73.062,,0.011111,-0.003,-0.004,-0.005,-0.005,-0.002
19166,2001/01/09,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,72.375,73.500,72.875,229400.000,-0.014370,,,30465.000,7.432,4.000,73.000,,-0.014370,0.005,0.005,0.012,0.012,0.004
19166,2001/01/10,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,71.312,75.625,75.375,352900.000,0.034305,,,30465.000,7.432,4.000,72.625,,0.034305,0.014,0.014,0.021,0.020,0.010
19166,2001/01/11,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,72.875,75.375,72.875,307400.000,-0.033167,,,30465.000,7.432,4.000,75.375,,-0.033167,0.015,0.015,0.027,0.027,0.010
19166,2001/01/12,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,71.000,74.500,74.125,271300.000,0.017153,,,30465.000,7.432,4.000,72.875,,0.017153,-0.004,-0.004,0.019,0.019,-0.006
19166,2001/01/16,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,71.625,74.625,74.250,197300.000,0.001686,,,30465.000,7.432,4.000,72.500,,0.001686,0.006,0.006,0.019,0.019,0.006
19166,2001/01/17,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,72.125,74.688,73.625,203500.000,-0.008418,,,30465.000,7.432,4.000,74.500,,-0.008418,0.004,0.004,0.013,0.013,0.002
19166,2001/01/18,,11,1,3523,30249130,FMC,F M C CORP,,,,N,A,R,20681,0,1,2899,30249130,,,,,,,,,,,,,,,,,,,,,,,,,71.500,73.688,72.500,200900.000,-0.015280,,,30465.000,7.432,4.000,73.688,,-0.015280,0.012,0.012,0.009,0.008,0.014
