PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
48020,2008/01/29,2012/05/01,11,2,2341,35582T10,FOH,FREDERICKS HOLLYWOOD GROUP INC,,FOH,315212,A,A,R,21563,0,2,2341,35582T10,,,,,,2008/01/29,2008/01/29,1.000,23.000,234.000,5523.000,0.000,-0.500,-0.500,,,,,,,,,,,3.150,4.100,4.100,21600.000,0.322581,3.720,3.990,8218.000,1.000,1.000,3.150,,0.322581,0.006,0.006,0.008,0.008,0.006
48020,2008/01/30,,11,2,2341,35582T10,FOH,FREDERICKS HOLLYWOOD GROUP INC,,FOH,315212,A,A,R,21563,0,2,2341,35582T10,,,,,,,,,23.000,234.000,,,,,,,,,,,,,,,3.700,4.250,3.970,16900.000,-0.031707,3.900,3.970,8218.000,1.000,1.000,4.000,,-0.031707,-0.005,-0.005,-0.003,-0.003,-0.005
48020,2008/01/31,,11,2,2341,35582T10,FOH,FREDERICKS HOLLYWOOD GROUP INC,,FOH,315212,A,A,R,21563,0,2,2341,35582T10,,,,,,,,0.000,23.000,234.000,,,,,,,,,,,,,,,3.160,3.750,3.450,15700.000,-0.130982,3.400,3.450,8218.000,1.000,1.000,3.750,,-0.130982,0.015,0.015,0.015,0.015,0.017
48020,2008/02/01,,11,2,2341,35582T10,FOH,FREDERICKS HOLLYWOOD GROUP INC,,FOH,315212,A,A,R,21563,0,2,2341,35582T10,,,,,,,,,23.000,234.000,,,,,,,,,,,,,,,3.250,3.550,3.550,7000.000,0.028985,3.450,3.700,8218.000,1.000,1.000,3.490,,0.028985,0.016,0.016,0.016,0.016,0.012
48020,2008/02/04,,11,2,2341,35582T10,FOH,FREDERICKS HOLLYWOOD GROUP INC,,FOH,315212,A,A,R,21563,0,2,2341,35582T10,,,,,,,,,23.000,234.000,,,,,,,,,,,,,,,3.020,3.740,3.650,13700.000,0.028169,3.500,3.650,8218.000,1.000,1.000,3.650,,0.028169,-0.009,-0.009,-0.003,-0.003,-0.010
48020,2008/02/05,,11,2,2341,35582T10,FOH,FREDERICKS HOLLYWOOD GROUP INC,,FOH,315212,A,A,R,21563,0,2,2341,35582T10,,,,,,,,,23.000,234.000,,,,,,,,,,,,,,,3.410,3.620,3.560,3300.000,-0.024658,3.410,3.590,8218.000,1.000,1.000,3.620,,-0.024658,-0.031,-0.031,-0.022,-0.022,-0.032
48020,2008/02/06,,11,2,2341,35582T10,FOH,FREDERICKS HOLLYWOOD GROUP INC,,FOH,315212,A,A,R,21563,0,2,2341,35582T10,,,,,,,,,23.000,234.000,,,,,,,,,,,,,,,3.350,3.600,3.600,7900.000,0.011236,3.500,3.650,8218.000,1.000,1.000,3.450,,0.011236,-0.008,-0.008,-0.007,-0.007,-0.008
48020,2008/02/07,,11,2,2341,35582T10,FOH,FREDERICKS HOLLYWOOD GROUP INC,,FOH,315212,A,A,R,21563,0,2,2341,35582T10,,,,,,,,,23.000,234.000,,,,,,,,,,,,,,,3.410,3.600,3.600,7500.000,0.000000,3.550,3.620,8218.000,1.000,1.000,3.600,,0.000000,0.008,0.008,0.005,0.005,0.008
48020,2008/02/08,,11,2,2341,35582T10,FOH,FREDERICKS HOLLYWOOD GROUP INC,,FOH,315212,A,A,R,21563,0,2,2341,35582T10,,,,,,,,,23.000,234.000,,,,,,,,,,,,,,,3.450,3.600,3.450,9800.000,-0.041667,3.450,3.500,8218.000,1.000,1.000,3.450,,-0.041667,-0.002,-0.002,-0.003,-0.003,-0.004
48020,2008/02/11,,11,2,2341,35582T10,FOH,FREDERICKS HOLLYWOOD GROUP INC,,FOH,315212,A,A,R,21563,0,2,2341,35582T10,,,,,,,,,23.000,234.000,,,,,,,,,,,,,,,3.400,3.500,3.400,1600.000,-0.014464,3.400,3.500,8218.000,1.000,1.000,3.500,,-0.014464,0.006,0.006,0.003,0.003,0.006
