PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
45241,2001/01/02,,11,1,2834,34583810,FRX,FOREST LABS INC,,,,N,A,R,20753,0,1,2834,34583810,,,,,,,,,,,,,,,,,,,,,,,,,127.875,134.438,128.188,630100.000,-0.035278,,,87645.000,4.000,4.000,134.000,,-0.035278,-0.034,-0.034,-0.001,-0.001,-0.028
45241,2001/01/03,,11,1,2834,34583810,FRX,FOREST LABS INC,,,,N,A,R,20753,0,1,2834,34583810,,,,,,,,,,,,,,,,,,,,,,,,,120.750,128.000,121.500,1859700.000,-0.052170,,,87645.000,4.000,4.000,128.000,,-0.052170,0.053,0.053,0.046,0.046,0.050
45241,2001/01/04,,11,1,2834,34583810,FRX,FOREST LABS INC,,,,N,A,R,20753,0,1,2834,34583810,,,,,,,,,,,,,,,,,,,,,,,,,113.000,122.000,114.625,1970200.000,-0.056584,,,87645.000,4.000,4.000,122.000,,-0.056584,-0.012,-0.012,0.011,0.011,-0.011
45241,2001/01/05,,11,1,2834,34583810,FRX,FOREST LABS INC,,,,N,A,R,20753,0,1,2834,34583810,,,,,,,,,,,,,,,,,,,,,,,,,114.875,120.250,117.250,934400.000,0.022901,,,87645.000,4.000,4.000,115.625,,0.022901,-0.029,-0.029,-0.009,-0.009,-0.026
45241,2001/01/08,,11,1,2834,34583810,FRX,FOREST LABS INC,,,,N,A,R,20753,0,1,2834,34583810,,,,,,,,,,,,,,,,,,,,,,,,,111.312,118.875,114.000,1311400.000,-0.027719,,,87645.000,4.000,4.000,118.250,,-0.027719,-0.003,-0.004,-0.005,-0.005,-0.002
45241,2001/01/09,,11,1,2834,34583810,FRX,FOREST LABS INC,,,,N,A,R,20753,0,1,2834,34583810,,,,,,,,,,,,,,,,,,,,,,,,,115.750,123.688,121.500,1555100.000,0.065789,,,87645.000,4.000,4.000,116.000,,0.065789,0.005,0.005,0.012,0.012,0.004
45241,2001/01/10,,11,1,2834,34583810,FRX,FOREST LABS INC,,,,N,A,R,20753,0,1,2834,34583810,,,,,,,,,,,,,,,,,,,,,,,,,119.000,122.625,120.562,911300.000,-0.007716,,,87645.000,4.000,4.000,121.938,,-0.007716,0.014,0.014,0.021,0.020,0.010
45241,2001/01/11,,11,1,2834,34583810,FRX,FOREST LABS INC,,,,N,A,R,20753,0,1,2834,34583810,,,,,,,,,,,,,,,,,,,,,,,,,117.250,123.000,118.250,1024800.000,-0.019181,,,87645.000,4.000,4.000,121.812,,-0.019181,0.015,0.015,0.027,0.027,0.010
45241,2001/01/12,,11,1,2834,34583810,FRX,FOREST LABS INC,,,,N,A,R,20753,0,1,2834,34583810,2000/12/18,,,,,2001/01/11,2000/12/26,1.000,,,5523.000,0.000,1.000,1.000,,,,,,,,,,,58.500,60.812,59.562,1461000.000,0.007400,,,175290.000,2.000,2.000,59.125,,0.007400,-0.004,-0.004,0.019,0.019,-0.006
45241,2001/01/16,,11,1,2834,34583810,FRX,FOREST LABS INC,,,,N,A,R,20753,0,1,2834,34583810,,,,,,,,,,,,,,,,,,,,,,,,,61.000,64.188,62.312,1808000.000,0.046170,,,175290.000,2.000,2.000,61.500,,0.046170,0.006,0.006,0.019,0.019,0.006
