PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
16424,2001/01/02,,11,1,3421,37576610,G,GILLETTE CO,,,,N,A,R,20818,0,1,3421,37576610,,,,,,,,,,,,,,,,,,,,,,,,,35.000,35.938,35.438,2305400.000,-0.019031,34.938,35.938,1053298.000,1.000,1.000,35.750,,-0.019031,-0.034,-0.034,-0.001,-0.001,-0.028
16424,2001/01/03,,11,1,3421,37576610,G,GILLETTE CO,,,,N,A,R,20818,0,1,3421,37576610,,,,,,,,,,,,,,,,,,,,,,,,,34.438,36.188,34.750,3383600.000,-0.019400,34.250,35.250,1053298.000,1.000,1.000,35.312,,-0.019400,0.053,0.053,0.046,0.046,0.050
16424,2001/01/04,,11,1,3421,37576610,G,GILLETTE CO,,,,N,A,R,20818,0,1,3421,37576610,,,,,,,,,,,,,,,,,,,,,,,,,33.000,34.688,33.250,4799400.000,-0.043165,32.750,33.750,1053298.000,1.000,1.000,34.250,,-0.043165,-0.012,-0.012,0.011,0.011,-0.011
16424,2001/01/05,,11,1,3421,37576610,G,GILLETTE CO,,,,N,A,R,20818,0,1,3421,37576610,,,,,,,,,,,,,,,,,,,,,,,,,32.875,34.188,33.625,2422100.000,0.011278,33.125,34.125,1053298.000,1.000,1.000,33.125,,0.011278,-0.029,-0.029,-0.009,-0.009,-0.026
16424,2001/01/08,,11,1,3421,37576610,G,GILLETTE CO,,,,N,A,R,20818,0,1,3421,37576610,,,,,,,,,,,,,,,,,,,,,,,,,33.188,36.375,36.312,4855900.000,0.079926,36.000,36.500,1053298.000,1.000,1.000,33.500,,0.079926,-0.003,-0.004,-0.005,-0.005,-0.002
16424,2001/01/09,,11,1,3421,37576610,G,GILLETTE CO,,,,N,A,R,20818,0,1,3421,37576610,,,,,,,,,,,,,,,,,,,,,,,,,34.938,36.062,35.375,3840100.000,-0.025818,34.875,35.750,1053298.000,1.000,1.000,36.000,,-0.025818,0.005,0.005,0.012,0.012,0.004
16424,2001/01/10,,11,1,3421,37576610,G,GILLETTE CO,,,,N,A,R,20818,0,1,3421,37576610,,,,,,,,,,,,,,,,,,,,,,,,,34.375,35.375,35.000,4461700.000,-0.010601,34.500,35.500,1053298.000,1.000,1.000,35.000,,-0.010601,0.014,0.014,0.021,0.020,0.010
16424,2001/01/11,,11,1,3421,37576610,G,GILLETTE CO,,,,N,A,R,20818,0,1,3421,37576610,,,,,,,,,,,,,,,,,,,,,,,,,34.375,35.188,34.562,3071800.000,-0.012500,34.062,35.062,1053298.000,1.000,1.000,35.125,,-0.012500,0.015,0.015,0.027,0.027,0.010
16424,2001/01/12,,11,1,3421,37576610,G,GILLETTE CO,,,,N,A,R,20818,0,1,3421,37576610,,,,,,,,,,,,,,,,,,,,,,,,,33.938,35.125,33.938,2493500.000,-0.018083,33.688,34.188,1053298.000,1.000,1.000,34.750,,-0.018083,-0.004,-0.004,0.019,0.019,-0.006
16424,2001/01/16,,11,1,3421,37576610,G,GILLETTE CO,,,,N,A,R,20818,0,1,3421,37576610,,,,,,,,,,,,,,,,,,,,,,,,,33.188,34.375,34.125,3264500.000,0.005525,33.625,34.625,1053298.000,1.000,1.000,33.188,,0.005525,0.006,0.006,0.019,0.019,0.006
