PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
90009,2004/01/22,2004/05/02,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,0.000,48.000,481.000,,,,,,,,,,,1.000,2.000,34.000,3.000,34.250,36.300,35.150,1482294.000,C,35.150,35.200,22000.000,1.000,1.000,35.660,1683.000,C,-0.003,-0.003,-0.003,-0.003,-0.003
90009,2004/01/23,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,0.000,48.000,481.000,,,,,,,,,,,1.000,2.000,35.000,3.000,31.890,35.540,32.000,523275.000,-0.089616,31.950,31.990,22000.000,1.000,1.000,35.300,893.000,-0.089616,-0.001,-0.001,0.003,0.003,-0.002
90009,2004/01/26,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,0.000,48.000,481.000,,,,,,,,,,,1.000,2.000,37.000,3.000,32.050,33.700,33.150,1023506.000,0.035938,33.150,33.210,22000.000,1.000,1.000,32.150,1304.000,0.035938,0.010,0.010,0.008,0.008,0.012
90009,2004/01/27,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,0.000,48.000,481.000,,,,,,,,,,,1.000,2.000,36.000,3.000,32.900,33.500,33.000,197217.000,-0.004525,32.940,33.000,22000.000,1.000,1.000,33.210,377.000,-0.004525,-0.009,-0.009,-0.002,-0.002,-0.010
90009,2004/01/28,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,31.430,33.000,31.800,204515.000,-0.036364,31.780,31.820,22000.000,1.000,1.000,33.000,420.000,-0.036364,-0.014,-0.014,-0.013,-0.013,-0.014
90009,2004/01/29,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,0.000,48.000,481.000,,,,,,,,,,,1.000,2.000,35.000,3.000,30.080,32.120,31.100,361221.000,-0.022013,31.030,31.100,22000.000,1.000,1.000,31.480,827.000,-0.022013,0.001,0.001,-0.008,-0.008,0.005
90009,2004/01/30,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,29.800,31.170,30.460,320058.000,-0.020579,30.420,30.460,22000.000,1.000,1.000,31.170,539.000,-0.020579,-0.001,-0.001,0.004,0.004,-0.003
90009,2004/02/02,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,29.750,30.760,30.100,209438.000,-0.011819,30.100,30.230,22000.000,1.000,1.000,30.420,377.000,-0.011819,0.003,0.003,0.000,0.000,0.004
90009,2004/02/03,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,29.750,30.910,30.339,174585.000,0.007940,30.180,30.340,22000.000,1.000,1.000,30.070,420.000,0.007940,0.000,0.000,0.000,0.000,0.001
90009,2004/02/04,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,0.000,48.000,481.000,,,,,,,,,,,1.000,2.000,34.000,3.000,29.130,30.669,29.290,255534.000,-0.034576,29.250,29.320,22000.000,1.000,1.000,30.300,528.000,-0.034576,-0.010,-0.010,-0.015,-0.015,-0.008
90009,2004/02/05,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,26.200,29.500,26.920,792450.000,-0.080915,27.000,27.050,22000.000,1.000,1.000,29.180,1655.000,-0.080915,0.002,0.002,0.002,0.002,0.002
90009,2004/02/06,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,26.800,27.950,27.460,377650.000,0.020059,27.460,27.460,22000.000,1.000,1.000,27.000,744.000,0.020059,0.014,0.014,0.016,0.016,0.013
90009,2004/02/09,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,0.000,48.000,481.000,,,,,,,,,,,1.000,2.000,33.000,3.000,27.500,30.040,28.440,327795.000,0.035688,28.200,28.450,22000.000,1.000,1.000,27.570,915.000,0.035688,-0.000,-0.001,0.005,0.004,-0.003
90009,2004/02/10,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,0.000,48.000,481.000,,,,,,,,,,,1.000,2.000,34.000,3.000,27.950,28.800,28.220,236314.000,-0.007736,28.000,28.220,22000.000,1.000,1.000,28.275,686.000,-0.007736,0.006,0.006,0.007,0.007,0.005
90009,2004/02/11,,12,3,4813,G3921A17,GLBC,GLOBAL CROSSING LTD,,GLBC,,Q,A,R,16261,41758,3,4813,G3921A17,,,,,,,,0.000,48.000,481.000,,,,,,,,,,,1.000,2.000,35.000,3.000,26.800,29.840,29.260,772038.000,0.036853,29.110,29.260,22000.000,1.000,1.000,28.250,1575.000,0.036853,0.010,0.010,0.007,0.007,0.011
