PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
46674,2001/01/02,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,26.125,27.000,26.375,698400.000,0.007160,,,173077.000,1.000,1.000,26.250,,0.007160,-0.034,-0.034,-0.001,-0.001,-0.028
46674,2001/01/03,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,25.438,27.250,27.000,692700.000,0.023697,,,173077.000,1.000,1.000,26.438,,0.023697,0.053,0.053,0.046,0.046,0.050
46674,2001/01/04,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,26.188,27.438,27.188,1177200.000,0.006944,,,173077.000,1.000,1.000,26.750,,0.006944,-0.012,-0.012,0.011,0.011,-0.011
46674,2001/01/05,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,26.250,27.250,26.625,707100.000,-0.020690,,,173077.000,1.000,1.000,27.250,,-0.020690,-0.029,-0.029,-0.009,-0.009,-0.026
46674,2001/01/08,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,25.500,26.625,26.562,450400.000,-0.002347,,,173077.000,1.000,1.000,26.375,,-0.002347,-0.003,-0.004,-0.005,-0.005,-0.002
46674,2001/01/09,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,26.062,26.938,26.688,350200.000,0.004706,,,173077.000,1.000,1.000,26.250,,0.004706,0.005,0.005,0.012,0.012,0.004
46674,2001/01/10,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,25.500,26.625,26.375,572300.000,-0.011710,,,173077.000,1.000,1.000,26.438,,-0.011710,0.014,0.014,0.021,0.020,0.010
46674,2001/01/11,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,25.312,26.812,26.125,538300.000,-0.009479,,,173077.000,1.000,1.000,26.188,,-0.009479,0.015,0.015,0.027,0.027,0.010
46674,2001/01/12,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,25.688,26.375,26.312,252100.000,0.007177,,,173077.000,1.000,1.000,26.000,,0.007177,-0.004,-0.004,0.019,0.019,-0.006
46674,2001/01/16,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,25.750,26.375,26.125,445500.000,-0.007126,,,173077.000,1.000,1.000,26.312,,-0.007126,0.006,0.006,0.019,0.019,0.006
46674,2001/01/17,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,25.938,26.438,26.062,359900.000,-0.002392,,,173077.000,1.000,1.000,26.125,,-0.002392,0.004,0.004,0.013,0.013,0.002
46674,2001/01/18,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,25.438,25.938,25.500,619400.000,-0.021583,,,173077.000,1.000,1.000,25.812,,-0.021583,0.012,0.012,0.009,0.008,0.014
46674,2001/01/19,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,24.875,25.750,25.625,438300.000,0.004902,,,173077.000,1.000,1.000,25.625,,0.004902,-0.004,-0.004,0.004,0.004,-0.004
46674,2001/01/22,,11,1,5012,37246010,GPC,GENUINE PARTS CO,,,,N,A,R,20807,0,1,5013,37246010,,,,,,,,,,,,,,,,,,,,,,,,,24.812,25.562,25.500,397200.000,-0.004878,,,173077.000,1.000,1.000,25.312,,-0.004878,0.000,0.000,0.005,0.005,0.000
