PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
59010,2001/01/02,,11,1,5651,36476010,GPS,GAP INC,,,,N,A,R,1892,2424,1,5651,36476010,,,,,,,,,,,,,,,,,,,,,,,,,25.000,25.938,25.438,3132900.000,-0.002451,,,849695.000,1.000,1.000,25.312,,-0.002451,-0.034,-0.034,-0.001,-0.001,-0.028
59010,2001/01/03,,11,1,5651,36476010,GPS,GAP INC,,,,N,A,R,1892,2424,1,5651,36476010,,,,,,,,,,,,,,,,,,,,,,,,,25.375,30.625,30.312,14414800.000,0.191646,,,849695.000,1.000,1.000,25.438,,0.191646,0.053,0.053,0.046,0.046,0.050
59010,2001/01/04,,11,1,5651,36476010,GPS,GAP INC,,,,N,A,R,1892,2424,1,5651,36476010,,,,,,,,,,,,,,,,,,,,,,,,,29.000,30.750,29.500,15843800.000,-0.026804,29.000,30.000,849695.000,1.000,1.000,29.375,,-0.026804,-0.012,-0.012,0.011,0.011,-0.011
59010,2001/01/05,,11,1,5651,36476010,GPS,GAP INC,,,,N,A,R,1892,2424,1,5651,36476010,,,,,,,,,,,,,,,,,,,,,,,,,27.000,29.188,27.500,5126800.000,-0.067797,27.000,28.000,849695.000,1.000,1.000,29.000,,-0.067797,-0.029,-0.029,-0.009,-0.009,-0.026
59010,2001/01/08,,11,1,5651,36476010,GPS,GAP INC,,,,N,A,R,1892,2424,1,5651,36476010,,,,,,,,,,,,,,,,,,,,,,,,,26.812,27.562,27.125,3698300.000,-0.013636,26.625,27.625,849695.000,1.000,1.000,27.188,,-0.013636,-0.003,-0.004,-0.005,-0.005,-0.002
59010,2001/01/09,,11,1,5651,36476010,GPS,GAP INC,,,,N,A,R,1892,2424,1,5651,36476010,,,,,,,,,,,,,,,,,,,,,,,,,27.250,28.312,27.875,3616600.000,0.027650,,,849695.000,1.000,1.000,27.312,,0.027650,0.005,0.005,0.012,0.012,0.004
59010,2001/01/10,,11,1,5651,36476010,GPS,GAP INC,,,,N,A,R,1892,2424,1,5651,36476010,,,,,,,,,,,,,,,,,,,,,,,,,27.438,28.000,27.812,2007000.000,-0.002242,27.000,28.500,849695.000,1.000,1.000,27.812,,-0.002242,0.014,0.014,0.021,0.020,0.010
59010,2001/01/11,,11,1,5651,36476010,GPS,GAP INC,,,,N,A,R,1892,2424,1,5651,36476010,,,,,,,,,,,,,,,,,,,,,,,,,26.938,29.438,28.875,4288400.000,0.038202,28.000,30.000,849695.000,1.000,1.000,27.812,,0.038202,0.015,0.015,0.027,0.027,0.010
59010,2001/01/12,,11,1,5651,36476010,GPS,GAP INC,,,,N,A,R,1892,2424,1,5651,36476010,,,,,,,,,,,,,,,,,,,,,,,,,28.250,29.875,29.500,3872300.000,0.021645,28.750,30.250,849695.000,1.000,1.000,29.000,,0.021645,-0.004,-0.004,0.019,0.019,-0.006
59010,2001/01/16,,11,1,5651,36476010,GPS,GAP INC,,,,N,A,R,1892,2424,1,5651,36476010,,,,,,,,,,,,,,,,,,,,,,,,,29.000,29.938,29.375,3253900.000,-0.004237,,,849695.000,1.000,1.000,29.125,,-0.004237,0.006,0.006,0.019,0.019,0.006
