PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
86868,2001/01/02,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,97.500,105.500,100.250,3202400.000,-0.062537,98.000,103.000,447172.000,1.000,1.000,104.375,,-0.062537,-0.034,-0.034,-0.001,-0.001,-0.028
86868,2001/01/03,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,98.875,115.500,115.500,7355200.000,0.152120,114.000,117.000,447172.000,1.000,1.000,100.062,,0.152120,0.053,0.053,0.046,0.046,0.050
86868,2001/01/04,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,111.000,116.750,112.750,5866000.000,-0.023810,111.750,113.750,447172.000,1.000,1.000,113.750,,-0.023810,-0.012,-0.012,0.011,0.011,-0.011
86868,2001/01/05,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,105.750,111.000,107.875,4328600.000,-0.043237,108.000,109.250,447172.000,1.000,1.000,109.000,,-0.043237,-0.029,-0.029,-0.009,-0.009,-0.026
86868,2001/01/08,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,102.625,107.312,106.375,2169500.000,-0.013905,105.875,106.875,447172.000,1.000,1.000,106.500,,-0.013905,-0.003,-0.004,-0.005,-0.005,-0.002
86868,2001/01/09,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,103.312,108.500,104.750,2295200.000,-0.015276,103.000,106.000,447172.000,1.000,1.000,107.625,,-0.015276,0.005,0.005,0.012,0.012,0.004
86868,2001/01/10,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,102.250,108.938,108.500,2716200.000,0.035800,108.000,109.000,447172.000,1.000,1.000,102.250,,0.035800,0.014,0.014,0.021,0.020,0.010
86868,2001/01/11,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,107.500,112.125,110.500,3674000.000,0.018433,,,447172.000,1.000,1.000,108.500,,0.018433,0.015,0.015,0.027,0.027,0.010
86868,2001/01/12,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,108.750,110.875,108.750,1806000.000,-0.015837,108.250,109.250,447172.000,1.000,1.000,110.438,,-0.015837,-0.004,-0.004,0.019,0.019,-0.006
86868,2001/01/16,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,108.062,113.000,110.000,2267800.000,0.011494,109.500,110.500,447172.000,1.000,1.000,108.812,,0.011494,0.006,0.006,0.019,0.019,0.006
86868,2001/01/17,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,109.312,114.875,110.000,3212700.000,0.000000,109.500,110.500,447172.000,1.000,1.000,109.750,,0.000000,0.004,0.004,0.013,0.013,0.002
86868,2001/01/18,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,2002/02/21,2001/01/22,0.000,,,1232.000,0.120,0.000,0.000,,,,,,,,,,,107.250,109.875,107.500,2583900.000,-0.021636,107.000,108.000,447172.000,1.000,1.000,109.500,,-0.022727,0.012,0.012,0.009,0.008,0.014
86868,2001/01/19,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,107.812,111.000,110.938,2760600.000,0.031977,109.000,113.000,447172.000,1.000,1.000,108.000,,0.031977,-0.004,-0.004,0.004,0.004,-0.004
86868,2001/01/22,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,110.875,115.000,113.125,2783800.000,0.019718,112.625,113.625,447172.000,1.000,1.000,110.938,,0.019718,0.000,0.000,0.005,0.005,0.000
86868,2001/01/23,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,114.000,116.250,116.000,3270900.000,0.025414,115.500,116.500,447172.000,1.000,1.000,114.250,,0.025414,0.016,0.016,0.015,0.015,0.013
86868,2001/01/24,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,114.000,120.000,117.875,5110600.000,0.016164,118.000,120.000,447172.000,1.000,1.000,115.000,,0.016164,0.003,0.003,0.007,0.007,0.003
86868,2001/01/25,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,113.125,117.875,113.562,2724100.000,-0.036585,113.062,114.062,447172.000,1.000,1.000,117.875,,-0.036585,-0.008,-0.008,-0.003,-0.003,-0.005
86868,2001/01/26,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,111.562,115.000,114.688,2446000.000,0.009906,114.188,115.188,447172.000,1.000,1.000,113.000,,0.009906,-0.001,-0.001,0.002,0.002,-0.002
86868,2001/01/29,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,114.500,117.750,115.910,1630200.000,0.010659,115.410,116.410,447172.000,1.000,1.000,114.500,,0.010659,0.009,0.009,0.010,0.010,0.007
86868,2001/01/30,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,114.060,118.700,118.620,1700000.000,0.023380,118.000,119.150,447172.000,1.000,1.000,116.900,,0.023380,0.007,0.007,0.010,0.009,0.007
86868,2001/01/31,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,0.000,,,,,,,,,,,,,,,,,113.080,119.750,113.750,3500600.000,-0.041055,113.250,114.250,447172.000,1.000,1.000,118.620,,-0.041055,-0.007,-0.007,-0.000,-0.000,-0.006
86868,2001/02/01,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,114.500,118.500,118.200,2579800.000,0.039121,117.700,118.700,447172.000,1.000,1.000,114.900,,0.039121,0.004,0.004,0.002,0.002,0.005
86868,2001/02/02,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,113.950,118.850,113.960,2158900.000,-0.035871,111.000,116.000,447172.000,1.000,1.000,117.600,,-0.035871,-0.019,-0.019,-0.009,-0.009,-0.017
86868,2001/02/05,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,111.250,114.000,112.100,2540100.000,-0.016322,111.500,112.700,447172.000,1.000,1.000,113.750,,-0.016322,0.002,0.002,-0.004,-0.004,0.004
86868,2001/02/06,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,108.350,112.950,108.950,2246600.000,-0.028100,108.700,109.000,447172.000,1.000,1.000,112.950,,-0.028100,0.000,0.000,0.002,0.002,-0.002
86868,2001/02/07,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,104.080,109.950,105.200,3138200.000,-0.034419,104.700,105.700,447172.000,1.000,1.000,109.400,,-0.034419,-0.009,-0.009,-0.004,-0.004,-0.008
86868,2001/02/08,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,105.300,108.450,105.950,2716600.000,0.007129,105.400,106.600,447172.000,1.000,1.000,105.700,,0.007129,-0.006,-0.007,-0.003,-0.003,-0.006
86868,2001/02/09,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,103.100,109.000,107.750,2742100.000,0.016989,107.000,109.000,447172.000,1.000,1.000,105.100,,0.016989,-0.014,-0.014,-0.009,-0.009,-0.013
86868,2001/02/12,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,105.500,109.500,109.500,1952500.000,0.016241,109.000,110.000,447172.000,1.000,1.000,107.700,,0.016241,0.010,0.010,0.005,0.005,0.012
86868,2001/02/13,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,105.000,110.650,105.900,2213400.000,-0.032877,105.600,106.200,447172.000,1.000,1.000,109.900,,-0.032877,-0.009,-0.009,-0.003,-0.004,-0.009
86868,2001/02/14,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,103.390,106.500,104.250,2401000.000,-0.015581,103.000,106.000,447172.000,1.000,1.000,106.400,,-0.015581,-0.000,-0.000,-0.000,-0.001,-0.002
86868,2001/02/15,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,103.700,108.250,107.200,3020000.000,0.028297,106.660,107.660,447172.000,1.000,1.000,105.950,,0.028297,0.009,0.009,0.009,0.009,0.008
86868,2001/02/16,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,101.300,105.300,101.500,2605100.000,-0.053172,101.000,102.000,447172.000,1.000,1.000,104.500,,-0.053172,-0.021,-0.021,-0.014,-0.014,-0.019
86868,2001/02/20,,11,1,6211,38141G10,GS,GOLDMAN SACHS GROUP INC,,,,N,A,R,35048,0,1,6211,38141G10,,,,,,,,,,,,,,,,,,,,,,,,,94.350,102.110,96.000,3273600.000,-0.054187,95.500,96.500,447172.000,1.000,1.000,102.100,,-0.054187,-0.019,-0.019,-0.012,-0.012,-0.017
