PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
88031,2001/01/02,,11,3,8080,41131010,HANS,HANSEN NATURAL CORP,,HANS,,Q,A,R,7902,10324,3,2086,61174X10,,,,,,,,,,,,,,,,,,,,,,,,,3.812,3.844,3.812,3600.000,-0.016129,3.812,3.844,9942.000,48.000,48.000,3.812,7.000,-0.016129,-0.034,-0.034,-0.001,-0.001,-0.028
88031,2001/01/03,,11,3,8080,41131010,HANS,HANSEN NATURAL CORP,,HANS,,Q,A,R,7902,10324,3,2086,61174X10,,,,,,,,,,,,,,,,,,,,,,,,,3.766,4.125,4.062,30300.000,0.065574,4.000,4.062,9942.000,48.000,48.000,3.766,49.000,0.065574,0.053,0.053,0.046,0.046,0.050
88031,2001/01/04,,11,3,8080,41131010,HANS,HANSEN NATURAL CORP,,HANS,,Q,A,R,7902,10324,3,2086,61174X10,,,,,,,,0.000,,,,,,,,,,,,,1.000,3.000,10.000,2.000,4.062,4.188,4.062,10775.000,0.000000,4.062,4.188,9942.000,48.000,48.000,4.062,10.000,0.000000,-0.012,-0.012,0.011,0.011,-0.011
88031,2001/01/05,,11,3,8080,41131010,HANS,HANSEN NATURAL CORP,,HANS,,Q,A,R,7902,10324,3,2086,61174X10,,,,,,,,0.000,,,,,,,,,,,,,1.000,3.000,9.000,2.000,4.062,4.062,4.062,300.000,0.000000,4.062,4.188,9942.000,48.000,48.000,4.062,1.000,0.000000,-0.029,-0.029,-0.009,-0.009,-0.026
88031,2001/01/08,,11,3,8080,41131010,HANS,HANSEN NATURAL CORP,,HANS,,Q,A,R,7902,10324,3,2086,61174X10,,,,,,,,0.000,,,,,,,,,,,,,1.000,3.000,10.000,2.000,4.000,4.125,4.000,4000.000,-0.015385,3.938,4.062,9942.000,48.000,48.000,4.062,7.000,-0.015385,-0.003,-0.004,-0.005,-0.005,-0.002
88031,2001/01/09,,11,3,8080,41131010,HANS,HANSEN NATURAL CORP,,HANS,,Q,A,R,7902,10324,3,2086,61174X10,,,,,,,,0.000,,,,,,,,,,,,,1.000,3.000,9.000,2.000,4.000,4.188,4.000,2615.000,0.000000,4.000,4.188,9942.000,48.000,48.000,4.000,7.000,0.000000,0.005,0.005,0.012,0.012,0.004
88031,2001/01/10,,11,3,8080,41131010,HANS,HANSEN NATURAL CORP,,HANS,,Q,A,R,7902,10324,3,2086,61174X10,,,,,,,,,,,,,,,,,,,,,,,,,3.938,4.125,4.125,7800.000,0.031250,4.000,4.125,9942.000,48.000,48.000,3.938,11.000,0.031250,0.014,0.014,0.021,0.020,0.010
88031,2001/01/11,,11,3,8080,41131010,HANS,HANSEN NATURAL CORP,,HANS,,Q,A,R,7902,10324,3,2086,61174X10,,,,,,,,0.000,,,,,,,,,,,,,1.000,3.000,11.000,2.000,4.000,4.250,4.000,6858.000,-0.030303,4.000,4.188,9942.000,48.000,48.000,4.125,19.000,-0.030303,0.015,0.015,0.027,0.027,0.010
88031,2001/01/12,,11,3,8080,41131010,HANS,HANSEN NATURAL CORP,,HANS,,Q,A,R,7902,10324,3,2086,61174X10,,,,,,,,0.000,,,,,,,,,,,,,1.000,3.000,10.000,2.000,4.125,4.250,4.250,13320.000,0.062500,4.125,4.250,9942.000,48.000,48.000,4.250,18.000,0.062500,-0.004,-0.004,0.019,0.019,-0.006
88031,2001/01/16,,11,3,8080,41131010,HANS,HANSEN NATURAL CORP,,HANS,,Q,A,R,7902,10324,3,2086,61174X10,,,,,,,,0.000,,,,,,,,,,,,,1.000,3.000,9.000,2.000,4.125,4.250,4.188,17031.000,-0.014706,4.188,4.250,9942.000,48.000,48.000,4.188,26.000,-0.014706,0.006,0.006,0.019,0.019,0.006
