PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
77063,2001/01/02,,11,1,8051,56405510,HCR,MANOR CARE INC NEW,,,,N,A,R,29110,0,1,8051,56405510,,,,,,,,,,,,,,,,,,,,,,,,,20.562,21.625,20.562,1062500.000,-0.003030,,,102253.000,1.000,1.000,21.250,,-0.003030,-0.034,-0.034,-0.001,-0.001,-0.028
77063,2001/01/03,,11,1,8051,56405510,HCR,MANOR CARE INC NEW,,,,N,A,R,29110,0,1,8051,56405510,,,,,,,,,,,,,,,,,,,,,,,,,19.750,21.375,20.000,1578100.000,-0.027356,,,102253.000,1.000,1.000,20.125,,-0.027356,0.053,0.053,0.046,0.046,0.050
77063,2001/01/04,,11,1,8051,56405510,HCR,MANOR CARE INC NEW,,,,N,A,R,29110,0,1,8051,56405510,,,,,,,,,,,,,,,,,,,,,,,,,17.375,19.750,18.375,1947100.000,-0.081250,,,102253.000,1.000,1.000,19.750,,-0.081250,-0.012,-0.012,0.011,0.011,-0.011
77063,2001/01/05,,11,1,8051,56405510,HCR,MANOR CARE INC NEW,,,,N,A,R,29110,0,1,8051,56405510,,,,,,,,,,,,,,,,,,,,,,,,,17.312,18.312,18.125,1482900.000,-0.013605,,,102253.000,1.000,1.000,17.875,,-0.013605,-0.029,-0.029,-0.009,-0.009,-0.026
77063,2001/01/08,,11,1,8051,56405510,HCR,MANOR CARE INC NEW,,,,N,A,R,29110,0,1,8051,56405510,,,,,,,,,,,,,,,,,,,,,,,,,17.875,18.125,18.062,1015100.000,-0.003448,,,102253.000,1.000,1.000,18.000,,-0.003448,-0.003,-0.004,-0.005,-0.005,-0.002
77063,2001/01/09,,11,1,8051,56405510,HCR,MANOR CARE INC NEW,,,,N,A,R,29110,0,1,8051,56405510,,,,,,,,,,,,,,,,,,,,,,,,,18.625,19.562,19.125,2233900.000,0.058824,,,102253.000,1.000,1.000,19.500,,0.058824,0.005,0.005,0.012,0.012,0.004
77063,2001/01/10,,11,1,8051,56405510,HCR,MANOR CARE INC NEW,,,,N,A,R,29110,0,1,8051,56405510,,,,,,,,,,,,,,,,,,,,,,,,,18.625,19.312,19.250,1326800.000,0.006536,,,102253.000,1.000,1.000,19.062,,0.006536,0.014,0.014,0.021,0.020,0.010
77063,2001/01/11,,11,1,8051,56405510,HCR,MANOR CARE INC NEW,,,,N,A,R,29110,0,1,8051,56405510,,,,,,,,,,,,,,,,,,,,,,,,,19.250,20.125,20.125,833700.000,0.045455,,,102253.000,1.000,1.000,19.312,,0.045455,0.015,0.015,0.027,0.027,0.010
77063,2001/01/12,,11,1,8051,56405510,HCR,MANOR CARE INC NEW,,,,N,A,R,29110,0,1,8051,56405510,,,,,,,,,,,,,,,,,,,,,,,,,19.438,20.125,20.062,682800.000,-0.003106,,,102253.000,1.000,1.000,19.875,,-0.003106,-0.004,-0.004,0.019,0.019,-0.006
77063,2001/01/16,,11,1,8051,56405510,HCR,MANOR CARE INC NEW,,,,N,A,R,29110,0,1,8051,56405510,,,,,,,,,,,,,,,,,,,,,,,,,19.750,20.375,20.250,661600.000,0.009346,,,102253.000,1.000,1.000,19.750,,0.009346,0.006,0.006,0.019,0.019,0.006
