PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
14338,2013/12/12,2017/01/03,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,2.000,70.000,701.000,,,,,,,,,,,,,,,21.250,21.920,21.500,71149700.000,C,21.640,21.660,984615.000,0.481,0.333,21.300,,C,-0.003,-0.003,-0.001,-0.001,-0.004
14338,2013/12/13,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.550,22.380,22.100,11953200.000,0.027907,22.120,22.140,984615.000,0.481,0.333,21.990,,0.027907,0.001,0.001,0.003,0.003,-0.000
14338,2013/12/16,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.520,25.950,21.520,9680700.000,-0.026244,21.570,21.620,984615.000,0.481,0.333,23.130,,-0.026244,0.006,0.006,0.007,0.007,0.006
14338,2013/12/17,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.580,21.990,21.810,4753300.000,0.013476,21.750,21.760,984615.000,0.481,0.333,21.610,,0.013476,-0.002,-0.002,-0.000,-0.000,-0.003
14338,2013/12/18,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.660,22.180,21.830,5865600.000,0.000917,21.830,21.850,984615.000,0.481,0.333,21.830,,0.000917,0.014,0.014,0.009,0.008,0.017
14338,2013/12/19,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.550,22.410,22.280,3015000.000,0.020614,22.280,22.300,984615.000,0.481,0.333,21.750,,0.020614,-0.001,-0.001,-0.002,-0.002,-0.001
14338,2013/12/20,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.860,22.550,21.930,2041900.000,-0.015709,21.970,21.980,984615.000,0.481,0.333,22.500,,-0.015709,0.007,0.007,0.010,0.010,0.005
14338,2013/12/23,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.560,22.190,21.560,2507000.000,-0.016872,21.590,21.610,984615.000,0.481,0.333,22.010,,-0.016872,0.006,0.006,0.009,0.008,0.005
14338,2013/12/24,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.150,21.670,21.510,2532300.000,-0.002319,21.510,21.520,984615.000,0.481,0.333,21.600,,-0.002319,0.003,0.003,0.004,0.004,0.003
14338,2013/12/26,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.550,21.960,21.700,2686600.000,0.008833,21.670,21.690,984615.000,0.481,0.333,21.560,,0.008833,0.004,0.004,0.002,0.002,0.005
14338,2013/12/27,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.550,21.840,21.600,2237300.000,-0.004608,21.600,21.610,984615.000,0.481,0.333,21.600,,-0.004608,-0.000,-0.000,0.001,0.001,-0.000
14338,2013/12/30,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.600,21.970,21.890,1789500.000,0.013426,21.890,21.900,984615.000,0.481,0.333,21.720,,0.013426,0.000,0.000,0.001,0.001,-0.000
14338,2013/12/31,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,0.000,70.000,701.000,,,,,,,,,,,,,,,21.950,22.470,22.250,2327700.000,0.016446,22.280,22.290,984615.000,0.481,0.333,22.000,,0.016446,0.004,0.004,0.004,0.004,0.004
14338,2014/01/02,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.770,22.350,21.860,3619300.000,-0.017528,21.840,21.860,984615.000,0.481,0.333,22.250,,-0.017528,-0.009,-0.009,-0.004,-0.004,-0.009
14338,2014/01/03,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.750,22.090,22.010,946500.000,0.006862,21.980,21.990,984615.000,0.481,0.333,21.800,,0.006862,0.000,0.000,0.004,0.004,-0.000
14338,2014/01/06,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.760,22.120,22.000,2407500.000,-0.000454,22.000,22.010,984615.000,0.481,0.333,21.990,,-0.000454,-0.003,-0.003,-0.002,-0.002,-0.003
14338,2014/01/07,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.900,22.100,22.000,4089100.000,0.000000,22.000,22.010,984615.000,0.481,0.333,22.000,,0.000000,0.006,0.006,0.007,0.007,0.006
14338,2014/01/08,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.800,22.030,22.030,2368600.000,0.001364,22.000,22.010,984615.000,0.481,0.333,22.030,,0.001364,0.000,-0.000,0.001,0.001,-0.000
14338,2014/01/09,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.710,22.020,21.870,943200.000,-0.007263,21.870,21.880,984615.000,0.481,0.333,22.000,,-0.007263,0.000,0.000,0.000,0.000,0.000
14338,2014/01/10,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.570,21.860,21.690,1667400.000,-0.008230,21.660,21.670,984615.000,0.481,0.333,21.760,,-0.008230,0.004,0.004,0.006,0.006,0.002
14338,2014/01/13,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.560,21.830,21.720,1495200.000,0.001383,21.710,21.720,984615.000,0.481,0.333,21.560,,0.001383,-0.012,-0.012,-0.008,-0.008,-0.013
14338,2014/01/14,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.640,22.110,22.100,2569600.000,0.017495,22.100,22.110,984615.000,0.481,0.333,21.710,,0.017495,0.010,0.010,0.010,0.009,0.011
14338,2014/01/15,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.830,22.170,21.910,1878700.000,-0.008597,21.900,21.910,984615.000,0.481,0.333,22.050,,-0.008597,0.005,0.005,0.006,0.006,0.005
14338,2014/01/16,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.690,22.030,21.960,2318800.000,0.002282,21.960,21.970,984615.000,0.481,0.333,21.900,,0.002282,-0.000,-0.000,0.002,0.002,-0.001
14338,2014/01/17,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.800,22.560,22.250,5546200.000,0.013206,22.270,22.280,984615.000,0.481,0.333,21.960,,0.013206,-0.003,-0.003,-0.001,-0.001,-0.004
14338,2014/01/21,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.836,22.590,21.920,2627000.000,-0.014831,21.920,21.930,984615.000,0.481,0.333,22.510,,-0.014831,0.003,0.003,0.005,0.005,0.003
14338,2014/01/22,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.900,22.490,22.460,2931800.000,0.024635,22.460,22.470,984615.000,0.481,0.333,21.990,,0.024635,0.001,0.001,0.004,0.004,0.001
14338,2014/01/23,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,22.100,22.660,22.660,1920900.000,0.008905,22.650,22.660,984615.000,0.481,0.333,22.430,,0.008905,-0.008,-0.008,-0.006,-0.006,-0.009
14338,2014/01/24,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,22.090,22.480,22.450,1829200.000,-0.009267,22.450,22.460,984615.000,0.481,0.333,22.350,,-0.009267,-0.021,-0.021,-0.019,-0.019,-0.021
14338,2014/01/27,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.890,22.450,21.990,2257400.000,-0.020490,21.910,21.940,984615.000,0.481,0.333,22.450,,-0.020490,-0.007,-0.007,-0.010,-0.010,-0.005
14338,2014/01/28,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.750,22.000,21.900,1408500.000,-0.004093,21.890,21.900,984615.000,0.481,0.333,21.840,,-0.004093,0.007,0.007,0.008,0.008,0.006
14338,2014/01/29,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.560,21.880,21.660,898500.000,-0.010959,21.660,21.670,984615.000,0.481,0.333,21.810,,-0.010959,-0.010,-0.010,-0.008,-0.008,-0.010
14338,2014/01/30,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.600,21.820,21.660,1067600.000,0.000000,21.650,21.660,984615.000,0.481,0.333,21.760,,0.000000,0.012,0.011,0.009,0.009,0.011
14338,2014/01/31,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,0.000,70.000,701.000,,,,,,,,,,,,,,,21.340,21.690,21.650,879700.000,-0.000462,21.640,21.650,984615.000,0.481,0.333,21.510,,-0.000462,-0.006,-0.006,-0.005,-0.005,-0.006
14338,2014/02/03,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,20.840,21.700,20.950,2288100.000,-0.032333,20.940,20.950,984615.000,0.481,0.333,21.650,,-0.032333,-0.023,-0.023,-0.021,-0.021,-0.023
14338,2014/02/04,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,20.835,21.080,21.030,1715200.000,0.003819,21.010,21.020,984615.000,0.481,0.333,21.000,,0.003819,0.008,0.008,0.006,0.006,0.008
14338,2014/02/05,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,20.550,20.960,20.800,1425700.000,-0.010937,20.800,20.810,984615.000,0.481,0.333,20.850,,-0.010937,-0.002,-0.002,-0.005,-0.005,-0.002
14338,2014/02/06,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,20.820,21.200,21.200,603500.000,0.019231,21.180,21.190,984615.000,0.481,0.333,20.840,,0.019231,0.012,0.012,0.009,0.008,0.012
14338,2014/02/07,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.220,21.870,21.650,1052700.000,0.021226,21.640,21.650,984615.000,0.481,0.333,21.260,,0.021226,0.013,0.013,0.010,0.010,0.013
14338,2014/02/10,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.300,21.690,21.410,1154100.000,-0.011085,21.410,21.420,984615.000,0.481,0.333,21.670,,-0.011085,0.002,0.002,0.004,0.004,0.002
14338,2014/02/11,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.460,21.770,21.690,1318300.000,0.013078,21.680,21.690,984615.000,0.481,0.333,21.730,,0.013078,0.011,0.011,0.009,0.009,0.011
14338,2014/02/12,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.620,21.950,21.890,896300.000,0.009221,21.870,21.880,984615.000,0.481,0.333,21.740,,0.009221,0.001,0.001,0.002,0.001,-0.000
14338,2014/02/13,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.650,22.020,21.950,1131900.000,0.002741,21.960,21.970,984615.000,0.481,0.333,21.780,,0.002741,0.007,0.007,0.008,0.008,0.006
14338,2014/02/14,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.860,22.050,22.000,1329400.000,0.002278,21.990,22.000,984615.000,0.481,0.333,22.000,,0.002278,0.004,0.004,0.003,0.003,0.005
14338,2014/02/18,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.730,22.000,21.760,1264400.000,-0.010909,21.760,21.770,984615.000,0.481,0.333,22.000,,-0.010909,0.003,0.003,0.007,0.007,0.001
14338,2014/02/19,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.500,21.950,21.530,905000.000,-0.010570,21.520,21.530,984615.000,0.481,0.333,21.760,,-0.010570,-0.007,-0.007,-0.007,-0.007,-0.007
14338,2014/02/20,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.310,21.670,21.490,1235500.000,-0.001858,21.460,21.480,984615.000,0.481,0.333,21.500,,-0.001858,0.006,0.006,0.007,0.007,0.006
14338,2014/02/21,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.470,22.190,22.150,2392800.000,0.030712,22.140,22.150,984615.000,0.481,0.333,21.500,,0.030712,-0.001,-0.001,0.002,0.002,-0.002
14338,2014/02/24,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,22.040,22.500,22.260,1579900.000,0.004966,22.250,22.260,984615.000,0.481,0.333,22.210,,0.004966,0.006,0.006,0.006,0.006,0.006
14338,2014/02/25,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,22.210,22.580,22.370,1689400.000,0.004942,22.360,22.370,984615.000,0.481,0.333,22.250,,0.004942,-0.001,-0.001,-0.002,-0.002,-0.001
14338,2014/02/26,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,22.300,22.680,22.540,2202100.000,0.007599,22.560,22.570,984615.000,0.481,0.333,22.410,,0.007599,0.001,0.001,0.003,0.003,0.000
14338,2014/02/27,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,21.800,22.860,22.490,4489800.000,-0.002218,22.490,22.500,984615.000,0.481,0.333,22.410,,-0.002218,0.005,0.005,0.006,0.006,0.005
14338,2014/02/28,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,0.000,70.000,701.000,,,,,,,,,,,,,,,22.080,22.580,22.360,1991800.000,-0.005780,22.360,22.370,984615.000,0.481,0.333,22.500,,-0.005780,0.002,0.002,-0.001,-0.001,0.003
14338,2014/03/03,,11,1,7011,43300A10,HLT,HILTON WORLDWIDE HOLDINGS INC,,HLT,721110,N,A,R,54672,0,1,7011,43300A20,,,,,,,,,70.000,701.000,,,,,,,,,,,,,,,22.110,22.500,22.490,1389148.000,0.005814,22.490,22.500,984615.000,0.481,0.333,22.220,,0.005814,-0.007,-0.007,-0.004,-0.004,-0.007
