PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
32803,2001/01/02,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,18.000,18.750,18.062,21800.000,-0.036667,17.750,18.375,7551.000,16.000,16.000,18.750,,-0.036667,-0.034,-0.034,-0.001,-0.001,-0.028
32803,2001/01/03,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,17.500,18.250,17.562,9900.000,-0.027682,17.375,17.875,7551.000,16.000,16.000,18.062,,-0.027682,0.053,0.053,0.046,0.046,0.050
32803,2001/01/04,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,16.375,17.750,17.000,27100.000,-0.032028,16.750,17.375,7551.000,16.000,16.000,17.750,,-0.032028,-0.012,-0.012,0.011,0.011,-0.011
32803,2001/01/05,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,16.750,17.125,16.750,5000.000,-0.014706,16.500,16.875,7551.000,16.000,16.000,17.000,,-0.014706,-0.029,-0.029,-0.009,-0.009,-0.026
32803,2001/01/08,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,14.750,16.625,15.250,43500.000,-0.089552,14.750,15.375,7551.000,16.000,16.000,16.500,,-0.089552,-0.003,-0.004,-0.005,-0.005,-0.002
32803,2001/01/09,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,14.125,15.062,14.750,11300.000,-0.032787,14.375,15.000,7551.000,16.000,16.000,15.062,,-0.032787,0.005,0.005,0.012,0.012,0.004
32803,2001/01/10,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,14.750,15.750,15.625,10800.000,0.059322,15.375,15.875,7551.000,16.000,16.000,14.750,,0.059322,0.014,0.014,0.021,0.020,0.010
32803,2001/01/11,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,16.125,16.500,16.125,10400.000,0.032000,15.875,16.375,7551.000,16.000,16.000,16.250,,0.032000,0.015,0.015,0.027,0.027,0.010
32803,2001/01/12,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,16.125,16.500,16.438,2500.000,0.019380,,,7551.000,16.000,16.000,16.125,,0.019380,-0.004,-0.004,0.019,0.019,-0.006
32803,2001/01/16,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,16.500,17.375,17.125,15500.000,0.041825,16.875,17.375,7551.000,16.000,16.000,16.500,,0.041825,0.006,0.006,0.019,0.019,0.006
32803,2001/01/17,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,17.375,17.938,17.500,18600.000,0.021898,17.375,17.875,7551.000,16.000,16.000,17.375,,0.021898,0.004,0.004,0.013,0.013,0.002
32803,2001/01/18,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,15.750,17.625,16.188,13500.000,-0.075000,16.250,16.625,7551.000,16.000,16.000,17.625,,-0.075000,0.012,0.012,0.009,0.008,0.014
32803,2001/01/19,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,16.250,16.500,16.500,4300.000,0.019305,16.375,16.875,7551.000,16.000,16.000,16.250,,0.019305,-0.004,-0.004,0.004,0.004,-0.004
32803,2001/01/22,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,16.750,16.938,16.938,3600.000,0.026515,16.625,17.125,7551.000,16.000,16.000,16.750,,0.026515,0.000,0.000,0.005,0.005,0.000
32803,2001/01/23,,11,2,2911,43575830,HOC,HOLLY CORP,,,,A,A,R,20922,0,1,2911,43610610,,,,,,,,,,,,,,,,,,,,,,,,,16.938,17.250,17.188,3100.000,0.014760,17.000,17.375,7551.000,16.000,16.000,16.938,,0.014760,0.016,0.016,0.015,0.015,0.013
