PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
76095,2001/01/02,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,15.000,2.000,4.812,5.250,5.000,16700.000,-0.058824,5.031,5.062,15411.000,4.000,4.000,5.250,37.000,-0.058824,-0.034,-0.034,-0.001,-0.001,-0.028
76095,2001/01/03,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,18.000,2.000,4.750,5.250,5.250,41800.000,0.050000,5.062,5.250,15411.000,4.000,4.000,5.062,70.000,0.050000,0.053,0.053,0.046,0.046,0.050
76095,2001/01/04,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,16.000,2.000,4.875,5.219,5.219,18653.000,-0.005952,5.031,5.250,15411.000,4.000,4.000,4.875,31.000,-0.005952,-0.012,-0.012,0.011,0.011,-0.011
76095,2001/01/05,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,,,,,,,,,,,,,,,,,,5.000,5.625,5.562,19125.000,0.065868,5.438,5.625,15411.000,4.000,4.000,5.000,56.000,0.065868,-0.029,-0.029,-0.009,-0.009,-0.026
76095,2001/01/08,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,,,,,,,,,,,,,,,,,,5.062,5.625,5.125,11355.000,-0.078652,5.125,5.375,15411.000,4.000,4.000,5.609,38.000,-0.078652,-0.003,-0.004,-0.005,-0.005,-0.002
76095,2001/01/09,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,14.000,2.000,4.938,5.250,5.125,10612.000,0.000000,5.062,5.500,15411.000,4.000,4.000,5.203,28.000,0.000000,0.005,0.005,0.012,0.012,0.004
76095,2001/01/10,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,17.000,2.000,5.312,5.500,5.438,21792.000,0.060976,5.375,5.438,15411.000,4.000,4.000,5.500,43.000,0.060976,0.014,0.014,0.021,0.020,0.010
76095,2001/01/11,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,16.000,2.000,5.469,5.875,5.750,30740.000,0.057471,5.562,5.750,15411.000,4.000,4.000,5.469,42.000,0.057471,0.015,0.015,0.027,0.027,0.010
76095,2001/01/12,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,17.000,2.000,5.500,5.750,5.625,10900.000,-0.021739,5.625,5.750,15487.000,4.000,4.000,5.500,14.000,-0.021739,-0.004,-0.004,0.019,0.019,-0.006
76095,2001/01/16,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,18.000,2.000,5.438,6.125,6.000,158837.000,0.066667,6.000,6.031,15487.000,4.000,4.000,5.500,175.000,0.066667,0.006,0.006,0.019,0.019,0.006
76095,2001/01/17,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,,,,,,,,,,,,,,,,,,6.062,7.500,6.500,202745.000,0.083333,6.500,6.531,15487.000,4.000,4.000,6.250,349.000,0.083333,0.004,0.004,0.013,0.013,0.002
76095,2001/01/18,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,17.000,2.000,6.625,7.188,7.062,126475.000,0.086538,7.000,7.062,15487.000,4.000,4.000,6.938,197.000,0.086538,0.012,0.012,0.009,0.008,0.014
76095,2001/01/19,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,,,,,,,,,,,,,,,,,,6.812,7.500,6.812,109845.000,-0.035398,6.750,6.875,15487.000,4.000,4.000,7.031,120.000,-0.035398,-0.004,-0.004,0.004,0.004,-0.004
76095,2001/01/22,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,16.000,2.000,6.875,7.125,7.000,50750.000,0.027523,6.938,7.000,15487.000,4.000,4.000,7.000,83.000,0.027523,0.000,0.000,0.005,0.005,0.000
76095,2001/01/23,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,17.000,2.000,6.562,7.062,7.000,48105.000,0.000000,6.906,6.969,15487.000,4.000,4.000,6.938,74.000,0.000000,0.016,0.016,0.015,0.015,0.013
76095,2001/01/24,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,16.000,2.000,6.906,7.125,7.000,45192.000,0.000000,7.000,7.062,15487.000,4.000,4.000,7.000,110.000,0.000000,0.003,0.003,0.007,0.007,0.003
76095,2001/01/25,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,17.000,2.000,6.750,7.000,7.000,35500.000,0.000000,6.938,7.062,15487.000,4.000,4.000,6.906,61.000,0.000000,-0.008,-0.008,-0.003,-0.003,-0.005
76095,2001/01/26,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,16.000,2.000,6.750,7.000,7.000,31300.000,0.000000,6.938,6.969,15487.000,4.000,4.000,6.938,49.000,0.000000,-0.001,-0.001,0.002,0.002,-0.002
76095,2001/01/29,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,15.000,2.000,6.625,7.250,7.000,98552.000,0.000000,6.812,7.000,15487.000,4.000,4.000,7.000,90.000,0.000000,0.009,0.009,0.010,0.010,0.007
76095,2001/01/30,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,16.000,2.000,6.812,7.250,7.062,18750.000,0.008929,7.062,7.250,15487.000,4.000,4.000,7.000,56.000,0.008929,0.007,0.007,0.010,0.009,0.007
76095,2001/01/31,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,15.000,2.000,7.000,7.250,7.125,48350.000,0.008850,7.125,7.250,15487.000,4.000,4.000,7.109,51.000,0.008850,-0.007,-0.007,-0.000,-0.000,-0.006
76095,2001/02/01,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,,,,,,,,,,,,,,,,,,6.750,7.141,7.094,33885.000,-0.004386,7.000,7.188,15487.000,4.000,4.000,7.141,50.000,-0.004386,0.004,0.004,0.002,0.002,0.005
76095,2001/02/02,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,15.000,2.000,7.125,7.375,7.188,22409.000,0.013216,7.125,7.250,15470.000,4.000,4.000,7.188,36.000,0.013216,-0.019,-0.019,-0.009,-0.009,-0.017
76095,2001/02/05,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,17.000,2.000,6.750,7.250,6.938,10750.000,-0.034783,6.812,6.938,15470.000,4.000,4.000,7.250,26.000,-0.034783,0.002,0.002,-0.004,-0.004,0.004
76095,2001/02/06,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,16.000,2.000,6.750,7.359,6.812,13027.000,-0.018018,6.750,6.812,15470.000,4.000,4.000,6.828,17.000,-0.018018,0.000,0.000,0.002,0.002,-0.002
76095,2001/02/07,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,19.000,2.000,6.375,6.906,6.625,59450.000,-0.027523,6.438,6.625,15470.000,4.000,4.000,6.750,98.000,-0.027523,-0.009,-0.009,-0.004,-0.004,-0.008
76095,2001/02/08,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,15.000,2.000,6.531,7.000,6.812,12260.000,0.028302,6.625,6.812,15470.000,4.000,4.000,6.734,38.000,0.028302,-0.006,-0.007,-0.003,-0.003,-0.006
76095,2001/02/09,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,14.000,2.000,6.281,6.688,6.625,5850.000,-0.027523,6.438,6.625,15470.000,4.000,4.000,6.625,19.000,-0.027523,-0.014,-0.014,-0.009,-0.009,-0.013
76095,2001/02/12,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,15.000,2.000,5.938,6.625,5.938,16590.000,-0.103774,6.125,6.188,15470.000,4.000,4.000,6.438,60.000,-0.103774,0.010,0.010,0.005,0.005,0.012
76095,2001/02/13,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,16.000,2.000,5.938,6.250,6.125,13403.000,0.031579,5.938,6.250,15470.000,4.000,4.000,5.938,26.000,0.031579,-0.009,-0.009,-0.003,-0.004,-0.009
76095,2001/02/14,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,17.000,2.000,6.125,6.500,6.250,25200.000,0.020408,6.250,6.500,15470.000,4.000,4.000,6.188,20.000,0.020408,-0.000,-0.000,-0.000,-0.001,-0.002
76095,2001/02/15,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,16.000,2.000,6.281,6.500,6.281,25250.000,0.005000,6.281,6.344,15470.000,4.000,4.000,6.500,29.000,0.005000,0.009,0.009,0.009,0.009,0.008
76095,2001/02/16,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,,,,,,,,,,,,,,,,,,6.250,6.594,6.250,21021.000,-0.004975,6.250,6.375,15470.000,4.000,4.000,6.250,35.000,-0.004975,-0.021,-0.021,-0.014,-0.014,-0.019
76095,2001/02/20,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,,,,,,,,,,,,,,,,,,6.156,6.375,6.375,12100.000,0.020000,6.156,6.375,15470.000,4.000,4.000,6.250,22.000,0.020000,-0.019,-0.019,-0.012,-0.012,-0.017
76095,2001/02/21,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,,,,,,,,,,,,,,,,,,6.125,6.375,6.250,21016.000,-0.019608,6.250,6.281,15470.000,4.000,4.000,6.125,23.000,-0.019608,-0.018,-0.018,-0.016,-0.016,-0.019
76095,2001/02/22,,11,3,3840,43644010,HOLX,HOLOGIC INC,,HOLX,,Q,A,R,10504,14145,3,3844,43644010,,,,,,,,,,,,,,,,,,,,,,,,,5.906,6.219,6.219,35186.000,-0.005000,6.000,6.219,15470.000,4.000,4.000,6.125,50.000,-0.005000,-0.005,-0.005,-0.011,-0.011,-0.002
