PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10693,2001/01/02,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,15.438,16.250,15.438,2844400.000,-0.053640,,,386318.000,0.200,0.200,16.000,,-0.053640,-0.034,-0.034,-0.001,-0.001,-0.028
10693,2001/01/03,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,14.812,16.188,14.938,3720300.000,-0.032389,,,386318.000,0.200,0.200,15.125,,-0.032389,0.053,0.053,0.046,0.046,0.050
10693,2001/01/04,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,13.500,14.812,13.875,6664300.000,-0.071130,,,386318.000,0.200,0.200,14.812,,-0.071130,-0.012,-0.012,0.011,0.011,-0.011
10693,2001/01/05,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,13.812,14.938,14.625,2552400.000,0.054054,,,386318.000,0.200,0.200,14.000,,0.054054,-0.029,-0.029,-0.009,-0.009,-0.026
10693,2001/01/08,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,14.312,15.062,14.562,1673700.000,-0.004274,13.750,14.500,386318.000,0.200,0.200,14.438,,-0.004274,-0.003,-0.004,-0.005,-0.005,-0.002
10693,2001/01/09,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,13.938,15.062,14.688,1752600.000,0.008584,,,386318.000,0.200,0.200,14.625,,0.008584,0.005,0.005,0.012,0.012,0.004
10693,2001/01/10,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,14.750,15.312,15.250,2477600.000,0.038298,14.438,15.312,386318.000,0.200,0.200,14.812,,0.038298,0.014,0.014,0.021,0.020,0.010
10693,2001/01/11,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,15.312,16.000,15.875,3212800.000,0.040984,,,386318.000,0.200,0.200,15.500,,0.040984,0.015,0.015,0.027,0.027,0.010
10693,2001/01/12,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,15.312,15.875,15.750,2625900.000,-0.007874,,,386318.000,0.200,0.200,15.562,,-0.007874,-0.004,-0.004,0.019,0.019,-0.006
10693,2001/01/16,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,15.062,15.938,15.938,3049300.000,0.011905,,,386318.000,0.200,0.200,15.688,,0.011905,0.006,0.006,0.019,0.019,0.006
10693,2001/01/17,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,15.312,15.938,15.500,2395200.000,-0.027451,,,386318.000,0.200,0.200,15.938,,-0.027451,0.004,0.004,0.013,0.013,0.002
10693,2001/01/18,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,14.438,15.625,14.750,2840900.000,-0.048387,,,386318.000,0.200,0.200,15.500,,-0.048387,0.012,0.012,0.009,0.008,0.014
10693,2001/01/19,,11,1,8093,42192410,HRC,HEALTHSOUTH CORP,,,,N,A,R,8596,11349,1,8069,29261A10,,,,,,,,,,,,,,,,,,,,,,,,,13.625,14.625,14.000,3724600.000,-0.050847,,,386318.000,0.200,0.200,14.562,,-0.050847,-0.004,-0.004,0.004,0.004,-0.004
