PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
46703,2006/04/18,2006/06/29,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,2.000,67.000,679.000,,,,,,,,,,,,,,,19.940,20.450,20.310,6418400.000,0.013979,20.300,20.310,386261.000,1.000,1.000,20.030,,0.013979,0.017,0.017,0.014,0.014,0.017
46703,2006/04/19,,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,20.250,20.760,20.650,5130200.000,0.016741,20.610,20.660,386261.000,1.000,1.000,20.320,,0.016741,0.004,0.004,0.008,0.008,0.002
46703,2006/04/20,,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,20.480,20.790,20.730,3016100.000,0.003874,20.730,20.740,386261.000,1.000,1.000,20.550,,0.003874,-0.001,-0.001,-0.002,-0.002,0.001
46703,2006/04/21,,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,20.450,20.800,20.520,3113900.000,-0.010130,20.510,20.520,386261.000,1.000,1.000,20.700,,-0.010130,0.000,0.000,0.001,0.001,-0.000
46703,2006/04/24,,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,20.320,20.550,20.360,2153700.000,-0.007797,20.340,20.370,386261.000,1.000,1.000,20.440,,-0.007797,-0.003,-0.003,-0.003,-0.003,-0.002
46703,2006/04/25,,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,19.950,20.320,20.080,2838600.000,-0.013752,20.050,20.090,386261.000,1.000,1.000,20.270,,-0.013752,-0.004,-0.004,-0.001,-0.001,-0.005
46703,2006/04/26,,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,20.010,20.500,20.400,8299300.000,0.015936,20.360,20.400,386261.000,1.000,1.000,20.080,,0.015936,0.002,0.002,0.002,0.002,0.003
46703,2006/04/27,,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,20.310,20.890,20.850,3051900.000,0.022059,20.830,20.850,386261.000,1.000,1.000,20.380,,0.022059,0.002,0.002,-0.002,-0.002,0.003
46703,2006/04/28,,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,0.000,67.000,679.000,,,,,,,,,,,,,,,20.820,21.390,21.020,3796200.000,0.008153,21.000,21.000,388986.000,1.000,1.000,20.950,,0.008153,0.001,0.001,0.003,0.003,0.001
46703,2006/05/01,,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,20.740,21.260,20.910,3649400.000,-0.005233,20.860,20.910,388986.000,1.000,1.000,21.260,,-0.005233,-0.003,-0.003,-0.003,-0.003,-0.004
46703,2006/05/02,,18,1,6798,44107P10,HST,HOST HOTELS & RESORTS INC,,HST,525930,N,A,R,21157,0,1,6798,44107P10,,,,,,,,,67.000,679.000,,,,,,,,,,,,,,,20.480,20.890,20.810,4186700.000,-0.004782,20.780,20.800,388986.000,1.000,1.000,20.830,,-0.004782,0.006,0.006,0.004,0.004,0.006
