PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
75621,2001/09/10,2001/11/06,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,2.000,53.000,533.000,,,,,,,,,,,,,,,1.700,1.920,1.830,65800.000,-0.041885,1.800,1.850,37595.000,1.000,1.000,1.920,,-0.041885,0.004,0.004,-0.007,-0.007,0.006
75621,2001/09/17,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.550,1.800,1.650,111400.000,-0.098361,1.630,1.680,37595.000,1.000,1.000,1.680,,-0.098361,-0.051,-0.051,-0.042,-0.043,-0.049
75621,2001/09/18,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.500,1.750,1.620,164600.000,-0.018182,1.550,1.630,37595.000,1.000,1.000,1.750,,-0.018182,-0.008,-0.008,-0.010,-0.010,-0.006
75621,2001/09/19,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.450,1.690,1.520,105100.000,-0.061728,1.500,1.520,37595.000,1.000,1.000,1.650,,-0.061728,-0.017,-0.017,-0.024,-0.024,-0.016
75621,2001/09/20,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.300,1.570,1.300,125200.000,-0.144737,1.280,1.330,37595.000,1.000,1.000,1.500,,-0.144737,-0.031,-0.031,-0.033,-0.033,-0.031
75621,2001/09/21,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.100,1.450,1.350,225900.000,0.038462,1.330,1.400,37595.000,1.000,1.000,1.200,,0.038462,-0.019,-0.019,-0.020,-0.020,-0.019
75621,2001/09/24,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.350,1.480,1.460,147600.000,0.081481,1.350,1.470,37595.000,1.000,1.000,1.360,,0.081481,0.038,0.038,0.033,0.033,0.039
75621,2001/09/25,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.380,1.500,1.400,75800.000,-0.041096,1.360,1.450,37595.000,1.000,1.000,1.480,,-0.041096,0.008,0.008,0.004,0.004,0.009
75621,2001/09/26,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.300,1.440,1.300,47200.000,-0.071429,1.250,1.300,37595.000,1.000,1.000,1.400,,-0.071429,-0.006,-0.006,-0.010,-0.010,-0.005
75621,2001/09/27,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.270,1.370,1.330,105300.000,0.023077,1.250,1.350,37595.000,1.000,1.000,1.350,,0.023077,0.011,0.011,-0.001,-0.001,0.011
75621,2001/09/28,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,0.000,53.000,533.000,,,,,,,,,,,,,,,1.250,1.340,1.300,79000.000,-0.022556,1.280,1.320,37596.000,1.000,1.000,1.300,,-0.022556,0.023,0.023,0.025,0.025,0.022
75621,2001/10/01,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.200,1.300,1.220,82500.000,-0.061538,1.210,1.220,37596.000,1.000,1.000,1.250,,-0.061538,-0.004,-0.004,-0.010,-0.010,-0.002
75621,2001/10/02,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.100,1.240,1.200,164500.000,-0.016393,1.170,1.200,37596.000,1.000,1.000,1.240,,-0.016393,0.012,0.012,0.007,0.007,0.012
75621,2001/10/03,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.150,1.200,1.200,120800.000,0.000000,1.170,1.200,37596.000,1.000,1.000,1.180,,0.000000,0.022,0.022,0.021,0.021,0.020
75621,2001/10/04,,11,1,5331,44183S10,HTH,HOUSE2HOME INC,,,,N,A,R,22085,0,1,5331,44183S10,,,,,,,,,53.000,533.000,,,,,,,,,,,,,,,1.160,1.200,1.200,84900.000,0.000000,1.170,1.200,37596.000,1.000,1.000,1.200,,0.000000,-0.000,-0.000,0.011,0.011,-0.002
