PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
48514,2001/01/02,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.438,2.688,2.500,260900.000,0.000000,,,145856.000,1.000,1.000,2.625,,0.000000,-0.034,-0.034,-0.001,-0.001,-0.028
48514,2001/01/03,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.500,2.750,2.688,393500.000,0.075000,,,145856.000,1.000,1.000,2.562,,0.075000,0.053,0.053,0.046,0.046,0.050
48514,2001/01/04,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.500,2.812,2.562,283300.000,-0.046512,,,145856.000,1.000,1.000,2.688,,-0.046512,-0.012,-0.012,0.011,0.011,-0.011
48514,2001/01/05,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.500,2.688,2.562,397600.000,0.000000,,,145856.000,1.000,1.000,2.562,,0.000000,-0.029,-0.029,-0.009,-0.009,-0.026
48514,2001/01/08,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.438,2.750,2.438,1101900.000,-0.048780,,,145856.000,1.000,1.000,2.562,,-0.048780,-0.003,-0.004,-0.005,-0.005,-0.002
48514,2001/01/09,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.438,2.500,2.500,517100.000,0.025641,,,145856.000,1.000,1.000,2.500,,0.025641,0.005,0.005,0.012,0.012,0.004
48514,2001/01/10,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.375,2.500,2.375,944400.000,-0.050000,,,145856.000,1.000,1.000,2.500,,-0.050000,0.014,0.014,0.021,0.020,0.010
48514,2001/01/11,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.188,2.438,2.312,763600.000,-0.026316,,,145856.000,1.000,1.000,2.438,,-0.026316,0.015,0.015,0.027,0.027,0.010
48514,2001/01/12,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.312,2.500,2.438,320300.000,0.054054,,,145856.000,1.000,1.000,2.375,,0.054054,-0.004,-0.004,0.019,0.019,-0.006
48514,2001/01/16,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.375,2.562,2.562,572100.000,0.051282,,,145856.000,1.000,1.000,2.500,,0.051282,0.006,0.006,0.019,0.019,0.006
48514,2001/01/17,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.312,2.562,2.375,605000.000,-0.073171,,,145856.000,1.000,1.000,2.500,,-0.073171,0.004,0.004,0.013,0.013,0.002
48514,2001/01/18,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.312,2.438,2.375,930000.000,0.000000,,,145856.000,1.000,1.000,2.375,,0.000000,0.012,0.012,0.009,0.008,0.014
48514,2001/01/19,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.250,2.375,2.312,455700.000,-0.026316,2.188,2.500,145856.000,1.000,1.000,2.375,,-0.026316,-0.004,-0.004,0.004,0.004,-0.004
48514,2001/01/22,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.188,2.375,2.312,1039300.000,0.000000,2.188,2.375,145856.000,1.000,1.000,2.375,,0.000000,0.000,0.000,0.005,0.005,0.000
48514,2001/01/23,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.250,2.438,2.375,4017700.000,0.027027,,,145856.000,1.000,1.000,2.312,,0.027027,0.016,0.016,0.015,0.015,0.013
48514,2001/01/24,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.312,2.562,2.500,1332600.000,0.052632,2.250,2.562,145856.000,1.000,1.000,2.438,,0.052632,0.003,0.003,0.007,0.007,0.003
48514,2001/01/25,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.500,2.875,2.562,2022300.000,0.025000,,,145856.000,1.000,1.000,2.500,,0.025000,-0.008,-0.008,-0.003,-0.003,-0.005
48514,2001/01/26,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,2.438,3.000,2.875,1673800.000,0.121951,,,145856.000,1.000,1.000,2.562,,0.121951,-0.001,-0.001,0.002,0.002,-0.002
48514,2001/01/29,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,3.100,3.500,3.410,1715500.000,0.186087,,,145856.000,1.000,1.000,3.250,,0.186087,0.009,0.009,0.010,0.010,0.007
48514,2001/01/30,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,3.390,3.650,3.400,1002400.000,-0.002933,,,145856.000,1.000,1.000,3.490,,-0.002933,0.007,0.007,0.010,0.009,0.007
48514,2001/01/31,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,0.000,,,,,,,,,,,,,,,,,3.460,4.160,4.030,1967100.000,0.185294,,,141698.000,1.000,1.000,3.570,,0.185294,-0.007,-0.007,-0.000,-0.000,-0.006
48514,2001/02/01,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.100,5.060,5.030,3052900.000,0.248139,4.950,5.050,141698.000,1.000,1.000,4.100,,0.248139,0.004,0.004,0.002,0.002,0.005
48514,2001/02/02,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.450,5.000,4.770,1424800.000,-0.051690,4.760,4.830,141698.000,1.000,1.000,4.980,,-0.051690,-0.019,-0.019,-0.009,-0.009,-0.017
48514,2001/02/05,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.060,4.700,4.200,1065900.000,-0.119497,4.190,4.300,141698.000,1.000,1.000,4.700,,-0.119497,0.002,0.002,-0.004,-0.004,0.004
48514,2001/02/06,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.160,4.720,4.400,767300.000,0.047619,,,141698.000,1.000,1.000,4.200,,0.047619,0.000,0.000,0.002,0.002,-0.002
48514,2001/02/07,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.310,4.790,4.760,472400.000,0.081818,,,141698.000,1.000,1.000,4.350,,0.081818,-0.009,-0.009,-0.004,-0.004,-0.008
48514,2001/02/08,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.700,4.790,4.720,484900.000,-0.008403,,,141698.000,1.000,1.000,4.750,,-0.008403,-0.006,-0.007,-0.003,-0.003,-0.006
48514,2001/02/09,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.500,4.720,4.700,424300.000,-0.004237,,,141698.000,1.000,1.000,4.720,,-0.004237,-0.014,-0.014,-0.009,-0.009,-0.013
48514,2001/02/12,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.480,4.740,4.710,328400.000,0.002128,,,141698.000,1.000,1.000,4.650,,0.002128,0.010,0.010,0.005,0.005,0.012
48514,2001/02/13,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.550,4.750,4.600,387900.000,-0.023355,,,141698.000,1.000,1.000,4.740,,-0.023355,-0.009,-0.009,-0.003,-0.004,-0.009
48514,2001/02/14,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.530,4.700,4.660,235300.000,0.013043,,,141698.000,1.000,1.000,4.600,,0.013043,-0.000,-0.000,-0.000,-0.001,-0.002
48514,2001/02/15,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,2001/01/23,,,,,2001/03/10,2001/02/20,0.000,,,1232.000,0.040,0.000,0.000,,,,,,,,,,,4.550,4.930,4.930,986700.000,0.066524,,,141698.000,1.000,1.000,4.550,,0.057940,0.009,0.009,0.009,0.009,0.008
48514,2001/02/16,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.500,4.830,4.530,405300.000,-0.081136,,,141698.000,1.000,1.000,4.830,,-0.081136,-0.021,-0.021,-0.014,-0.014,-0.019
48514,2001/02/20,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.200,4.650,4.500,667500.000,-0.006623,,,141698.000,1.000,1.000,4.630,,-0.006623,-0.019,-0.019,-0.012,-0.012,-0.017
48514,2001/02/21,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.200,4.650,4.300,511800.000,-0.044444,,,141698.000,1.000,1.000,4.500,,-0.044444,-0.018,-0.018,-0.016,-0.016,-0.019
48514,2001/02/22,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,3.960,4.350,4.320,552100.000,0.004651,,,141698.000,1.000,1.000,4.300,,0.004651,-0.005,-0.005,-0.011,-0.011,-0.002
48514,2001/02/23,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.100,4.450,4.410,349300.000,0.020833,,,141698.000,1.000,1.000,4.300,,0.020833,-0.004,-0.004,-0.003,-0.003,-0.006
48514,2001/02/26,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.100,4.680,4.520,721100.000,0.024943,4.200,4.600,141698.000,1.000,1.000,4.500,,0.024943,0.019,0.019,0.016,0.016,0.017
48514,2001/02/27,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.360,4.680,4.400,389000.000,-0.026549,,,141698.000,1.000,1.000,4.420,,-0.026549,-0.012,-0.012,-0.012,-0.012,-0.008
48514,2001/02/28,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,0.000,,,,,,,,,,,,,,,,,4.260,4.480,4.480,520000.000,0.018182,4.200,4.600,141698.000,1.000,1.000,4.400,,0.018182,-0.014,-0.014,-0.008,-0.008,-0.014
48514,2001/03/01,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.350,4.580,4.430,364600.000,-0.011161,,,141698.000,1.000,1.000,4.380,,-0.011161,0.000,0.000,-0.006,-0.006,0.001
48514,2001/03/02,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.350,4.910,4.840,717200.000,0.092551,4.700,4.980,141698.000,1.000,1.000,4.350,,0.092551,-0.005,-0.005,0.005,0.005,-0.006
48514,2001/03/05,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.750,5.080,5.010,1078700.000,0.035124,,,141698.000,1.000,1.000,4.840,,0.035124,0.005,0.005,0.002,0.002,0.006
48514,2001/03/06,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.650,5.070,4.970,448000.000,-0.007984,,,141698.000,1.000,1.000,5.070,,-0.007984,0.011,0.011,0.010,0.010,0.010
48514,2001/03/07,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.900,5.050,5.030,255100.000,0.012073,4.900,5.150,141698.000,1.000,1.000,5.000,,0.012073,0.006,0.006,0.006,0.005,0.006
48514,2001/03/08,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.040,5.350,5.150,989200.000,0.023857,,,141698.000,1.000,1.000,5.060,,0.023857,-0.001,-0.001,-0.004,-0.004,0.002
48514,2001/03/09,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.200,5.530,5.530,905000.000,0.073786,,,141698.000,1.000,1.000,5.400,,0.073786,-0.024,-0.024,-0.015,-0.015,-0.025
48514,2001/03/12,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.520,5.900,5.850,1254900.000,0.057866,,,141698.000,1.000,1.000,5.520,,0.057866,-0.042,-0.042,-0.031,-0.031,-0.043
48514,2001/03/13,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.580,6.000,5.680,838800.000,-0.029060,,,141698.000,1.000,1.000,5.850,,-0.029060,0.015,0.015,0.005,0.005,0.015
48514,2001/03/14,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.200,5.580,5.350,565900.000,-0.058099,,,141698.000,1.000,1.000,5.480,,-0.058099,-0.025,-0.025,-0.018,-0.018,-0.026
48514,2001/03/15,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.350,5.800,5.700,500500.000,0.065421,,,141698.000,1.000,1.000,5.420,,0.065421,0.003,0.003,-0.000,-0.000,0.006
48514,2001/03/16,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.410,5.950,5.610,586100.000,-0.015789,,,141698.000,1.000,1.000,5.950,,-0.015789,-0.021,-0.021,-0.018,-0.018,-0.020
48514,2001/03/19,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.360,5.750,5.700,528700.000,0.016043,,,141698.000,1.000,1.000,5.610,,0.016043,0.019,0.019,0.009,0.009,0.018
48514,2001/03/20,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.000,5.700,5.050,798200.000,-0.114035,,,141698.000,1.000,1.000,5.690,,-0.114035,-0.023,-0.023,-0.008,-0.009,-0.024
48514,2001/03/21,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.910,5.230,5.100,384500.000,0.009901,4.970,5.200,141698.000,1.000,1.000,5.010,,0.009901,-0.019,-0.019,-0.016,-0.016,-0.018
48514,2001/03/22,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.850,5.500,5.250,468000.000,0.029412,,,141698.000,1.000,1.000,5.000,,0.029412,-0.004,-0.005,-0.011,-0.011,-0.004
48514,2001/03/23,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.130,5.400,5.210,427300.000,-0.007619,,,141698.000,1.000,1.000,5.320,,-0.007619,0.020,0.020,0.021,0.021,0.020
48514,2001/03/26,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.960,5.260,5.120,289900.000,-0.017275,,,141698.000,1.000,1.000,5.230,,-0.017275,0.011,0.011,0.007,0.007,0.011
48514,2001/03/27,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.020,5.160,5.160,293300.000,0.007812,,,141698.000,1.000,1.000,5.050,,0.007812,0.023,0.023,0.009,0.009,0.026
48514,2001/03/28,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.000,5.170,5.060,322200.000,-0.019380,,,141698.000,1.000,1.000,5.170,,-0.019380,-0.026,-0.026,-0.018,-0.018,-0.024
48514,2001/03/29,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.010,5.220,5.200,354600.000,0.027668,,,141698.000,1.000,1.000,5.010,,0.027668,-0.005,-0.005,-0.007,-0.007,-0.005
48514,2001/03/30,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,0.000,,,,,,,,,,,,,,,,,5.100,5.700,5.700,533100.000,0.096154,,,141400.000,1.000,1.000,5.220,,0.096154,0.012,0.012,0.016,0.016,0.011
48514,2001/04/02,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,5.110,5.600,5.160,383200.000,-0.094737,,,141400.000,1.000,1.000,5.600,,-0.094737,-0.016,-0.016,-0.021,-0.021,-0.012
48514,2001/04/03,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.940,5.160,4.970,351800.000,-0.036822,,,141400.000,1.000,1.000,5.150,,-0.036822,-0.036,-0.036,-0.034,-0.034,-0.034
48514,2001/04/04,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.900,5.010,4.900,395100.000,-0.014084,,,141400.000,1.000,1.000,4.990,,-0.014084,-0.003,-0.003,-0.008,-0.008,-0.003
48514,2001/04/05,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.910,5.080,5.070,452300.000,0.034694,,,141400.000,1.000,1.000,4.950,,0.034694,0.046,0.046,0.039,0.039,0.044
48514,2001/04/06,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.920,5.120,5.080,343800.000,0.001972,,,141400.000,1.000,1.000,5.120,,0.001972,-0.020,-0.020,-0.013,-0.013,-0.020
48514,2001/04/09,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.900,5.080,5.050,222700.000,-0.005905,,,141400.000,1.000,1.000,5.000,,-0.005905,0.009,0.009,0.006,0.006,0.008
48514,2001/04/10,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.980,5.190,5.100,292000.000,0.009901,,,141400.000,1.000,1.000,5.050,,0.009901,0.029,0.029,0.023,0.023,0.027
48514,2001/04/11,,11,1,5111,45171310,IKN,IKON OFFICE SOLUTIONS INC,,,,N,A,R,20040,0,1,5045,45171310,,,,,,,,,,,,,,,,,,,,,,,,,4.750,5.180,4.990,967800.000,-0.021569,,,141400.000,1.000,1.000,5.120,,-0.021569,-0.001,-0.001,0.007,0.007,-0.002
