PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
43610,2001/01/02,,11,3,2830,45252810,IMNX,IMMUNEX CORP NEW,,IMNX,,Q,A,R,6125,7661,3,2830,45252810,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,57.000,10.000,37.125,42.500,37.547,5637715.000,-0.075769,37.500,37.562,540856.000,1.000,1.000,40.812,9153.000,-0.075769,-0.034,-0.034,-0.001,-0.001,-0.028
43610,2001/01/03,,11,3,2830,45252810,IMNX,IMMUNEX CORP NEW,,IMNX,,Q,A,R,6125,7661,3,2830,45252810,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,60.000,10.000,35.750,46.375,46.109,12974432.000,0.228048,46.062,46.125,540856.000,1.000,1.000,37.438,16568.000,0.228048,0.053,0.053,0.046,0.046,0.050
43610,2001/01/04,,11,3,2830,45252810,IMNX,IMMUNEX CORP NEW,,IMNX,,Q,A,R,6125,7661,3,2830,45252810,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,59.000,10.000,40.250,45.375,40.688,8533886.000,-0.117587,40.688,40.750,540856.000,1.000,1.000,44.312,11348.000,-0.117587,-0.012,-0.012,0.011,0.011,-0.011
43610,2001/01/05,,11,3,2830,45252810,IMNX,IMMUNEX CORP NEW,,IMNX,,Q,A,R,6125,7661,3,2830,45252810,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,60.000,10.000,34.750,41.062,36.375,10338092.000,-0.105991,36.312,36.375,540856.000,1.000,1.000,40.562,16017.000,-0.105991,-0.029,-0.029,-0.009,-0.009,-0.026
43610,2001/01/08,,11,3,2830,45252810,IMNX,IMMUNEX CORP NEW,,IMNX,,Q,A,R,6125,7661,3,2830,45252810,,,,,,,,,,,,,,,,,,,,,,,,,30.250,36.375,32.500,10963495.000,-0.106529,32.438,32.500,540856.000,1.000,1.000,36.062,16833.000,-0.106529,-0.003,-0.004,-0.005,-0.005,-0.002
43610,2001/01/09,,11,3,2830,45252810,IMNX,IMMUNEX CORP NEW,,IMNX,,Q,A,R,6125,7661,3,2830,45252810,,,,,,,,,,,,,,,,,,,,,,,,,31.750,34.875,33.688,7390544.000,0.036538,33.688,33.750,540856.000,1.000,1.000,33.438,12462.000,0.036538,0.005,0.005,0.012,0.012,0.004
43610,2001/01/10,,11,3,2830,45252810,IMNX,IMMUNEX CORP NEW,,IMNX,,Q,A,R,6125,7661,3,2830,45252810,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,61.000,10.000,33.812,39.000,37.750,8275200.000,0.120594,37.750,37.750,540856.000,1.000,1.000,33.875,17475.000,0.120594,0.014,0.014,0.021,0.020,0.010
43610,2001/01/11,,11,3,2830,45252810,IMNX,IMMUNEX CORP NEW,,IMNX,,Q,A,R,6125,7661,3,2830,45252810,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,62.000,10.000,35.125,39.312,37.625,7890310.000,-0.003311,37.562,37.625,540856.000,1.000,1.000,38.812,12225.000,-0.003311,0.015,0.015,0.027,0.027,0.010
43610,2001/01/12,,11,3,2830,45252810,IMNX,IMMUNEX CORP NEW,,IMNX,,Q,A,R,6125,7661,3,2830,45252810,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,60.000,10.000,35.625,38.312,37.312,5882690.000,-0.008306,37.375,37.375,540856.000,1.000,1.000,37.062,8658.000,-0.008306,-0.004,-0.004,0.019,0.019,-0.006
43610,2001/01/16,,11,3,2830,45252810,IMNX,IMMUNEX CORP NEW,,IMNX,,Q,A,R,6125,7661,3,2830,45252810,,,,,,,,,,,,,,,,,,,,,,,,,36.000,39.312,36.562,5010216.000,-0.020101,36.500,36.562,540856.000,1.000,1.000,36.938,7897.000,-0.020101,0.006,0.006,0.019,0.019,0.006
