PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
79906,2001/01/02,,11,3,8731,45337C10,INCY,INCYTE GENOMICS INC,,INCY,,Q,A,R,30033,19236,3,8731,45337C10,,,,,,,,,,,,,,,,,,,,,,,,,22.500,24.750,22.562,729129.000,-0.092965,22.500,22.562,65692.000,1.000,1.000,24.750,1007.000,-0.092965,-0.034,-0.034,-0.001,-0.001,-0.028
79906,2001/01/03,,11,3,8731,45337C10,INCY,INCYTE GENOMICS INC,,INCY,,Q,A,R,30033,19236,3,8731,45337C10,,,,,,,,,,,,,,,,,,,,,,,,,19.250,24.250,23.062,1929141.000,0.022161,23.062,23.125,65692.000,1.000,1.000,22.375,2031.000,0.022161,0.053,0.053,0.046,0.046,0.050
79906,2001/01/04,,11,3,8731,45337C10,INCY,INCYTE GENOMICS INC,,INCY,,Q,A,R,30033,19236,3,8731,45337C10,,,,,,,,,,,,,,,,,,,,,,,,,21.812,24.500,22.766,1233542.000,-0.012873,22.750,22.812,65692.000,1.000,1.000,23.750,1387.000,-0.012873,-0.012,-0.012,0.011,0.011,-0.011
79906,2001/01/05,,11,3,8731,45337C10,INCY,INCYTE GENOMICS INC,,INCY,,Q,A,R,30033,19236,3,8731,45337C10,,,,,,,,,,,,,,,,,,,,,,,,,19.000,22.812,21.000,1772444.000,-0.077557,21.000,21.062,65692.000,1.000,1.000,22.750,1452.000,-0.077557,-0.029,-0.029,-0.009,-0.009,-0.026
79906,2001/01/08,,11,3,8731,45337C10,INCY,INCYTE GENOMICS INC,,INCY,,Q,A,R,30033,19236,3,8731,45337C10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,38.000,10.000,21.500,23.250,21.812,3106788.000,0.038690,21.750,21.812,65692.000,1.000,1.000,22.000,2462.000,0.038690,-0.003,-0.004,-0.005,-0.005,-0.002
79906,2001/01/09,,11,3,8731,45337C10,INCY,INCYTE GENOMICS INC,,INCY,,Q,A,R,30033,19236,3,8731,45337C10,,,,,,,,,,,,,,,,,,,,,,,,,22.438,24.750,24.000,1605788.000,0.100287,24.125,24.250,65692.000,1.000,1.000,22.938,2406.000,0.100287,0.005,0.005,0.012,0.012,0.004
79906,2001/01/10,,11,3,8731,45337C10,INCY,INCYTE GENOMICS INC,,INCY,,Q,A,R,30033,19236,3,8731,45337C10,,,,,,,,,,,,,,,,,,,,,,,,,22.875,25.500,23.500,2771815.000,-0.020833,23.438,23.500,65692.000,1.000,1.000,23.562,2224.000,-0.020833,0.014,0.014,0.021,0.020,0.010
79906,2001/01/11,,11,3,8731,45337C10,INCY,INCYTE GENOMICS INC,,INCY,,Q,A,R,30033,19236,3,8731,45337C10,,,,,,,,,,,,,,,,,,,,,,,,,22.750,24.000,23.312,2593915.000,-0.007979,23.250,23.312,65692.000,1.000,1.000,23.500,1511.000,-0.007979,0.015,0.015,0.027,0.027,0.010
79906,2001/01/12,,11,3,8731,45337C10,INCY,INCYTE GENOMICS INC,,INCY,,Q,A,R,30033,19236,3,8731,45337C10,,,,,,,,,,,,,,,,,,,,,,,,,22.250,24.875,24.625,1677935.000,0.056300,24.562,24.625,65692.000,1.000,1.000,23.312,1896.000,0.056300,-0.004,-0.004,0.019,0.019,-0.006
79906,2001/01/16,,11,3,8731,45337C10,INCY,INCYTE GENOMICS INC,,INCY,,Q,A,R,30033,19236,3,8731,45337C10,,,,,,,,,,,,,,,,,,,,,,,,,23.750,25.188,24.375,1199158.000,-0.010152,24.312,24.375,65692.000,1.000,1.000,24.531,1324.000,-0.010152,0.006,0.006,0.019,0.019,0.006
