PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
21573,2001/01/02,,11,1,2621,46014610,IP,INTERNATIONAL PAPER CO,,,,N,A,R,20994,0,1,2621,46014610,,,,,,,,,,,,,,,,,,,,,,,,,39.000,41.125,39.438,3479500.000,-0.033691,38.938,39.938,481370.000,1.014,1.000,40.000,,-0.033691,-0.034,-0.034,-0.001,-0.001,-0.028
21573,2001/01/03,,11,1,2621,46014610,IP,INTERNATIONAL PAPER CO,,,,N,A,R,20994,0,1,2621,46014610,,,,,,,,,,,,,,,,,,,,,,,,,39.250,42.000,41.062,3031200.000,0.041204,40.562,41.562,481370.000,1.014,1.000,39.562,,0.041204,0.053,0.053,0.046,0.046,0.050
21573,2001/01/04,,11,1,2621,46014610,IP,INTERNATIONAL PAPER CO,,,,N,A,R,20994,0,1,2621,46014610,,,,,,,,,,,,,,,,,,,,,,,,,40.438,43.312,42.625,4304900.000,0.038052,42.125,43.125,481370.000,1.014,1.000,41.000,,0.038052,-0.012,-0.012,0.011,0.011,-0.011
21573,2001/01/05,,11,1,2621,46014610,IP,INTERNATIONAL PAPER CO,,,,N,A,R,20994,0,1,2621,46014610,,,,,,,,,,,,,,,,,,,,,,,,,40.250,42.688,41.500,2518400.000,-0.026393,41.000,42.000,481370.000,1.014,1.000,42.688,,-0.026393,-0.029,-0.029,-0.009,-0.009,-0.026
21573,2001/01/08,,11,1,2621,46014610,IP,INTERNATIONAL PAPER CO,,,,N,A,R,20994,0,1,2621,46014610,,,,,,,,,,,,,,,,,,,,,,,,,39.250,41.812,40.000,3451400.000,-0.036145,39.500,40.500,481370.000,1.014,1.000,41.562,,-0.036145,-0.003,-0.004,-0.005,-0.005,-0.002
21573,2001/01/09,,11,1,2621,46014610,IP,INTERNATIONAL PAPER CO,,,,N,A,R,20994,0,1,2621,46014610,,,,,,,,,,,,,,,,,,,,,,,,,37.938,39.938,38.312,2885500.000,-0.042188,37.812,38.812,481370.000,1.014,1.000,39.938,,-0.042188,0.005,0.005,0.012,0.012,0.004
21573,2001/01/10,,11,1,2621,46014610,IP,INTERNATIONAL PAPER CO,,,,N,A,R,20994,0,1,2621,46014610,,,,,,,,,,,,,,,,,,,,,,,,,37.062,38.688,38.125,3032300.000,-0.004894,37.625,38.625,481370.000,1.014,1.000,38.562,,-0.004894,0.014,0.014,0.021,0.020,0.010
21573,2001/01/11,,11,1,2621,46014610,IP,INTERNATIONAL PAPER CO,,,,N,A,R,20994,0,1,2621,46014610,,,,,,,,,,,,,,,,,,,,,,,,,36.562,38.062,37.750,3947900.000,-0.009836,37.250,38.250,481370.000,1.014,1.000,38.000,,-0.009836,0.015,0.015,0.027,0.027,0.010
21573,2001/01/12,,11,1,2621,46014610,IP,INTERNATIONAL PAPER CO,,,,N,A,R,20994,0,1,2621,46014610,,,,,,,,,,,,,,,,,,,,,,,,,35.750,37.000,36.938,3728900.000,-0.021523,36.438,37.438,481370.000,1.014,1.000,36.875,,-0.021523,-0.004,-0.004,0.019,0.019,-0.006
21573,2001/01/16,,11,1,2621,46014610,IP,INTERNATIONAL PAPER CO,,,,N,A,R,20994,0,1,2621,46014610,,,,,,,,,,,,,,,,,,,,,,,,,36.125,38.062,37.625,3198700.000,0.018613,37.125,38.125,481370.000,1.014,1.000,36.688,,0.018613,0.006,0.006,0.019,0.019,0.006
