PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
12431,2001/01/02,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,39.750,41.312,40.625,947900.000,-0.029851,,,161659.000,2.518,2.000,41.250,,-0.029851,-0.034,-0.034,-0.001,-0.001,-0.028
12431,2001/01/03,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,39.500,42.000,41.312,1140900.000,0.016923,,,161659.000,2.518,2.000,40.312,,0.016923,0.053,0.053,0.046,0.046,0.050
12431,2001/01/04,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,41.688,44.312,44.062,1291500.000,0.066566,,,161659.000,2.518,2.000,42.000,,0.066566,-0.012,-0.012,0.011,0.011,-0.011
12431,2001/01/05,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,42.062,44.250,42.438,1218900.000,-0.036879,,,161659.000,2.518,2.000,44.250,,-0.036879,-0.029,-0.029,-0.009,-0.009,-0.026
12431,2001/01/08,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,41.312,42.500,41.750,722200.000,-0.016200,41.500,41.875,161659.000,2.518,2.000,42.438,,-0.016200,-0.003,-0.004,-0.005,-0.005,-0.002
12431,2001/01/09,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,41.812,42.500,42.000,526400.000,0.005988,,,161659.000,2.518,2.000,42.125,,0.005988,0.005,0.005,0.012,0.012,0.004
12431,2001/01/10,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,40.188,42.312,41.562,974300.000,-0.010417,,,161659.000,2.518,2.000,42.250,,-0.010417,0.014,0.014,0.021,0.020,0.010
12431,2001/01/11,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,40.375,41.875,41.000,921700.000,-0.013534,,,161659.000,2.518,2.000,41.875,,-0.013534,0.015,0.015,0.027,0.027,0.010
12431,2001/01/12,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,38.062,41.250,38.750,2132600.000,-0.054878,,,161659.000,2.518,2.000,41.250,,-0.054878,-0.004,-0.004,0.019,0.019,-0.006
12431,2001/01/16,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,38.500,40.312,40.000,1122600.000,0.032258,,,161659.000,2.518,2.000,39.000,,0.032258,0.006,0.006,0.019,0.019,0.006
12431,2001/01/17,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,39.562,40.375,39.875,499100.000,-0.003125,,,161659.000,2.518,2.000,40.375,,-0.003125,0.004,0.004,0.013,0.013,0.002
12431,2001/01/18,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,38.562,39.875,39.250,725100.000,-0.015674,,,161659.000,2.518,2.000,39.875,,-0.015674,0.012,0.012,0.009,0.008,0.014
12431,2001/01/19,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,38.500,39.500,38.875,785300.000,-0.009554,,,161659.000,2.518,2.000,39.500,,-0.009554,-0.004,-0.004,0.004,0.004,-0.004
12431,2001/01/22,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,38.250,39.312,38.875,987300.000,0.000000,,,161659.000,2.518,2.000,38.500,,0.000000,0.000,0.000,0.005,0.005,0.000
12431,2001/01/23,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,38.312,39.750,39.062,1226900.000,0.004823,,,161659.000,2.518,2.000,38.750,,0.004823,0.016,0.016,0.015,0.015,0.013
12431,2001/01/24,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,39.688,40.625,40.062,1830000.000,0.025600,,,161659.000,2.518,2.000,40.000,,0.025600,0.003,0.003,0.007,0.007,0.003
12431,2001/01/25,,11,1,3563,45686610,IR,INGERSOLL RAND CO,,,,N,A,R,20977,0,1,3822,G4779110,,,,,,,,,,,,,,,,,,,,,,,,,41.125,42.875,42.688,1307300.000,0.065523,,,161659.000,2.518,2.000,41.375,,0.065523,-0.008,-0.008,-0.003,-0.003,-0.005
