PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
67029,2004/12/09,2006/06/29,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,0.000,36.000,366.000,,,,,,,,,,,5.000,3.000,0.000,1.000,3.600,3.870,3.860,103100.000,C,3.850,3.900,24763.000,1.000,1.000,3.750,,C,0.004,0.004,0.000,0.000,0.005
67029,2004/12/10,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.750,3.850,3.850,41000.000,-0.002591,3.750,3.850,24763.000,1.000,1.000,3.800,,-0.002591,-0.000,-0.000,0.003,0.003,-0.001
67029,2004/12/13,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.750,3.840,3.750,14500.000,-0.025974,3.750,3.850,24763.000,1.000,1.000,3.800,,-0.025974,0.009,0.008,0.007,0.007,0.009
67029,2004/12/14,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.600,3.790,3.660,33500.000,-0.024000,3.660,3.680,24763.000,1.000,1.000,3.750,,-0.024000,0.004,0.004,0.005,0.005,0.004
67029,2004/12/15,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.650,3.700,3.650,5300.000,-0.002732,3.650,3.690,24763.000,1.000,1.000,3.650,,-0.002732,0.004,0.004,0.006,0.006,0.002
67029,2004/12/16,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.510,3.690,3.600,13100.000,-0.013699,3.570,3.640,24763.000,1.000,1.000,3.600,,-0.013699,-0.003,-0.003,-0.003,-0.003,-0.002
67029,2004/12/17,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.400,3.600,3.410,41100.000,-0.052778,3.410,3.430,24763.000,1.000,1.000,3.600,,-0.052778,-0.004,-0.004,0.002,0.002,-0.007
67029,2004/12/20,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.400,3.550,3.400,14100.000,-0.002933,3.360,3.440,24763.000,1.000,1.000,3.500,,-0.002933,-0.001,-0.001,-0.003,-0.003,0.000
67029,2004/12/21,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.250,3.420,3.300,57000.000,-0.029412,3.280,3.300,24763.000,1.000,1.000,3.400,,-0.029412,0.009,0.009,0.007,0.007,0.009
67029,2004/12/22,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.210,3.300,3.290,66000.000,-0.003030,3.220,3.290,24763.000,1.000,1.000,3.250,,-0.003030,0.003,0.003,0.004,0.004,0.003
67029,2004/12/23,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.210,3.270,3.250,54800.000,-0.012158,3.250,3.260,24763.000,1.000,1.000,3.250,,-0.012158,0.001,0.001,0.003,0.003,0.000
67029,2004/12/27,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.250,3.310,3.300,33600.000,0.015385,3.300,3.340,24763.000,1.000,1.000,3.250,,0.015385,-0.004,-0.004,-0.001,-0.001,-0.004
67029,2004/12/28,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.260,3.350,3.310,18000.000,0.003030,3.310,3.340,24763.000,1.000,1.000,3.280,,0.003030,0.008,0.008,0.010,0.010,0.007
67029,2004/12/29,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.280,3.330,3.280,3200.000,-0.009063,3.250,3.290,24763.000,1.000,1.000,3.330,,-0.009063,0.001,0.000,0.002,0.002,-0.000
67029,2004/12/30,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.260,3.290,3.260,10700.000,-0.006098,3.260,3.290,24763.000,1.000,1.000,3.260,,-0.006098,0.001,0.001,0.004,0.004,0.000
67029,2004/12/31,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,0.000,36.000,366.000,,,,,,,,,,,5.000,3.000,0.000,1.000,3.150,3.450,3.450,48200.000,0.058282,3.310,3.390,24763.000,1.000,1.000,3.260,,0.058282,-0.001,-0.001,0.003,0.003,-0.001
67029,2005/01/03,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.350,3.430,3.380,8100.000,-0.020290,3.330,3.370,24763.000,1.000,1.000,3.430,,-0.020290,-0.010,-0.010,-0.010,-0.010,-0.008
67029,2005/01/04,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.250,3.390,3.300,26400.000,-0.023669,3.280,3.350,24763.000,1.000,1.000,3.350,,-0.023669,-0.013,-0.013,-0.014,-0.014,-0.012
67029,2005/01/05,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.200,3.360,3.300,14500.000,0.000000,3.250,3.360,24763.000,1.000,1.000,3.330,,0.000000,-0.006,-0.006,-0.011,-0.011,-0.004
67029,2005/01/06,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.100,3.280,3.190,27500.000,-0.033333,3.140,3.200,24763.000,1.000,1.000,3.280,,-0.033333,0.003,0.003,0.002,0.002,0.004
67029,2005/01/07,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.140,3.160,3.160,8500.000,-0.009404,3.120,3.160,24763.000,1.000,1.000,3.150,,-0.009404,-0.002,-0.002,-0.004,-0.004,-0.001
67029,2005/01/10,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.120,3.200,3.180,6800.000,0.006329,3.110,3.190,24763.000,1.000,1.000,3.150,,0.006329,0.004,0.004,0.004,0.004,0.003
67029,2005/01/11,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.050,3.260,3.110,13500.000,-0.022013,3.050,3.140,24763.000,1.000,1.000,3.250,,-0.022013,-0.006,-0.006,-0.009,-0.009,-0.006
67029,2005/01/12,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.050,3.150,3.150,22200.000,0.012862,3.110,3.150,24763.000,1.000,1.000,3.050,,0.012862,0.004,0.004,0.003,0.002,0.004
67029,2005/01/13,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.120,3.200,3.120,113100.000,-0.009524,3.120,3.130,24763.000,1.000,1.000,3.170,,-0.009524,-0.007,-0.007,-0.003,-0.003,-0.009
67029,2005/01/14,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.170,3.180,3.170,1400.000,0.016026,3.060,3.180,24763.000,1.000,1.000,3.180,,0.016026,0.006,0.006,0.007,0.007,0.006
67029,2005/01/18,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.260,3.260,3.260,1600.000,0.028391,3.160,3.260,24763.000,1.000,1.000,3.260,,0.028391,0.009,0.009,0.008,0.008,0.010
67029,2005/01/19,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.000,3.150,3.150,26400.000,-0.033742,3.130,3.240,24763.000,1.000,1.000,3.150,,-0.033742,-0.009,-0.009,-0.006,-0.006,-0.009
67029,2005/01/20,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.010,3.120,3.110,6900.000,-0.012698,3.100,3.190,24763.000,1.000,1.000,3.110,,-0.012698,-0.007,-0.007,-0.008,-0.008,-0.008
67029,2005/01/21,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.080,3.250,3.250,6000.000,0.045016,3.170,3.300,24763.000,1.000,1.000,3.080,,0.045016,-0.005,-0.005,-0.001,-0.001,-0.006
67029,2005/01/24,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.060,3.210,3.150,9400.000,-0.030769,3.150,3.190,24763.000,1.000,1.000,3.180,,-0.030769,-0.005,-0.005,-0.008,-0.008,-0.004
67029,2005/01/25,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.150,3.160,3.160,1100.000,0.003175,3.060,3.150,24763.000,1.000,1.000,3.150,,0.003175,0.003,0.003,0.001,0.001,0.004
67029,2005/01/26,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.110,3.110,3.110,1000.000,-0.015823,3.100,3.140,24763.000,1.000,1.000,3.110,,-0.015823,0.006,0.006,0.009,0.009,0.005
67029,2005/01/27,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.100,3.110,3.100,1900.000,-0.003215,3.060,3.090,24763.000,1.000,1.000,3.110,,-0.003215,0.001,0.001,0.001,0.001,0.000
67029,2005/01/28,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.090,3.120,3.100,12300.000,0.000000,3.090,3.110,24763.000,1.000,1.000,3.100,,0.000000,-0.003,-0.003,-0.002,-0.002,-0.003
67029,2005/01/31,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,0.000,36.000,366.000,,,,,,,,,,,5.000,3.000,0.000,1.000,3.060,3.090,3.090,9100.000,-0.003226,3.090,3.100,24763.000,1.000,1.000,3.090,,-0.003226,0.009,0.009,0.011,0.011,0.008
67029,2005/02/01,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.070,3.100,3.070,2000.000,-0.006472,3.070,3.100,24763.000,1.000,1.000,3.100,,-0.006472,0.007,0.007,0.005,0.005,0.007
67029,2005/02/02,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,3.000,3.100,3.000,12000.000,-0.022801,2.950,3.000,24763.000,1.000,1.000,3.090,,-0.022801,0.004,0.004,0.006,0.005,0.003
67029,2005/02/03,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,2.920,3.100,2.920,38200.000,-0.026667,2.920,3.010,24763.000,1.000,1.000,3.050,,-0.026667,-0.003,-0.003,-0.002,-0.002,-0.003
67029,2005/02/04,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,2.960,3.050,2.960,17100.000,0.013699,2.960,3.010,24763.000,1.000,1.000,3.000,,0.013699,0.011,0.011,0.010,0.009,0.011
67029,2005/02/07,,11,2,3572,46564T10,ITI,ITERIS INC,,ITI,334112,A,A,R,3333,17250,3,3663,46564T10,,,,,,,,,36.000,366.000,,,,,,,,,,,,,,,2.950,3.030,3.030,4400.000,0.023649,3.000,3.030,24763.000,1.000,1.000,2.950,,0.023649,-0.001,-0.001,0.000,0.000,-0.001
