PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
20415,2018/05/24,2018/12/31,11,1,5099,47233W10,JEF,JEFFERIES FINANCIAL GROUP INC,,JEF,423990,N,A,R,21097,0,1,5099,47233W10,,,,,,,,2.000,50.000,509.000,,,,,,,,,,,,,,,23.010,23.640,23.080,1175269.000,-0.016617,23.080,23.090,357216.000,1.000,1.000,23.350,,-0.016617,-0.002,-0.002,-0.001,-0.001,-0.002
20415,2018/05/25,,11,1,5099,47233W10,JEF,JEFFERIES FINANCIAL GROUP INC,,JEF,423990,N,A,R,21097,0,1,5099,47233W10,,,,,,,,,50.000,509.000,,,,,,,,,,,,,,,23.000,23.270,23.240,1389085.000,0.006932,23.240,23.250,357216.000,1.000,1.000,23.000,,0.006932,-0.002,-0.002,-0.001,-0.001,-0.002
20415,2018/05/29,,11,1,5099,47233W10,JEF,JEFFERIES FINANCIAL GROUP INC,,JEF,423990,N,A,R,21097,0,1,5099,47233W10,,,,,,,,,50.000,509.000,,,,,,,,,,,,,,,22.050,22.960,22.190,2194616.000,-0.045181,22.180,22.190,357216.000,1.000,1.000,22.920,,-0.045181,-0.010,-0.010,-0.005,-0.005,-0.012
20415,2018/05/30,,11,1,5099,47233W10,JEF,JEFFERIES FINANCIAL GROUP INC,,JEF,423990,N,A,R,21097,0,1,5099,47233W10,,,,,,,,,50.000,509.000,,,,,,,,,,,,,,,22.200,22.470,22.210,1739930.000,0.000901,22.210,22.220,357216.000,1.000,1.000,22.420,,0.000901,0.013,0.013,0.010,0.010,0.013
20415,2018/05/31,,11,1,5099,47233W10,JEF,JEFFERIES FINANCIAL GROUP INC,,JEF,423990,N,A,R,21097,0,1,5099,47233W10,,,,,,,,0.000,50.000,509.000,,,,,,,,,,,,,,,21.860,22.390,21.880,3281724.000,-0.014858,21.870,21.880,344541.000,1.000,1.000,22.230,,-0.014858,-0.007,-0.007,-0.003,-0.003,-0.007
20415,2018/06/01,,11,1,5099,47233W10,JEF,JEFFERIES FINANCIAL GROUP INC,,JEF,423990,N,A,R,21097,0,1,5099,47233W10,,,,,,,,,50.000,509.000,,,,,,,,,,,,,,,21.980,22.160,22.080,1590570.000,0.009141,22.060,22.070,344541.000,1.000,1.000,22.160,,0.009141,0.010,0.010,0.006,0.006,0.011
20415,2018/06/04,,11,1,5099,47233W10,JEF,JEFFERIES FINANCIAL GROUP INC,,JEF,423990,N,A,R,21097,0,1,5099,47233W10,,,,,,,,,50.000,509.000,,,,,,,,,,,,,,,21.870,22.240,21.940,1531833.000,-0.006341,21.930,21.940,344541.000,1.000,1.000,22.170,,-0.006341,0.005,0.005,0.002,0.002,0.004
20415,2018/06/05,,11,1,5099,47233W10,JEF,JEFFERIES FINANCIAL GROUP INC,,JEF,423990,N,A,R,21097,0,1,5099,47233W10,,,,,,,,,50.000,509.000,,,,,,,,,,,,,,,21.630,22.000,21.950,1397481.000,0.000456,21.950,21.960,344541.000,1.000,1.000,21.930,,0.000456,0.001,0.001,0.004,0.004,0.001
20415,2018/06/06,,11,1,5099,47233W10,JEF,JEFFERIES FINANCIAL GROUP INC,,JEF,423990,N,A,R,21097,0,1,5099,47233W10,,,,,,,,,50.000,509.000,,,,,,,,,,,,,,,21.950,22.870,22.800,2771692.000,0.038724,22.790,22.800,344541.000,1.000,1.000,21.950,,0.038724,0.008,0.008,0.004,0.004,0.009
20415,2018/06/07,,11,1,5099,47233W10,JEF,JEFFERIES FINANCIAL GROUP INC,,JEF,423990,N,A,R,21097,0,1,5099,47233W10,,,,,,,,,50.000,509.000,,,,,,,,,,,,,,,22.783,23.210,23.000,2047530.000,0.008772,23.010,23.020,344541.000,1.000,1.000,22.930,,0.008772,-0.001,-0.001,-0.001,-0.001,-0.001
