PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
76638,2001/01/02,,11,1,2337,48007410,JNY,JONES APPAREL GROUP INC,,,,N,A,R,29019,0,1,2337,48020T10,,,,,,,,,,,,,,,,,,,,,,,,,31.438,33.125,31.500,584900.000,-0.021359,,,119323.000,1.000,1.000,33.125,,-0.021359,-0.034,-0.034,-0.001,-0.001,-0.028
76638,2001/01/03,,11,1,2337,48007410,JNY,JONES APPAREL GROUP INC,,,,N,A,R,29019,0,1,2337,48020T10,,,,,,,,,,,,,,,,,,,,,,,,,31.125,34.125,34.125,818600.000,0.083333,,,119323.000,1.000,1.000,31.375,,0.083333,0.053,0.053,0.046,0.046,0.050
76638,2001/01/04,,11,1,2337,48007410,JNY,JONES APPAREL GROUP INC,,,,N,A,R,29019,0,1,2337,48020T10,,,,,,,,,,,,,,,,,,,,,,,,,33.688,37.438,36.062,1875200.000,0.056777,,,119323.000,1.000,1.000,34.000,,0.056777,-0.012,-0.012,0.011,0.011,-0.011
76638,2001/01/05,,11,1,2337,48007410,JNY,JONES APPAREL GROUP INC,,,,N,A,R,29019,0,1,2337,48020T10,,,,,,,,,,,,,,,,,,,,,,,,,34.188,35.812,34.750,1312900.000,-0.036395,,,119323.000,1.000,1.000,35.812,,-0.036395,-0.029,-0.029,-0.009,-0.009,-0.026
76638,2001/01/08,,11,1,2337,48007410,JNY,JONES APPAREL GROUP INC,,,,N,A,R,29019,0,1,2337,48020T10,,,,,,,,,,,,,,,,,,,,,,,,,34.938,36.438,35.938,918700.000,0.034173,,,119323.000,1.000,1.000,35.000,,0.034173,-0.003,-0.004,-0.005,-0.005,-0.002
76638,2001/01/09,,11,1,2337,48007410,JNY,JONES APPAREL GROUP INC,,,,N,A,R,29019,0,1,2337,48020T10,,,,,,,,,,,,,,,,,,,,,,,,,33.500,35.875,35.125,655200.000,-0.022609,,,119323.000,1.000,1.000,35.688,,-0.022609,0.005,0.005,0.012,0.012,0.004
76638,2001/01/10,,11,1,2337,48007410,JNY,JONES APPAREL GROUP INC,,,,N,A,R,29019,0,1,2337,48020T10,,,,,,,,,,,,,,,,,,,,,,,,,34.500,36.938,36.812,849100.000,0.048043,,,119323.000,1.000,1.000,34.875,,0.048043,0.014,0.014,0.021,0.020,0.010
76638,2001/01/11,,11,1,2337,48007410,JNY,JONES APPAREL GROUP INC,,,,N,A,R,29019,0,1,2337,48020T10,,,,,,,,,,,,,,,,,,,,,,,,,36.062,37.000,36.750,623700.000,-0.001698,,,119323.000,1.000,1.000,37.000,,-0.001698,0.015,0.015,0.027,0.027,0.010
76638,2001/01/12,,11,1,2337,48007410,JNY,JONES APPAREL GROUP INC,,,,N,A,R,29019,0,1,2337,48020T10,,,,,,,,,,,,,,,,,,,,,,,,,35.938,37.562,37.062,801000.000,0.008503,,,119323.000,1.000,1.000,36.500,,0.008503,-0.004,-0.004,0.019,0.019,-0.006
76638,2001/01/16,,11,1,2337,48007410,JNY,JONES APPAREL GROUP INC,,,,N,A,R,29019,0,1,2337,48020T10,,,,,,,,,,,,,,,,,,,,,,,,,36.562,37.688,37.688,671000.000,0.016863,,,119323.000,1.000,1.000,37.062,,0.016863,0.006,0.006,0.019,0.019,0.006
