PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
70092,2001/01/02,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,31.250,33.500,31.438,395900.000,-0.066790,,,42869.000,2.000,2.000,32.875,,-0.066790,-0.034,-0.034,-0.001,-0.001,-0.028
70092,2001/01/03,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,31.750,35.125,35.125,831900.000,0.117296,,,42869.000,2.000,2.000,31.750,,0.117296,0.053,0.053,0.046,0.046,0.050
70092,2001/01/04,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,34.875,37.250,34.938,1532900.000,-0.005338,,,42869.000,2.000,2.000,37.000,,-0.005338,-0.012,-0.012,0.011,0.011,-0.011
70092,2001/01/05,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,33.750,35.938,34.500,603700.000,-0.012522,,,42869.000,2.000,2.000,35.812,,-0.012522,-0.029,-0.029,-0.009,-0.009,-0.026
70092,2001/01/08,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,32.500,34.375,32.875,529200.000,-0.047101,,,42869.000,2.000,2.000,34.000,,-0.047101,-0.003,-0.004,-0.005,-0.005,-0.002
70092,2001/01/09,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,32.938,34.312,33.812,339800.000,0.028517,,,42869.000,2.000,2.000,32.938,,0.028517,0.005,0.005,0.012,0.012,0.004
70092,2001/01/10,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,33.562,34.625,34.438,547500.000,0.018484,34.500,36.250,42869.000,2.000,2.000,33.812,,0.018484,0.014,0.014,0.021,0.020,0.010
70092,2001/01/11,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,34.312,35.500,34.375,603800.000,-0.001815,,,42869.000,2.000,2.000,35.000,,-0.001815,0.015,0.015,0.027,0.027,0.010
70092,2001/01/12,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,33.625,34.938,34.000,389200.000,-0.010909,,,42869.000,2.000,2.000,34.875,,-0.010909,-0.004,-0.004,0.019,0.019,-0.006
70092,2001/01/16,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,33.875,35.125,34.375,728200.000,0.011029,,,42869.000,2.000,2.000,34.000,,0.011029,0.006,0.006,0.019,0.019,0.006
70092,2001/01/17,,11,1,1531,48616810,KBH,KAUFMAN & BROAD HOME CORP,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,,,,,,,,,,,,,,,,,34.438,35.188,34.875,758500.000,0.014545,,,42869.000,2.000,2.000,34.438,,0.014545,0.004,0.004,0.013,0.013,0.002
70092,2001/01/18,2001/08/23,11,1,1521,48666K10,KBH,K B HOME,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,2.000,15.000,153.000,,,,,,,,,,,,,,,34.125,35.000,34.625,1008300.000,-0.007168,,,42869.000,2.000,2.000,34.938,,-0.007168,0.012,0.012,0.009,0.008,0.014
70092,2001/01/19,,11,1,1521,48666K10,KBH,K B HOME,,,,N,A,R,21037,0,1,1531,48666K10,,,,,,,,,15.000,153.000,,,,,,,,,,,,,,,31.375,34.500,32.688,718700.000,-0.055957,,,42869.000,2.000,2.000,34.375,,-0.055957,-0.004,-0.004,0.004,0.004,-0.004
