PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
46886,2001/01/02,,11,3,3820,48248010,KLAC,K L A TENCOR CORP,,KLAC,,Q,A,R,2551,3250,3,3827,48248010,,,,,,,,,,,,,,,,,,,,,,,,,33.500,36.375,34.125,5803981.000,0.012987,34.062,34.125,184457.000,1.000,1.000,33.500,11568.000,0.012987,-0.034,-0.034,-0.001,-0.001,-0.028
46886,2001/01/03,,11,3,3820,48248010,KLAC,K L A TENCOR CORP,,KLAC,,Q,A,R,2551,3250,3,3827,48248010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,2.000,34.062,42.750,42.688,9913875.000,0.250916,42.688,42.750,184457.000,1.000,1.000,34.062,16722.000,0.250916,0.053,0.053,0.046,0.046,0.050
46886,2001/01/04,,11,3,3820,48248010,KLAC,K L A TENCOR CORP,,KLAC,,Q,A,R,2551,3250,3,3827,48248010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,2.000,38.375,42.250,39.812,7852353.000,-0.067350,39.812,39.938,184457.000,1.000,1.000,40.375,14664.000,-0.067350,-0.012,-0.012,0.011,0.011,-0.011
46886,2001/01/05,,11,3,3820,48248010,KLAC,K L A TENCOR CORP,,KLAC,,Q,A,R,2551,3250,3,3827,48248010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,2.000,36.500,40.875,37.188,7510429.000,-0.065934,37.188,37.188,184457.000,1.000,1.000,40.250,12817.000,-0.065934,-0.029,-0.029,-0.009,-0.009,-0.026
46886,2001/01/08,,11,3,3820,48248010,KLAC,K L A TENCOR CORP,,KLAC,,Q,A,R,2551,3250,3,3827,48248010,,,,,,,,,,,,,,,,,,,,,,,,,35.500,40.750,40.375,7605602.000,0.085714,40.375,40.438,184457.000,1.000,1.000,37.000,13683.000,0.085714,-0.003,-0.004,-0.005,-0.005,-0.002
46886,2001/01/09,,11,3,3820,48248010,KLAC,K L A TENCOR CORP,,KLAC,,Q,A,R,2551,3250,3,3827,48248010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,2.000,39.750,42.375,41.500,8024282.000,0.027864,41.500,41.562,184457.000,1.000,1.000,40.938,13523.000,0.027864,0.005,0.005,0.012,0.012,0.004
46886,2001/01/10,,11,3,3820,48248010,KLAC,K L A TENCOR CORP,,KLAC,,Q,A,R,2551,3250,3,3827,48248010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,2.000,38.438,42.625,39.500,10187661.000,-0.048193,39.500,39.562,184457.000,1.000,1.000,39.375,18434.000,-0.048193,0.014,0.014,0.021,0.020,0.010
46886,2001/01/11,,11,3,3820,48248010,KLAC,K L A TENCOR CORP,,KLAC,,Q,A,R,2551,3250,3,3827,48248010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,2.000,38.500,43.625,42.812,7846788.000,0.083861,42.812,42.875,184457.000,1.000,1.000,38.812,14703.000,0.083861,0.015,0.015,0.027,0.027,0.010
46886,2001/01/12,,11,3,3820,48248010,KLAC,K L A TENCOR CORP,,KLAC,,Q,A,R,2551,3250,3,3827,48248010,,,,,,,,,,,,,,,,,,,,,,,,,39.500,42.750,39.938,7865621.000,-0.067153,39.938,40.000,184457.000,1.000,1.000,42.500,14956.000,-0.067153,-0.004,-0.004,0.019,0.019,-0.006
46886,2001/01/16,,11,3,3820,48248010,KLAC,K L A TENCOR CORP,,KLAC,,Q,A,R,2551,3250,3,3827,48248010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,2.000,36.250,39.750,37.188,6595789.000,-0.068858,37.125,37.188,184457.000,1.000,1.000,39.625,11422.000,-0.068858,0.006,0.006,0.019,0.019,0.006
