PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
76557,2001/01/02,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,35.500,36.875,35.938,4408900.000,-0.027073,,,851781.000,1.500,1.500,36.812,,-0.027073,-0.034,-0.034,-0.001,-0.001,-0.028
76557,2001/01/03,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,34.750,39.062,38.000,6241000.000,0.057391,,,851781.000,1.500,1.500,36.375,,0.057391,0.053,0.053,0.046,0.046,0.050
76557,2001/01/04,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,38.188,39.562,38.750,5098200.000,0.019737,38.500,40.750,851781.000,1.500,1.500,38.500,,0.019737,-0.012,-0.012,0.011,0.011,-0.011
76557,2001/01/05,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,36.875,37.938,37.188,3455300.000,-0.040323,,,851781.000,1.500,1.500,37.812,,-0.040323,-0.029,-0.029,-0.009,-0.009,-0.026
76557,2001/01/08,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,36.750,37.812,37.125,2980400.000,-0.001681,,,851781.000,1.500,1.500,37.250,,-0.001681,-0.003,-0.004,-0.005,-0.005,-0.002
76557,2001/01/09,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,35.750,37.500,36.125,2220200.000,-0.026936,,,851781.000,1.500,1.500,37.125,,-0.026936,0.005,0.005,0.012,0.012,0.004
76557,2001/01/10,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,35.375,37.125,36.500,2966500.000,0.010381,,,851781.000,1.500,1.500,35.875,,0.010381,0.014,0.014,0.021,0.020,0.010
76557,2001/01/11,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,36.688,38.250,37.000,2638800.000,0.013699,,,851781.000,1.500,1.500,36.875,,0.013699,0.015,0.015,0.027,0.027,0.010
76557,2001/01/12,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,36.812,39.062,38.312,4190600.000,0.035473,,,851781.000,1.500,1.500,37.062,,0.035473,-0.004,-0.004,0.019,0.019,-0.006
76557,2001/01/16,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,37.875,39.375,39.062,4430600.000,0.019576,,,851781.000,1.500,1.500,38.125,,0.019576,0.006,0.006,0.019,0.019,0.006
76557,2001/01/17,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,37.625,39.562,37.875,2603600.000,-0.030400,,,851781.000,1.500,1.500,39.062,,-0.030400,0.004,0.004,0.013,0.013,0.002
76557,2001/01/18,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,36.625,38.062,36.750,2988400.000,-0.029703,,,851781.000,1.500,1.500,38.000,,-0.029703,0.012,0.012,0.009,0.008,0.014
76557,2001/01/19,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,36.000,37.812,37.500,2780500.000,0.020408,,,851781.000,1.500,1.500,36.875,,0.020408,-0.004,-0.004,0.004,0.004,-0.004
76557,2001/01/22,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,36.438,38.188,36.938,2397000.000,-0.015000,,,851781.000,1.500,1.500,37.375,,-0.015000,0.000,0.000,0.005,0.005,0.000
76557,2001/01/23,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,36.562,37.312,36.812,2087200.000,-0.003384,,,851781.000,1.500,1.500,36.750,,-0.003384,0.016,0.016,0.015,0.015,0.013
76557,2001/01/24,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,36.688,37.438,37.438,3424300.000,0.016978,,,851781.000,1.500,1.500,36.938,,0.016978,0.003,0.003,0.007,0.007,0.003
76557,2001/01/25,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,37.312,38.250,37.812,2456600.000,0.010017,,,851781.000,1.500,1.500,37.438,,0.010017,-0.008,-0.008,-0.003,-0.003,-0.005
76557,2001/01/26,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,37.250,38.500,38.000,1083500.000,0.004959,,,851781.000,1.500,1.500,37.750,,0.004959,-0.001,-0.001,0.002,0.002,-0.002
76557,2001/01/29,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,37.000,38.840,37.490,3529100.000,-0.013421,,,851781.000,1.500,1.500,38.240,,-0.013421,0.009,0.009,0.010,0.010,0.007
76557,2001/01/30,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,36.010,37.300,36.400,3870900.000,-0.029074,,,851781.000,1.500,1.500,37.300,,-0.029074,0.007,0.007,0.010,0.009,0.007
76557,2001/01/31,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,0.000,,,,,,,,,,,,,,,,,36.000,36.550,36.190,2851900.000,-0.005769,,,851781.000,1.500,1.500,36.420,,-0.005769,-0.007,-0.007,-0.000,-0.000,-0.006
76557,2001/02/01,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,35.550,37.000,35.880,2943100.000,-0.008566,,,851781.000,1.500,1.500,36.400,,-0.008566,0.004,0.004,0.002,0.002,0.005
76557,2001/02/02,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,35.430,36.800,35.750,1790900.000,-0.003623,,,851781.000,1.500,1.500,36.250,,-0.003623,-0.019,-0.019,-0.009,-0.009,-0.017
76557,2001/02/05,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,34.700,35.790,35.500,2121800.000,-0.006993,,,851781.000,1.500,1.500,35.500,,-0.006993,0.002,0.002,-0.004,-0.004,0.004
76557,2001/02/06,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,34.720,35.700,34.830,1685100.000,-0.018873,,,851781.000,1.500,1.500,35.700,,-0.018873,0.000,0.000,0.002,0.002,-0.002
76557,2001/02/07,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,34.010,35.220,34.610,3831300.000,-0.006316,,,851781.000,1.500,1.500,34.050,,-0.006316,-0.009,-0.009,-0.004,-0.004,-0.008
76557,2001/02/08,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,34.360,35.500,34.500,1597000.000,-0.003178,,,851781.000,1.500,1.500,35.350,,-0.003178,-0.006,-0.007,-0.003,-0.003,-0.006
76557,2001/02/09,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,34.810,36.020,35.100,1380000.000,0.017391,,,851781.000,1.500,1.500,35.250,,0.017391,-0.014,-0.014,-0.009,-0.009,-0.013
76557,2001/02/12,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,35.710,36.200,36.200,1532700.000,0.031339,,,851781.000,1.500,1.500,35.800,,0.031339,0.010,0.010,0.005,0.005,0.012
76557,2001/02/13,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,35.300,36.440,35.940,1876400.000,-0.007182,,,851781.000,1.500,1.500,36.200,,-0.007182,-0.009,-0.009,-0.003,-0.004,-0.009
76557,2001/02/14,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,34.610,35.770,34.680,1846000.000,-0.035058,,,851781.000,1.500,1.500,35.700,,-0.035058,-0.000,-0.000,-0.000,-0.001,-0.002
76557,2001/02/15,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,33.090,34.740,33.900,4639300.000,-0.022491,,,851781.000,1.500,1.500,34.680,,-0.022491,0.009,0.009,0.009,0.009,0.008
76557,2001/02/16,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,33.530,34.800,34.070,2514500.000,0.005015,,,851781.000,1.500,1.500,33.900,,0.005015,-0.021,-0.021,-0.014,-0.014,-0.019
76557,2001/02/20,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,33.100,34.100,33.520,1920600.000,-0.016143,,,851781.000,1.500,1.500,34.000,,-0.016143,-0.019,-0.019,-0.012,-0.012,-0.017
76557,2001/02/21,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,32.000,33.500,32.150,2631300.000,-0.040871,,,851781.000,1.500,1.500,33.500,,-0.040871,-0.018,-0.018,-0.016,-0.016,-0.019
76557,2001/02/22,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,30.500,32.590,32.350,3608800.000,0.006221,,,851781.000,1.500,1.500,32.120,,0.006221,-0.005,-0.005,-0.011,-0.011,-0.002
76557,2001/02/23,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,31.600,32.950,32.550,2751200.000,0.006182,,,851781.000,1.500,1.500,32.150,,0.006182,-0.004,-0.004,-0.003,-0.003,-0.006
76557,2001/02/26,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,31.900,33.050,32.950,2363200.000,0.012289,,,851781.000,1.500,1.500,32.750,,0.012289,0.019,0.019,0.016,0.016,0.017
76557,2001/02/27,,11,1,6712,55262L10,KRB,M B N A CORP,,,,N,A,R,28976,0,1,6021,55262L10,,,,,,,,,,,,,,,,,,,,,,,,,32.250,34.080,33.460,1885800.000,0.015478,,,851781.000,1.500,1.500,33.100,,0.015478,-0.012,-0.012,-0.012,-0.012,-0.008
