PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
48960,2001/01/02,,11,1,2711,49904010,KRI,KNIGHT RIDDER INC,,,,N,A,R,21061,0,1,2711,49904010,,,,,,,,,,,,,,,,,,,,,,,,,55.062,56.625,55.500,341100.000,-0.024176,,,75634.000,1.000,1.000,56.500,,-0.024176,-0.034,-0.034,-0.001,-0.001,-0.028
48960,2001/01/03,,11,1,2711,49904010,KRI,KNIGHT RIDDER INC,,,,N,A,R,21061,0,1,2711,49904010,,,,,,,,,,,,,,,,,,,,,,,,,55.250,56.938,56.750,539000.000,0.022523,,,75634.000,1.000,1.000,55.625,,0.022523,0.053,0.053,0.046,0.046,0.050
48960,2001/01/04,,11,1,2711,49904010,KRI,KNIGHT RIDDER INC,,,,N,A,R,21061,0,1,2711,49904010,,,,,,,,,,,,,,,,,,,,,,,,,56.500,60.188,59.812,943400.000,0.053965,,,75634.000,1.000,1.000,56.625,,0.053965,-0.012,-0.012,0.011,0.011,-0.011
48960,2001/01/05,,11,1,2711,49904010,KRI,KNIGHT RIDDER INC,,,,N,A,R,21061,0,1,2711,49904010,,,,,,,,,,,,,,,,,,,,,,,,,58.688,59.625,59.438,1589100.000,-0.006270,,,75634.000,1.000,1.000,59.562,,-0.006270,-0.029,-0.029,-0.009,-0.009,-0.026
48960,2001/01/08,,11,1,2711,49904010,KRI,KNIGHT RIDDER INC,,,,N,A,R,21061,0,1,2711,49904010,,,,,,,,,,,,,,,,,,,,,,,,,58.375,59.250,58.812,852300.000,-0.010515,,,75634.000,1.000,1.000,59.000,,-0.010515,-0.003,-0.004,-0.005,-0.005,-0.002
48960,2001/01/09,,11,1,2711,49904010,KRI,KNIGHT RIDDER INC,,,,N,A,R,21061,0,1,2711,49904010,,,,,,,,,,,,,,,,,,,,,,,,,57.875,58.812,58.000,616600.000,-0.013815,,,75634.000,1.000,1.000,58.500,,-0.013815,0.005,0.005,0.012,0.012,0.004
48960,2001/01/10,,11,1,2711,49904010,KRI,KNIGHT RIDDER INC,,,,N,A,R,21061,0,1,2711,49904010,,,,,,,,,,,,,,,,,,,,,,,,,56.812,58.250,58.125,714100.000,0.002155,,,75634.000,1.000,1.000,58.250,,0.002155,0.014,0.014,0.021,0.020,0.010
48960,2001/01/11,,11,1,2711,49904010,KRI,KNIGHT RIDDER INC,,,,N,A,R,21061,0,1,2711,49904010,,,,,,,,,,,,,,,,,,,,,,,,,57.875,58.875,58.562,300300.000,0.007527,,,75634.000,1.000,1.000,57.875,,0.007527,0.015,0.015,0.027,0.027,0.010
48960,2001/01/12,,11,1,2711,49904010,KRI,KNIGHT RIDDER INC,,,,N,A,R,21061,0,1,2711,49904010,,,,,,,,,,,,,,,,,,,,,,,,,57.750,58.562,58.250,421900.000,-0.005336,,,75634.000,1.000,1.000,58.562,,-0.005336,-0.004,-0.004,0.019,0.019,-0.006
48960,2001/01/16,,11,1,2711,49904010,KRI,KNIGHT RIDDER INC,,,,N,A,R,21061,0,1,2711,49904010,,,,,,,,,,,,,,,,,,,,,,,,,57.375,58.562,58.438,509500.000,0.003219,,,75634.000,1.000,1.000,58.188,,0.003219,0.006,0.006,0.019,0.019,0.006
