PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
24360,2001/01/02,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,40.312,41.938,40.438,445700.000,-0.045723,,,134575.000,1.000,1.000,41.875,,-0.045723,-0.034,-0.034,-0.001,-0.001,-0.028
24360,2001/01/03,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,39.750,41.375,39.938,892000.000,-0.012365,,,134575.000,1.000,1.000,40.500,,-0.012365,0.053,0.053,0.046,0.046,0.050
24360,2001/01/04,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,35.938,39.938,36.500,939400.000,-0.086072,,,134575.000,1.000,1.000,39.875,,-0.086072,-0.012,-0.012,0.011,0.011,-0.011
24360,2001/01/05,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,36.500,37.500,37.000,580100.000,0.013699,,,134575.000,1.000,1.000,36.500,,0.013699,-0.029,-0.029,-0.009,-0.009,-0.026
24360,2001/01/08,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,36.938,38.375,38.312,1595800.000,0.035473,,,134575.000,1.000,1.000,36.938,,0.035473,-0.003,-0.004,-0.005,-0.005,-0.002
24360,2001/01/09,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,2001/02/01,2001/01/11,0.000,,,1232.000,0.445,0.000,0.000,,,,,,,,,,,37.125,38.312,37.688,395200.000,-0.004698,,,134575.000,1.000,1.000,38.250,,-0.016313,0.005,0.005,0.012,0.012,0.004
24360,2001/01/10,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,37.625,38.875,38.688,559400.000,0.026534,,,134575.000,1.000,1.000,37.688,,0.026534,0.014,0.014,0.021,0.020,0.010
24360,2001/01/11,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,37.875,38.688,37.938,638100.000,-0.019386,,,134575.000,1.000,1.000,38.688,,-0.019386,0.015,0.015,0.027,0.027,0.010
24360,2001/01/12,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,36.188,38.250,37.312,565600.000,-0.016474,,,134575.000,1.000,1.000,37.938,,-0.016474,-0.004,-0.004,0.019,0.019,-0.006
24360,2001/01/16,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,35.188,37.375,36.188,512300.000,-0.030151,,,134575.000,1.000,1.000,37.312,,-0.030151,0.006,0.006,0.019,0.019,0.006
24360,2001/01/17,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,35.938,36.938,36.125,679400.000,-0.001727,,,134575.000,1.000,1.000,36.188,,-0.001727,0.004,0.004,0.013,0.013,0.002
24360,2001/01/18,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,35.875,36.500,36.188,260600.000,0.001730,,,134575.000,1.000,1.000,36.375,,0.001730,0.012,0.012,0.009,0.008,0.014
24360,2001/01/19,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,35.750,36.625,36.250,467600.000,0.001727,36.000,36.375,134575.000,1.000,1.000,36.188,,0.001727,-0.004,-0.004,0.004,0.004,-0.004
24360,2001/01/22,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,36.000,37.312,37.188,283300.000,0.025862,37.000,37.312,134575.000,1.000,1.000,36.000,,0.025862,0.000,0.000,0.005,0.005,0.000
24360,2001/01/23,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,37.312,38.500,38.375,526800.000,0.031933,,,134575.000,1.000,1.000,37.375,,0.031933,0.016,0.016,0.015,0.015,0.013
24360,2001/01/24,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,38.625,40.250,39.688,614600.000,0.034202,,,134575.000,1.000,1.000,38.625,,0.034202,0.003,0.003,0.007,0.007,0.003
24360,2001/01/25,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,38.625,39.500,39.000,426200.000,-0.017323,,,134575.000,1.000,1.000,39.375,,-0.017323,-0.008,-0.008,-0.003,-0.003,-0.005
24360,2001/01/26,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,37.625,39.375,38.250,245200.000,-0.019231,,,134575.000,1.000,1.000,38.938,,-0.019231,-0.001,-0.001,0.002,0.002,-0.002
24360,2001/01/29,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,37.600,38.400,38.120,338100.000,-0.003399,,,134575.000,1.000,1.000,38.000,,-0.003399,0.009,0.009,0.010,0.010,0.007
24360,2001/01/30,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,38.150,38.890,38.630,327600.000,0.013379,,,134575.000,1.000,1.000,38.370,,0.013379,0.007,0.007,0.010,0.009,0.007
24360,2001/01/31,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,0.000,,,,,,,,,,,,,,,,,37.750,38.420,37.800,563700.000,-0.021486,,,134575.000,1.000,1.000,38.400,,-0.021486,-0.007,-0.007,-0.000,-0.000,-0.006
24360,2001/02/01,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,37.150,37.800,37.360,235500.000,-0.011640,,,134575.000,1.000,1.000,37.800,,-0.011640,0.004,0.004,0.002,0.002,0.005
24360,2001/02/02,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,37.290,38.000,37.430,186000.000,0.001874,,,134575.000,1.000,1.000,37.800,,0.001874,-0.019,-0.019,-0.009,-0.009,-0.017
24360,2001/02/05,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,37.310,38.180,37.550,304600.000,0.003206,36.530,38.570,134575.000,1.000,1.000,37.400,,0.003206,0.002,0.002,-0.004,-0.004,0.004
24360,2001/02/06,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,37.250,38.090,37.660,292200.000,0.002929,,,134575.000,1.000,1.000,37.650,,0.002929,0.000,0.000,0.002,0.002,-0.002
24360,2001/02/07,,11,1,4931,49337W10,KSE,KEYSPAN CORP,,,,N,A,R,21116,0,1,4924,49337W10,,,,,,,,,,,,,,,,,,,,,,,,,37.800,38.590,38.540,258100.000,0.023367,,,134575.000,1.000,1.000,37.850,,0.023367,-0.009,-0.009,-0.004,-0.004,-0.008
