PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
12650,2001/01/02,,11,1,4011,48517030,KSU,KANSAS CITY SOUTHERN INDS INC,,,,N,A,R,21033,0,1,4011,48517030,,,,,,,,,,,,,,,,,,,,,,,,,9.312,10.188,9.500,517700.000,-0.061728,,,58072.000,1.000,1.000,10.125,,-0.061728,-0.034,-0.034,-0.001,-0.001,-0.028
12650,2001/01/03,,11,1,4011,48517030,KSU,KANSAS CITY SOUTHERN INDS INC,,,,N,A,R,21033,0,1,4011,48517030,,,,,,,,,,,,,,,,,,,,,,,,,9.000,10.125,10.062,440700.000,0.059211,9.750,10.250,58072.000,1.000,1.000,9.375,,0.059211,0.053,0.053,0.046,0.046,0.050
12650,2001/01/04,,11,1,4011,48517030,KSU,KANSAS CITY SOUTHERN INDS INC,,,,N,A,R,21033,0,1,4011,48517030,,,,,,,,,,,,,,,,,,,,,,,,,10.125,10.875,10.750,438400.000,0.068323,,,58072.000,1.000,1.000,10.125,,0.068323,-0.012,-0.012,0.011,0.011,-0.011
12650,2001/01/05,,11,1,4011,48517030,KSU,KANSAS CITY SOUTHERN INDS INC,,,,N,A,R,21033,0,1,4011,48517030,,,,,,,,,,,,,,,,,,,,,,,,,10.125,10.750,10.250,631900.000,-0.046512,,,58072.000,1.000,1.000,10.750,,-0.046512,-0.029,-0.029,-0.009,-0.009,-0.026
12650,2001/01/08,,11,1,4011,48517030,KSU,KANSAS CITY SOUTHERN INDS INC,,,,N,A,R,21033,0,1,4011,48517030,,,,,,,,,,,,,,,,,,,,,,,,,10.188,10.625,10.500,212700.000,0.024390,,,58072.000,1.000,1.000,10.188,,0.024390,-0.003,-0.004,-0.005,-0.005,-0.002
12650,2001/01/09,,11,1,4011,48517030,KSU,KANSAS CITY SOUTHERN INDS INC,,,,N,A,R,21033,0,1,4011,48517030,,,,,,,,,,,,,,,,,,,,,,,,,10.250,10.688,10.438,184700.000,-0.005952,,,58072.000,1.000,1.000,10.625,,-0.005952,0.005,0.005,0.012,0.012,0.004
12650,2001/01/10,,11,1,4011,48517030,KSU,KANSAS CITY SOUTHERN INDS INC,,,,N,A,R,21033,0,1,4011,48517030,,,,,,,,,,,,,,,,,,,,,,,,,9.875,10.500,10.375,368000.000,-0.005988,,,58072.000,1.000,1.000,10.000,,-0.005988,0.014,0.014,0.021,0.020,0.010
12650,2001/01/11,,11,1,4011,48517030,KSU,KANSAS CITY SOUTHERN INDS INC,,,,N,A,R,21033,0,1,4011,48517030,,,,,,,,,,,,,,,,,,,,,,,,,10.250,10.562,10.500,348500.000,0.012048,,,58072.000,1.000,1.000,10.375,,0.012048,0.015,0.015,0.027,0.027,0.010
12650,2001/01/12,,11,1,4011,48517030,KSU,KANSAS CITY SOUTHERN INDS INC,,,,N,A,R,21033,0,1,4011,48517030,,,,,,,,,,,,,,,,,,,,,,,,,10.000,10.500,10.000,429200.000,-0.047619,,,58072.000,1.000,1.000,10.500,,-0.047619,-0.004,-0.004,0.019,0.019,-0.006
12650,2001/01/16,,11,1,4011,48517030,KSU,KANSAS CITY SOUTHERN INDS INC,,,,N,A,R,21033,0,1,4011,48517030,,,,,,,,,,,,,,,,,,,,,,,,,10.062,10.625,10.625,354400.000,0.062500,,,58072.000,1.000,1.000,10.125,,0.062500,0.006,0.006,0.019,0.019,0.006
