PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
91547,2013/09/30,2018/12/31,11,1,7373,52532710,LDOS,LEIDOS HOLDINGS INC,,LDOS,541512,N,A,R,51338,0,1,7373,52532710,,,,,,2013/09/30,2013/09/30,0.000,73.000,737.000,5523.000,0.000,-0.750,-0.750,,,,,,,,,,,43.750,45.970,45.520,1688000.000,0.010694,45.610,45.630,85682.000,1.000,1.000,43.850,,0.010694,-0.005,-0.005,-0.002,-0.002,-0.006
91547,2013/09/30,2018/12/31,11,1,7373,52532710,LDOS,LEIDOS HOLDINGS INC,,LDOS,541512,N,A,R,51338,0,1,7373,52532710,2013/09/09,,,,,2013/09/27,2013/09/19,0.000,73.000,737.000,3763.000,4.821,0.106,0.000,14141,54544,,,,,,,,,43.750,45.970,45.520,1688000.000,0.010694,45.610,45.630,85682.000,1.000,1.000,43.850,,0.010694,-0.005,-0.005,-0.002,-0.002,-0.006
91547,2013/10/01,,11,1,7373,52532710,LDOS,LEIDOS HOLDINGS INC,,LDOS,541512,N,A,R,51338,0,1,7373,52532710,,,,,,,,,73.000,737.000,,,,,,,,,,,,,,,45.000,47.670,47.280,2222800.000,0.038664,47.320,47.330,85682.000,1.000,1.000,45.050,,0.038664,0.009,0.009,0.009,0.009,0.008
91547,2013/10/02,,11,1,7373,52532710,LDOS,LEIDOS HOLDINGS INC,,LDOS,541512,N,A,R,51338,0,1,7373,52532710,,,,,,,,,73.000,737.000,,,,,,,,,,,,,,,45.560,47.190,46.930,1597700.000,-0.007403,46.890,46.900,85682.000,1.000,1.000,47.020,,-0.007403,-0.001,-0.001,-0.000,-0.000,-0.001
91547,2013/10/03,,11,1,7373,52532710,LDOS,LEIDOS HOLDINGS INC,,LDOS,541512,N,A,R,51338,0,1,7373,52532710,,,,,,,,,73.000,737.000,,,,,,,,,,,,,,,45.750,46.640,45.970,1056800.000,-0.020456,45.960,45.970,85682.000,1.000,1.000,45.750,,-0.020456,-0.009,-0.009,-0.006,-0.006,-0.009
91547,2013/10/04,,11,1,7373,52532710,LDOS,LEIDOS HOLDINGS INC,,LDOS,541512,N,A,R,51338,0,1,7373,52532710,,,,,,,,,73.000,737.000,,,,,,,,,,,,,,,45.580,46.360,46.090,984300.000,0.002610,46.080,46.090,85682.000,1.000,1.000,45.980,,0.002610,0.007,0.007,0.005,0.005,0.007
91547,2013/10/07,,11,1,7373,52532710,LDOS,LEIDOS HOLDINGS INC,,LDOS,541512,N,A,R,51338,0,1,7373,52532710,,,,,,,,,73.000,737.000,,,,,,,,,,,,,,,45.300,46.040,45.300,1015800.000,-0.017140,45.320,45.330,85682.000,1.000,1.000,45.520,,-0.017140,-0.008,-0.008,-0.006,-0.006,-0.009
91547,2013/10/08,,11,1,7373,52532710,LDOS,LEIDOS HOLDINGS INC,,LDOS,541512,N,A,R,51338,0,1,7373,52532710,,,,,,,,,73.000,737.000,,,,,,,,,,,,,,,45.065,45.830,45.450,1008400.000,0.003311,45.410,45.420,85682.000,1.000,1.000,45.240,,0.003311,-0.013,-0.013,-0.013,-0.013,-0.012
91547,2013/10/09,,11,1,7373,52532710,LDOS,LEIDOS HOLDINGS INC,,LDOS,541512,N,A,R,51338,0,1,7373,52532710,,,,,,,,,73.000,737.000,,,,,,,,,,,,,,,45.010,45.830,45.310,915600.000,-0.003080,45.310,45.320,85682.000,1.000,1.000,45.440,,-0.003080,-0.000,-0.001,-0.002,-0.002,0.001
91547,2013/10/10,,11,1,7373,52532710,LDOS,LEIDOS HOLDINGS INC,,LDOS,541512,N,A,R,51338,0,1,7373,52532710,2013/09/09,,,,,2013/10/30,2013/10/15,0.000,73.000,737.000,1232.000,0.320,0.000,0.000,,,,,,,,,,,45.360,46.000,45.990,812200.000,0.022070,45.970,45.980,85682.000,1.000,1.000,45.480,,0.015008,0.021,0.021,0.017,0.017,0.022
