PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
89866,2003/10/03,2004/06/09,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,18.000,2.000,14.000,15.200,15.000,4450756.000,C,15.000,15.010,19120.000,8.000,8.000,14.250,3325.000,C,0.010,0.010,0.010,0.010,0.009
89866,2003/10/06,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,15.030,15.890,15.790,399107.000,0.052667,15.750,15.800,19120.000,8.000,8.000,15.170,668.000,0.052667,0.005,0.005,0.007,0.007,0.004
89866,2003/10/07,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,15.650,16.600,16.250,424477.000,0.029132,16.250,16.300,19120.000,8.000,8.000,15.650,558.000,0.029132,0.005,0.005,0.006,0.006,0.005
89866,2003/10/08,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,18.000,2.000,15.800,16.350,16.100,399659.000,-0.009231,16.070,16.100,19280.000,8.000,8.000,16.350,490.000,-0.009231,-0.004,-0.005,-0.001,-0.001,-0.005
89866,2003/10/09,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,15.600,16.100,15.600,153053.000,-0.031056,15.600,15.700,19280.000,8.000,8.000,15.910,155.000,-0.031056,0.005,0.005,0.006,0.006,0.005
89866,2003/10/10,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,17.000,2.000,15.150,15.939,15.420,333678.000,-0.011538,15.150,15.400,19280.000,8.000,8.000,15.600,223.000,-0.011538,0.000,0.000,0.001,0.001,-0.001
89866,2003/10/13,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,16.000,2.000,15.250,15.480,15.310,189569.000,-0.007134,15.310,15.360,19280.000,8.000,8.000,15.480,71.000,-0.007134,0.008,0.008,0.010,0.010,0.007
89866,2003/10/14,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,18.000,2.000,15.310,16.650,16.300,267654.000,0.064664,16.260,16.300,19280.000,8.000,8.000,15.370,431.000,0.064664,0.004,0.004,0.006,0.006,0.004
89866,2003/10/15,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,16.000,16.920,16.010,98623.000,-0.017791,16.140,16.150,19280.000,8.000,8.000,16.310,203.000,-0.017791,-0.003,-0.003,-0.002,-0.002,-0.003
89866,2003/10/16,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,17.000,2.000,16.000,16.250,16.100,48726.000,0.005621,16.010,16.240,19280.000,8.000,8.000,16.140,94.000,0.005621,0.004,0.004,0.005,0.005,0.003
89866,2003/10/17,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,18.000,2.000,15.850,16.060,15.850,225855.000,-0.015528,15.750,15.850,19280.000,8.000,8.000,16.010,126.000,-0.015528,-0.011,-0.011,-0.008,-0.008,-0.010
89866,2003/10/20,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,17.000,2.000,15.760,16.020,15.950,169005.000,0.006309,15.900,15.950,19280.000,8.000,8.000,15.980,59.000,0.006309,0.004,0.004,0.002,0.002,0.005
89866,2003/10/21,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,16.000,2.000,15.860,15.980,15.950,110780.000,0.000000,15.900,15.950,19280.000,8.000,8.000,15.890,98.000,0.000000,0.003,0.003,0.004,0.004,0.001
89866,2003/10/22,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,15.800,16.000,15.840,88815.000,-0.006897,15.750,15.850,19280.000,8.000,8.000,16.000,49.000,-0.006897,-0.014,-0.015,-0.012,-0.012,-0.015
89866,2003/10/23,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,17.000,2.000,15.350,15.760,15.500,159819.000,-0.021465,15.520,15.700,19280.000,8.000,8.000,15.760,130.000,-0.021465,0.001,0.001,-0.004,-0.004,0.003
89866,2003/10/24,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,18.000,2.000,15.460,16.000,15.930,202415.000,0.027742,15.930,16.000,19280.000,8.000,8.000,15.460,166.000,0.027742,-0.004,-0.004,-0.004,-0.004,-0.005
89866,2003/10/27,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,17.000,2.000,15.750,16.600,16.000,100041.000,0.004394,15.860,16.100,19280.000,8.000,8.000,15.999,179.000,0.004394,0.004,0.004,0.009,0.009,0.002
89866,2003/10/28,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,15.680,16.600,15.830,202782.000,-0.010625,15.830,15.970,19280.000,8.000,8.000,16.400,227.000,-0.010625,0.015,0.015,0.012,0.012,0.015
89866,2003/10/29,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,15.650,16.220,16.100,205750.000,0.017056,16.000,16.100,19280.000,8.000,8.000,15.771,128.000,0.017056,0.003,0.003,0.007,0.007,0.001
89866,2003/10/30,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,16.000,16.940,16.636,132861.000,0.033292,16.600,16.640,19280.000,8.000,8.000,16.100,199.000,0.033292,-0.001,-0.001,0.001,0.001,-0.001
89866,2003/10/31,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,17.000,2.000,16.600,17.310,17.300,182633.000,0.039913,17.300,17.310,19439.000,8.000,8.000,16.650,204.000,0.039913,0.002,0.002,0.002,0.002,0.004
89866,2003/11/03,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,17.070,17.870,17.510,95290.000,0.012139,17.510,17.700,19439.000,8.000,8.000,17.300,268.000,0.012139,0.009,0.009,0.011,0.011,0.008
89866,2003/11/04,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,17.000,17.710,17.230,100404.000,-0.015991,17.230,17.240,19439.000,8.000,8.000,17.710,330.000,-0.015991,-0.004,-0.004,0.002,0.002,-0.005
89866,2003/11/05,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,15.000,2.000,16.700,17.050,17.000,8028.000,-0.013349,16.860,17.000,19439.000,8.000,8.000,16.990,29.000,-0.013349,-0.001,-0.001,0.002,0.002,-0.001
89866,2003/11/06,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,16.000,2.000,16.660,17.000,16.880,47949.000,-0.007059,16.880,17.000,19439.000,8.000,8.000,16.980,65.000,-0.007059,0.005,0.005,0.005,0.005,0.006
89866,2003/11/07,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,16.710,17.000,17.000,27242.000,0.007109,16.990,17.000,19439.000,8.000,8.000,17.000,80.000,0.007109,-0.002,-0.003,0.003,0.003,-0.005
89866,2003/11/10,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,17.000,2.000,16.680,17.100,16.950,61706.000,-0.002941,17.010,17.100,19439.000,8.000,8.000,16.680,98.000,-0.002941,-0.007,-0.007,-0.006,-0.006,-0.006
89866,2003/11/11,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,16.000,2.000,16.750,17.000,17.000,114450.000,0.002950,16.900,17.000,19439.000,8.000,8.000,16.750,104.000,0.002950,-0.002,-0.002,-0.006,-0.006,-0.001
89866,2003/11/12,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,16.700,17.190,16.990,74802.000,-0.000588,16.750,17.000,19439.000,8.000,8.000,16.800,101.000,-0.000588,0.013,0.013,0.014,0.014,0.011
89866,2003/11/13,,11,3,5015,50188920,LKQX,L K Q CORP,,LKQX,,Q,A,R,44497,41268,3,5015,50188920,,,,,,,,0.000,50.000,501.000,,,,,,,,,,,1.000,2.000,17.000,2.000,16.610,16.999,16.620,15082.000,-0.021777,16.610,16.700,19439.000,8.000,8.000,16.700,58.000,-0.021777,0.001,0.000,0.003,0.003,-0.000
