PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
86021,2001/01/02,,10,1,3663,50242410,LLL,L 3 COMMUNICATIONS HLDGS INC,,,,N,A,R,34746,0,1,3812,50241310,,,,,,,,,,,,,,,,,,,,,,,,,74.562,78.938,75.375,604600.000,-0.021104,,,33330.000,2.084,2.000,77.000,,-0.021104,-0.034,-0.034,-0.001,-0.001,-0.028
86021,2001/01/03,,10,1,3663,50242410,LLL,L 3 COMMUNICATIONS HLDGS INC,,,,N,A,R,34746,0,1,3812,50241310,,,,,,,,,,,,,,,,,,,,,,,,,73.938,76.000,75.250,509300.000,-0.001658,,,33330.000,2.084,2.000,75.000,,-0.001658,0.053,0.053,0.046,0.046,0.050
86021,2001/01/04,,10,1,3663,50242410,LLL,L 3 COMMUNICATIONS HLDGS INC,,,,N,A,R,34746,0,1,3812,50241310,,,,,,,,,,,,,,,,,,,,,,,,,72.281,74.875,72.500,329300.000,-0.036545,,,33330.000,2.084,2.000,74.812,,-0.036545,-0.012,-0.012,0.011,0.011,-0.011
86021,2001/01/05,,10,1,3663,50242410,LLL,L 3 COMMUNICATIONS HLDGS INC,,,,N,A,R,34746,0,1,3812,50241310,,,,,,,,,,,,,,,,,,,,,,,,,69.438,72.562,70.250,698800.000,-0.031034,,,33330.000,2.084,2.000,72.562,,-0.031034,-0.029,-0.029,-0.009,-0.009,-0.026
86021,2001/01/08,,10,1,3663,50242410,LLL,L 3 COMMUNICATIONS HLDGS INC,,,,N,A,R,34746,0,1,3812,50241310,,,,,,,,,,,,,,,,,,,,,,,,,65.000,68.938,65.000,708100.000,-0.074733,,,33330.000,2.084,2.000,68.500,,-0.074733,-0.003,-0.004,-0.005,-0.005,-0.002
86021,2001/01/09,,10,1,3663,50242410,LLL,L 3 COMMUNICATIONS HLDGS INC,,,,N,A,R,34746,0,1,3812,50241310,,,,,,,,,,,,,,,,,,,,,,,,,65.188,72.312,72.125,866900.000,0.109615,,,33330.000,2.084,2.000,65.250,,0.109615,0.005,0.005,0.012,0.012,0.004
86021,2001/01/10,,10,1,3663,50242410,LLL,L 3 COMMUNICATIONS HLDGS INC,,,,N,A,R,34746,0,1,3812,50241310,,,,,,,,,,,,,,,,,,,,,,,,,69.625,74.438,72.000,796900.000,-0.001733,,,33330.000,2.084,2.000,71.625,,-0.001733,0.014,0.014,0.021,0.020,0.010
86021,2001/01/11,,10,1,3663,50242410,LLL,L 3 COMMUNICATIONS HLDGS INC,,,,N,A,R,34746,0,1,3812,50241310,,,,,,,,,,,,,,,,,,,,,,,,,72.000,74.875,74.000,532600.000,0.027778,,,33330.000,2.084,2.000,72.250,,0.027778,0.015,0.015,0.027,0.027,0.010
86021,2001/01/12,,10,1,3663,50242410,LLL,L 3 COMMUNICATIONS HLDGS INC,,,,N,A,R,34746,0,1,3812,50241310,,,,,,,,,,,,,,,,,,,,,,,,,73.000,76.000,73.938,318700.000,-0.000845,,,33330.000,2.084,2.000,74.750,,-0.000845,-0.004,-0.004,0.019,0.019,-0.006
86021,2001/01/16,,10,1,3663,50242410,LLL,L 3 COMMUNICATIONS HLDGS INC,,,,N,A,R,34746,0,1,3812,50241310,,,,,,,,,,,,,,,,,,,,,,,,,71.625,73.375,72.375,364100.000,-0.021133,,,33330.000,2.084,2.000,73.375,,-0.021133,0.006,0.006,0.019,0.019,0.006
