PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
77462,2007/06/01,2017/12/11,11,1,5311,55616P10,M,MACYS INC,,M,452110,N,A,R,22856,0,1,5311,55616P10,,,,,,,,2.000,53.000,531.000,,,,,,,,,,,,,,,39.040,40.860,40.580,4378862.000,0.016279,40.560,40.600,459620.000,1.000,1.000,39.750,,0.016279,0.005,0.005,0.005,0.005,0.004
77462,2007/06/04,,11,1,5311,55616P10,M,MACYS INC,,M,452110,N,A,R,22856,0,1,5311,55616P10,,,,,,,,,53.000,531.000,,,,,,,,,,,,,,,39.950,40.590,40.230,5046616.000,-0.008625,40.170,40.230,459620.000,1.000,1.000,40.100,,-0.008625,0.002,0.002,0.003,0.002,0.002
77462,2007/06/05,,11,1,5311,55616P10,M,MACYS INC,,M,452110,N,A,R,22856,0,1,5311,55616P10,,,,,,,,,53.000,531.000,,,,,,,,,,,,,,,39.940,40.230,40.070,4796700.000,-0.003977,40.080,40.100,459620.000,1.000,1.000,40.050,,-0.003977,-0.005,-0.005,-0.004,-0.004,-0.005
77462,2007/06/06,,11,1,5311,55616P10,M,MACYS INC,,M,452110,N,A,R,22856,0,1,5311,55616P10,,,,,,,,,53.000,531.000,,,,,,,,,,,,,,,39.490,40.190,39.500,5449300.000,-0.014225,39.490,39.500,459620.000,1.000,1.000,39.990,,-0.014225,-0.009,-0.010,-0.007,-0.007,-0.009
77462,2007/06/07,,11,1,5311,55616P10,M,MACYS INC,,M,452110,N,A,R,22856,0,1,5311,55616P10,,,,,,,,,53.000,531.000,,,,,,,,,,,,,,,38.380,39.530,38.430,6600359.000,-0.027089,38.480,38.490,459620.000,1.000,1.000,39.000,,-0.027089,-0.018,-0.018,-0.014,-0.014,-0.018
77462,2007/06/08,,11,1,5311,55616P10,M,MACYS INC,,M,452110,N,A,R,22856,0,1,5311,55616P10,,,,,,,,,53.000,531.000,,,,,,,,,,,,,,,38.490,39.180,39.150,3820000.000,0.018735,39.080,39.130,459620.000,1.000,1.000,38.620,,0.018735,0.011,0.011,0.006,0.006,0.011
77462,2007/06/11,,11,1,5311,55616P10,M,MACYS INC,,M,452110,N,A,R,22856,0,1,5311,55616P10,,,,,,,,,53.000,531.000,,,,,,,,,,,,,,,38.570,39.300,39.110,4718900.000,-0.001022,39.150,39.180,459620.000,1.000,1.000,38.950,,-0.001022,0.001,0.001,0.000,0.000,0.001
77462,2007/06/12,,11,1,5311,55616P10,M,MACYS INC,,M,452110,N,A,R,22856,0,1,5311,55616P10,,,,,,,,,53.000,531.000,,,,,,,,,,,,,,,38.780,39.340,38.900,4767536.000,-0.005369,38.900,38.910,459620.000,1.000,1.000,38.900,,-0.005369,-0.011,-0.011,-0.010,-0.010,-0.011
77462,2007/06/13,,11,1,5311,55616P10,M,MACYS INC,,M,452110,N,A,R,22856,0,1,5311,55616P10,2007/05/18,,,,,2007/07/02,2007/06/15,2.000,53.000,531.000,1232.000,0.130,0.000,0.000,,,,,,,,,,,38.930,39.340,39.130,3955030.000,0.009254,39.100,39.110,459620.000,1.000,1.000,39.250,,0.005913,0.014,0.014,0.009,0.008,0.015
77462,2007/06/14,,11,1,5311,55616P10,M,MACYS INC,,M,452110,N,A,R,22856,0,1,5311,55616P10,,,,,,,,,53.000,531.000,,,,,,,,,,,,,,,39.220,39.770,39.450,3515873.000,0.008178,39.470,39.490,459620.000,1.000,1.000,39.300,,0.008178,0.005,0.005,0.005,0.005,0.005
