PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
87842,2001/01/02,,11,1,6719,59156R10,MET,METLIFE INC,,,,N,A,R,37138,0,1,6311,59156R10,,,,,,,,,,,,,,,,,,,,,,,,,33.812,35.125,34.000,2481000.000,-0.028571,33.812,34.125,764559.000,1.116,1.000,35.062,,-0.028571,-0.034,-0.034,-0.001,-0.001,-0.028
87842,2001/01/03,,11,1,6719,59156R10,MET,METLIFE INC,,,,N,A,R,37138,0,1,6311,59156R10,,,,,,,,,,,,,,,,,,,,,,,,,34.250,36.625,34.875,3331700.000,0.025735,34.750,35.188,764559.000,1.116,1.000,34.250,,0.025735,0.053,0.053,0.046,0.046,0.050
87842,2001/01/04,,11,1,6719,59156R10,MET,METLIFE INC,,,,N,A,R,37138,0,1,6311,59156R10,,,,,,,,,,,,,,,,,,,,,,,,,31.375,35.000,32.625,5055000.000,-0.064516,32.438,32.875,764559.000,1.116,1.000,34.875,,-0.064516,-0.012,-0.012,0.011,0.011,-0.011
87842,2001/01/05,,11,1,6719,59156R10,MET,METLIFE INC,,,,N,A,R,37138,0,1,6311,59156R10,,,,,,,,,,,,,,,,,,,,,,,,,31.125,33.500,31.562,3129400.000,-0.032567,31.375,31.812,764559.000,1.116,1.000,33.375,,-0.032567,-0.029,-0.029,-0.009,-0.009,-0.026
87842,2001/01/08,,11,1,6719,59156R10,MET,METLIFE INC,,,,N,A,R,37138,0,1,6311,59156R10,,,,,,,,,,,,,,,,,,,,,,,,,31.562,33.250,32.875,2393800.000,0.041584,32.500,32.875,764559.000,1.116,1.000,31.562,,0.041584,-0.003,-0.004,-0.005,-0.005,-0.002
87842,2001/01/09,,11,1,6719,59156R10,MET,METLIFE INC,,,,N,A,R,37138,0,1,6311,59156R10,,,,,,,,,,,,,,,,,,,,,,,,,33.375,34.375,33.875,3362300.000,0.030418,33.625,34.000,764559.000,1.116,1.000,33.500,,0.030418,0.005,0.005,0.012,0.012,0.004
87842,2001/01/10,,11,1,6719,59156R10,MET,METLIFE INC,,,,N,A,R,37138,0,1,6311,59156R10,,,,,,,,,,,,,,,,,,,,,,,,,32.875,33.812,33.312,2641200.000,-0.016605,,,764559.000,1.116,1.000,33.750,,-0.016605,0.014,0.014,0.021,0.020,0.010
87842,2001/01/11,,11,1,6719,59156R10,MET,METLIFE INC,,,,N,A,R,37138,0,1,6311,59156R10,,,,,,,,,,,,,,,,,,,,,,,,,32.312,33.875,32.500,3531100.000,-0.024390,32.312,32.688,764559.000,1.116,1.000,33.875,,-0.024390,0.015,0.015,0.027,0.027,0.010
87842,2001/01/12,,11,1,6719,59156R10,MET,METLIFE INC,,,,N,A,R,37138,0,1,6311,59156R10,,,,,,,,,,,,,,,,,,,,,,,,,30.438,32.688,31.000,3452000.000,-0.046154,,,764559.000,1.116,1.000,32.562,,-0.046154,-0.004,-0.004,0.019,0.019,-0.006
87842,2001/01/16,,11,1,6719,59156R10,MET,METLIFE INC,,,,N,A,R,37138,0,1,6311,59156R10,,,,,,,,,,,,,,,,,,,,,,,,,30.250,31.750,30.938,2684100.000,-0.002016,30.812,31.125,764559.000,1.116,1.000,30.250,,-0.002016,0.006,0.006,0.019,0.019,0.006
