PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
92890,2009/02/11,2010/01/07,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,2.000,20.000,202.000,,,,,,,,,,,,,,,25.900,27.070,26.430,21745900.000,C,26.440,26.490,72345.000,1.000,1.000,26.000,,C,0.007,0.007,0.005,0.004,0.008
92890,2009/02/12,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.000,27.190,27.160,3970800.000,0.027620,26.890,26.940,72345.000,1.000,1.000,26.360,,0.027620,0.003,0.002,-0.001,-0.001,0.002
92890,2009/02/13,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,2.000,20.000,202.000,,,,,,,,,,,,,,,26.670,27.190,26.810,1064700.000,-0.012887,26.950,26.980,72345.000,1.000,1.000,26.770,,-0.012887,-0.009,-0.009,-0.002,-0.002,-0.010
92890,2009/02/17,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.300,27.630,27.260,1264600.000,0.016785,27.250,27.320,72345.000,1.000,1.000,26.440,,0.016785,-0.045,-0.045,-0.042,-0.042,-0.046
92890,2009/02/18,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,27.200,28.220,27.950,1465700.000,0.025312,27.860,27.970,72345.000,1.000,1.000,27.630,,0.025312,-0.004,-0.004,-0.012,-0.012,-0.001
92890,2009/02/19,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,27.880,28.980,28.560,1156100.000,0.021825,28.450,28.550,72345.000,1.000,1.000,27.910,,0.021825,-0.011,-0.012,-0.015,-0.015,-0.012
92890,2009/02/20,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,27.870,29.630,29.630,1547700.000,0.037465,29.330,29.500,72345.000,1.000,1.000,28.430,,0.037465,-0.012,-0.012,-0.020,-0.020,-0.011
92890,2009/02/23,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,27.270,29.850,27.300,1100400.000,-0.078637,27.400,27.400,72345.000,1.000,1.000,29.660,,-0.078637,-0.036,-0.036,-0.031,-0.031,-0.035
92890,2009/02/24,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,27.060,28.000,27.490,911200.000,0.006960,27.140,27.370,72345.000,1.000,1.000,27.410,,0.006960,0.040,0.040,0.038,0.038,0.040
92890,2009/02/25,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.850,28.350,27.920,984900.000,0.015642,27.920,28.030,72345.000,1.000,1.000,27.820,,0.015642,-0.011,-0.011,-0.016,-0.016,-0.011
92890,2009/02/26,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,27.000,28.300,27.560,601500.000,-0.012894,27.500,27.570,72345.000,1.000,1.000,28.270,,-0.012894,-0.012,-0.012,-0.007,-0.007,-0.016
92890,2009/02/27,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,0.000,20.000,202.000,,,,,,,,,,,,,,,27.020,27.850,27.590,457000.000,0.001089,27.370,27.450,72345.000,1.000,1.000,27.350,,0.001089,-0.019,-0.019,-0.010,-0.010,-0.024
92890,2009/03/02,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.860,27.840,27.000,585300.000,-0.021385,27.000,27.010,72345.000,1.000,1.000,27.600,,-0.021385,-0.050,-0.050,-0.056,-0.056,-0.047
92890,2009/03/03,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.000,27.300,26.440,750000.000,-0.020741,26.250,26.400,72345.000,1.000,1.000,27.260,,-0.020741,-0.006,-0.006,-0.014,-0.014,-0.006
92890,2009/03/04,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.720,27.450,27.000,544500.000,0.021180,27.000,27.010,72345.000,1.000,1.000,26.970,,0.021180,0.026,0.026,0.030,0.030,0.024
92890,2009/03/05,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.610,27.190,27.030,910600.000,0.001111,27.000,27.030,72345.000,1.000,1.000,27.000,,0.001111,-0.042,-0.042,-0.049,-0.049,-0.043
92890,2009/03/06,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.250,27.180,26.440,526200.000,-0.021828,26.440,26.450,72345.000,1.000,1.000,26.900,,-0.021828,0.002,0.001,-0.002,-0.002,0.001
92890,2009/03/09,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.120,27.100,26.360,166500.000,-0.003026,26.360,26.400,72345.000,1.000,1.000,26.250,,-0.003026,-0.011,-0.012,-0.016,-0.017,-0.010
92890,2009/03/10,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.300,27.130,26.460,251600.000,0.003794,26.460,26.500,72345.000,1.000,1.000,26.370,,0.003794,0.063,0.063,0.063,0.062,0.064
92890,2009/03/11,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.160,26.980,26.580,812100.000,0.004535,26.580,26.620,72345.000,1.000,1.000,26.250,,0.004535,0.004,0.004,0.006,0.005,0.002
92890,2009/03/12,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.350,28.020,27.980,1003500.000,0.052671,27.830,27.880,72345.000,1.000,1.000,26.360,,0.052671,0.042,0.042,0.051,0.051,0.041
92890,2009/03/13,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,27.340,28.330,27.420,430100.000,-0.020014,27.420,27.480,72345.000,1.000,1.000,28.250,,-0.020014,0.006,0.006,0.010,0.009,0.008
92890,2009/03/16,,11,1,2834,58283910,MJN,MEAD JOHNSON NUTRITION CO,A,MJN,325412,N,A,R,53121,0,1,2023,58283910,,,,,,,,,20.000,202.000,,,,,,,,,,,,,,,26.210,27.700,26.320,437300.000,-0.040117,26.270,26.300,72345.000,1.000,1.000,27.700,,-0.040117,-0.005,-0.005,0.001,0.001,-0.004
