PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
22592,2001/01/02,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,117.500,121.500,119.188,2325600.000,-0.010892,118.688,119.688,394433.000,2.000,2.000,118.125,,-0.010892,-0.034,-0.034,-0.001,-0.001,-0.028
22592,2001/01/03,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,116.375,119.875,117.812,2377200.000,-0.011536,117.312,118.312,394433.000,2.000,2.000,118.000,,-0.011536,0.053,0.053,0.046,0.046,0.050
22592,2001/01/04,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,115.562,119.500,119.000,2030200.000,0.010080,118.500,119.500,394433.000,2.000,2.000,117.875,,0.010080,-0.012,-0.012,0.011,0.011,-0.011
22592,2001/01/05,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,110.562,117.000,114.562,4183500.000,-0.037290,114.062,115.062,394433.000,2.000,2.000,117.000,,-0.037290,-0.029,-0.029,-0.009,-0.009,-0.026
22592,2001/01/08,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,109.562,115.375,115.250,2743300.000,0.006001,114.750,115.750,394433.000,2.000,2.000,113.000,,0.006001,-0.003,-0.004,-0.005,-0.005,-0.002
22592,2001/01/09,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,112.125,115.188,113.438,1981400.000,-0.015727,112.938,113.938,394433.000,2.000,2.000,114.938,,-0.015727,0.005,0.005,0.012,0.012,0.004
22592,2001/01/10,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,109.000,112.500,112.312,2172200.000,-0.009917,111.812,112.812,394433.000,2.000,2.000,110.625,,-0.009917,0.014,0.014,0.021,0.020,0.010
22592,2001/01/11,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,109.562,113.938,112.125,2095300.000,-0.001669,111.625,112.625,394433.000,2.000,2.000,112.375,,-0.001669,0.015,0.015,0.027,0.027,0.010
22592,2001/01/12,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,108.500,112.188,109.688,1827900.000,-0.021739,109.188,110.188,394433.000,2.000,2.000,112.125,,-0.021739,-0.004,-0.004,0.019,0.019,-0.006
22592,2001/01/16,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,110.062,113.500,113.500,2123700.000,0.034758,113.000,114.000,394433.000,2.000,2.000,110.625,,0.034758,0.006,0.006,0.019,0.019,0.006
22592,2001/01/17,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,105.875,110.000,110.000,5776100.000,-0.030837,109.500,110.500,394433.000,2.000,2.000,106.500,,-0.030837,0.004,0.004,0.013,0.013,0.002
22592,2001/01/18,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,107.750,110.000,109.000,2682900.000,-0.009091,108.500,109.500,394433.000,2.000,2.000,110.000,,-0.009091,0.012,0.012,0.009,0.008,0.014
22592,2001/01/19,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,106.188,108.938,106.750,2030800.000,-0.020642,106.250,107.250,394433.000,2.000,2.000,108.938,,-0.020642,-0.004,-0.004,0.004,0.004,-0.004
22592,2001/01/22,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,105.438,109.000,108.875,2026200.000,0.019906,108.375,109.375,394433.000,2.000,2.000,106.562,,0.019906,0.000,0.000,0.005,0.005,0.000
22592,2001/01/23,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,108.438,111.688,111.000,1764400.000,0.019518,110.500,111.500,394433.000,2.000,2.000,108.875,,0.019518,0.016,0.016,0.015,0.015,0.013
22592,2001/01/24,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,105.750,110.625,107.125,1851700.000,-0.034910,106.625,107.625,394433.000,2.000,2.000,109.500,,-0.034910,0.003,0.003,0.007,0.007,0.003
22592,2001/01/25,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,104.062,109.812,109.500,2112000.000,0.022170,109.000,110.000,394433.000,2.000,2.000,107.000,,0.022170,-0.008,-0.008,-0.003,-0.003,-0.005
22592,2001/01/26,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,106.875,110.562,107.312,1478000.000,-0.019977,106.812,107.812,394433.000,2.000,2.000,109.562,,-0.019977,-0.001,-0.001,0.002,0.002,-0.002
22592,2001/01/29,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,105.870,107.800,107.290,1537700.000,-0.000210,106.790,107.790,394433.000,2.000,2.000,107.310,,-0.000210,0.009,0.009,0.010,0.010,0.007
22592,2001/01/30,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,106.450,112.000,111.400,2312600.000,0.038307,110.900,111.900,394433.000,2.000,2.000,106.750,,0.038307,0.007,0.007,0.010,0.009,0.007
22592,2001/01/31,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,0.000,,,,,,,,,,,,,,,,,110.410,112.900,110.650,2038900.000,-0.006732,110.150,111.150,394433.000,2.000,2.000,111.410,,-0.006732,-0.007,-0.007,-0.000,-0.000,-0.006
22592,2001/02/01,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,109.510,113.490,111.550,1893000.000,0.008134,111.050,112.050,394433.000,2.000,2.000,110.900,,0.008134,0.004,0.004,0.002,0.002,0.005
22592,2001/02/02,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,107.600,111.700,108.730,1662100.000,-0.025280,108.230,109.230,394433.000,2.000,2.000,110.800,,-0.025280,-0.019,-0.019,-0.009,-0.009,-0.017
22592,2001/02/05,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,108.300,111.640,109.770,1645300.000,0.009565,109.270,110.270,394433.000,2.000,2.000,108.300,,0.009565,0.002,0.002,-0.004,-0.004,0.004
22592,2001/02/06,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,110.220,113.250,111.660,1540300.000,0.017218,111.160,112.160,394433.000,2.000,2.000,111.100,,0.017218,0.000,0.000,0.002,0.002,-0.002
22592,2001/02/07,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,111.100,114.150,111.880,1401800.000,0.001970,111.380,112.380,394433.000,2.000,2.000,111.100,,0.001970,-0.009,-0.009,-0.004,-0.004,-0.008
22592,2001/02/08,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,111.190,112.950,112.050,1051200.000,0.001520,111.550,112.550,394433.000,2.000,2.000,112.870,,0.001520,-0.006,-0.007,-0.003,-0.003,-0.006
22592,2001/02/09,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,110.440,112.310,110.660,871100.000,-0.012405,110.160,111.160,394433.000,2.000,2.000,112.300,,-0.012405,-0.014,-0.014,-0.009,-0.009,-0.013
22592,2001/02/12,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,110.380,112.480,112.480,1360900.000,0.016447,111.980,112.980,394433.000,2.000,2.000,110.480,,0.016447,0.010,0.010,0.005,0.005,0.012
22592,2001/02/13,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,112.200,115.400,114.140,1688600.000,0.014758,113.640,114.640,394433.000,2.000,2.000,112.480,,0.014758,-0.009,-0.009,-0.003,-0.004,-0.009
22592,2001/02/14,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,109.010,114.140,110.970,2104000.000,-0.027773,110.470,111.470,394433.000,2.000,2.000,114.140,,-0.027773,-0.000,-0.000,-0.000,-0.001,-0.002
22592,2001/02/15,,11,1,2641,60405910,MMM,MINNESOTA MINING & MFG CO,,,,N,A,R,21205,0,1,5099,88579Y10,,,,,,,,,,,,,,,,,,,,,,,,,110.050,114.900,114.750,1402100.000,0.034063,114.250,115.250,394433.000,2.000,2.000,110.850,,0.034063,0.009,0.009,0.009,0.009,0.008
