PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84342,2003/05/01,2004/06/09,11,3,7310,61174210,MNST,MONSTER WORLDWIDE INC,,MNST,,Q,A,R,15229,20375,1,7363,61174210,,,,,,,,2.000,73.000,736.000,,,,,,,,,,,1.000,2.000,64.000,2.000,15.750,16.910,15.970,3413883.000,-0.047136,15.970,16.000,107046.000,1.000,1.000,16.500,5936.000,-0.047136,0.000,0.000,0.004,0.004,-0.001
84342,2003/05/02,,11,3,7310,61174210,MNST,MONSTER WORLDWIDE INC,,MNST,,Q,A,R,15229,20375,1,7363,61174210,,,,,,,,,73.000,736.000,,,,,,,,,,,,,,,16.110,16.990,16.800,3511010.000,0.051972,16.790,16.800,107046.000,1.000,1.000,16.550,6674.000,0.051972,0.015,0.015,0.016,0.016,0.015
84342,2003/05/05,,11,3,7310,61174210,MNST,MONSTER WORLDWIDE INC,,MNST,,Q,A,R,15229,20375,1,7363,61174210,,,,,,,,,73.000,736.000,,,,,,,,,,,,,,,16.500,17.780,16.850,4480799.000,0.002976,16.850,16.850,107046.000,1.000,1.000,16.600,7956.000,0.002976,-0.001,-0.001,0.009,0.009,-0.004
84342,2003/05/06,,11,3,7310,61174210,MNST,MONSTER WORLDWIDE INC,,MNST,,Q,A,R,15229,20375,1,7363,61174210,,,,,,,,,73.000,736.000,,,,,,,,,,,,,,,16.830,18.310,18.260,2460683.000,0.083680,18.280,18.300,107046.000,1.000,1.000,16.830,5927.000,0.083680,0.009,0.009,0.009,0.009,0.008
84342,2003/05/07,,11,3,7310,61174210,MNST,MONSTER WORLDWIDE INC,,MNST,,Q,A,R,15229,20375,1,7363,61174210,,,,,,,,0.000,73.000,736.000,,,,,,,,,,,1.000,2.000,64.000,2.000,16.990,18.040,17.200,3112062.000,-0.058050,17.200,17.210,107111.000,1.000,1.000,18.040,5166.000,-0.058050,-0.005,-0.005,0.000,0.000,-0.005
84342,2003/05/08,,11,3,7310,61174210,MNST,MONSTER WORLDWIDE INC,,MNST,,Q,A,R,15229,20375,1,7363,61174210,,,,,,,,0.000,73.000,736.000,,,,,,,,,,,1.000,2.000,63.000,2.000,16.790,17.300,17.070,1543925.000,-0.007558,17.050,17.070,107111.000,1.000,1.000,17.120,3803.000,-0.007558,-0.009,-0.009,-0.003,-0.003,-0.010
84342,2003/05/09,,11,3,7310,61174210,MNST,MONSTER WORLDWIDE INC,,MNST,,Q,A,R,15229,20375,1,7363,61174210,,,,,,,,,73.000,736.000,,,,,,,,,,,,,,,16.830,17.720,17.610,1844306.000,0.031635,17.600,17.610,107111.000,1.000,1.000,16.950,4767.000,0.031635,0.014,0.013,0.012,0.012,0.014
84342,2003/05/12,,11,3,7310,61174210,MNST,MONSTER WORLDWIDE INC,,MNST,,Q,A,R,15229,20375,1,7363,61174210,,,,,,,,,73.000,736.000,,,,,,,,,,,,,,,17.340,17.920,17.400,1965437.000,-0.011925,17.410,17.410,107111.000,1.000,1.000,17.600,5314.000,-0.011925,0.012,0.012,0.012,0.012,0.013
84342,2003/05/13,,11,3,7310,61174210,MNST,MONSTER WORLDWIDE INC,,MNST,,Q,A,R,15229,20375,1,7363,61174210,,,,,,,,0.000,73.000,736.000,,,,,,,,,,,1.000,2.000,62.000,2.000,16.890,18.210,18.140,1311943.000,0.042529,18.140,18.200,107111.000,1.000,1.000,17.300,3699.000,0.042529,-0.002,-0.002,0.004,0.004,-0.003
84342,2003/05/14,,11,3,7310,61174210,MNST,MONSTER WORLDWIDE INC,,MNST,,Q,A,R,15229,20375,1,7363,61174210,,,,,,,,,73.000,736.000,,,,,,,,,,,,,,,17.860,18.700,18.000,1324596.000,-0.007718,17.970,18.000,107111.000,1.000,1.000,18.150,3581.000,-0.007718,-0.001,-0.002,0.005,0.005,-0.003
