PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
88668,2001/01/02,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,26.875,29.125,28.250,108800.000,0.043880,28.188,28.562,255000.000,2.000,2.000,27.062,,0.043880,-0.034,-0.034,-0.001,-0.001,-0.028
88668,2001/01/03,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,29.000,32.625,31.375,956200.000,0.110619,31.250,31.500,255000.000,2.000,2.000,30.125,,0.110619,0.053,0.053,0.046,0.046,0.050
88668,2001/01/04,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,2000/12/07,,,,,2001/02/01,2001/01/08,0.000,,,1212.000,0.090,0.000,0.000,,,,,,,,,,,30.500,31.750,30.500,514700.000,-0.025020,30.438,30.688,255000.000,2.000,2.000,31.250,,-0.027888,-0.012,-0.012,0.011,0.011,-0.011
88668,2001/01/05,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,29.000,30.250,29.688,179300.000,-0.026639,29.438,29.750,255000.000,2.000,2.000,30.250,,-0.026639,-0.029,-0.029,-0.009,-0.009,-0.026
88668,2001/01/08,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,29.312,29.812,29.688,33000.000,0.000000,29.500,29.750,255000.000,2.000,2.000,29.688,,0.000000,-0.003,-0.004,-0.005,-0.005,-0.002
88668,2001/01/09,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,29.312,29.688,29.375,24200.000,-0.010526,29.188,29.500,255000.000,2.000,2.000,29.688,,-0.010526,0.005,0.005,0.012,0.012,0.004
88668,2001/01/10,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,29.438,30.125,29.625,39000.000,0.008511,29.375,29.688,255000.000,2.000,2.000,29.625,,0.008511,0.014,0.014,0.021,0.020,0.010
88668,2001/01/11,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,28.375,29.250,29.250,377200.000,-0.012658,29.188,29.438,255000.000,2.000,2.000,29.125,,-0.012658,0.015,0.015,0.027,0.027,0.010
88668,2001/01/12,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,29.000,30.000,30.000,122300.000,0.025641,29.688,30.062,255000.000,2.000,2.000,29.000,,0.025641,-0.004,-0.004,0.019,0.019,-0.006
88668,2001/01/16,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,30.125,31.938,30.188,169700.000,0.006250,29.938,30.250,255000.000,2.000,2.000,30.750,,0.006250,0.006,0.006,0.019,0.019,0.006
88668,2001/01/17,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,30.125,30.938,30.500,108600.000,0.010352,30.438,30.688,255000.000,2.000,2.000,30.500,,0.010352,0.004,0.004,0.013,0.013,0.002
88668,2001/01/18,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,30.312,31.000,30.812,98800.000,0.010246,30.750,30.938,255000.000,2.000,2.000,30.750,,0.010246,0.012,0.012,0.009,0.008,0.014
88668,2001/01/19,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,28.875,30.812,29.125,89600.000,-0.054767,29.000,29.375,255000.000,2.000,2.000,30.812,,-0.054767,-0.004,-0.004,0.004,0.004,-0.004
88668,2001/01/22,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,28.500,29.250,28.812,147900.000,-0.010730,28.688,29.125,255000.000,2.000,2.000,29.125,,-0.010730,0.000,0.000,0.005,0.005,0.000
88668,2001/01/23,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,28.125,28.875,28.500,290200.000,-0.010846,28.375,28.688,255000.000,2.000,2.000,28.750,,-0.010846,0.016,0.016,0.015,0.015,0.013
88668,2001/01/24,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,28.375,29.000,28.938,55200.000,0.015351,28.812,29.188,255000.000,2.000,2.000,28.375,,0.015351,0.003,0.003,0.007,0.007,0.003
88668,2001/01/25,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,28.500,29.312,29.312,92500.000,0.012959,29.062,29.438,255000.000,2.000,2.000,28.688,,0.012959,-0.008,-0.008,-0.003,-0.003,-0.005
88668,2001/01/26,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,29.062,30.188,30.188,113500.000,0.029851,30.062,30.312,255000.000,2.000,2.000,29.312,,0.029851,-0.001,-0.001,0.002,0.002,-0.002
88668,2001/01/29,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,30.200,31.500,30.850,199300.000,0.021946,30.675,31.105,255000.000,2.000,2.000,30.400,,0.021946,0.009,0.009,0.010,0.010,0.007
88668,2001/01/30,,11,1,2879,61166W10,MON,MONSANTO CO NEW,,,,N,A,R,40148,0,1,2879,61166W10,,,,,,,,,,,,,,,,,,,,,,,,,30.000,31.900,31.030,299500.000,0.005835,30.520,31.650,255000.000,2.000,2.000,31.500,,0.005835,0.007,0.007,0.010,0.009,0.007
