PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
90386,2004/10/25,2011/05/24,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,0.000,28.000,287.000,,,,,,,,,,,,,,,14.800,15.180,15.000,574800.000,C,15.040,15.060,375671.000,1.000,1.000,15.000,,C,-0.000,-0.000,0.002,0.002,-0.001
90386,2004/10/26,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,14.810,15.170,15.160,797200.000,0.010667,15.150,15.160,375671.000,1.000,1.000,15.050,,0.010667,0.013,0.013,0.007,0.007,0.015
90386,2004/10/27,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,14.900,15.160,15.000,845500.000,-0.010554,15.040,15.050,375671.000,1.000,1.000,15.140,,-0.010554,0.012,0.012,0.010,0.010,0.013
90386,2004/10/28,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,14.840,15.050,14.960,1046100.000,-0.002667,14.950,14.960,375671.000,1.000,1.000,15.030,,-0.002667,0.001,0.001,0.000,-0.000,0.002
90386,2004/10/29,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,0.000,28.000,287.000,,,,,,,,,,,,,,,14.830,15.050,15.040,997600.000,0.005348,14.930,15.050,375671.000,1.000,1.000,14.930,,0.005348,0.002,0.002,0.002,0.002,0.002
90386,2004/11/01,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,15.050,15.420,15.120,832200.000,0.005319,15.100,15.120,375671.000,1.000,1.000,15.400,,0.005319,0.001,0.001,0.002,0.002,0.000
90386,2004/11/02,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,15.000,15.200,15.080,688000.000,-0.002646,15.050,15.080,375671.000,1.000,1.000,15.100,,-0.002646,0.000,0.000,0.000,0.000,0.000
90386,2004/11/03,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,15.220,15.510,15.480,937700.000,0.026525,15.370,15.430,375671.000,1.000,1.000,15.280,,0.026525,0.012,0.011,0.010,0.010,0.011
90386,2004/11/04,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,15.500,16.170,15.860,643600.000,0.024548,15.850,15.860,375671.000,1.000,1.000,15.650,,0.024548,0.014,0.014,0.008,0.008,0.016
90386,2004/11/05,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,15.850,16.250,16.250,1459900.000,0.024590,16.130,16.140,375671.000,1.000,1.000,16.100,,0.024590,0.004,0.004,0.005,0.005,0.004
90386,2004/11/08,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.270,16.640,16.640,925300.000,0.024000,16.600,16.610,375671.000,1.000,1.000,16.420,,0.024000,-0.001,-0.001,-0.001,-0.001,-0.001
90386,2004/11/09,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.240,16.740,16.430,1092900.000,-0.012620,16.420,16.450,375671.000,1.000,1.000,16.730,,-0.012620,0.001,0.000,0.005,0.005,-0.001
90386,2004/11/10,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.000,16.700,16.230,1219100.000,-0.012173,16.150,16.160,375671.000,1.000,1.000,16.650,,-0.012173,0.001,0.000,0.005,0.005,-0.001
90386,2004/11/11,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.100,16.300,16.250,655400.000,0.001232,16.210,16.250,375671.000,1.000,1.000,16.300,,0.001232,0.009,0.009,0.009,0.009,0.009
90386,2004/11/12,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.120,16.350,16.250,1124900.000,0.000000,16.230,16.250,375671.000,1.000,1.000,16.350,,0.000000,0.009,0.009,0.008,0.008,0.009
90386,2004/11/15,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.000,16.300,16.180,513900.000,-0.004308,16.140,16.170,375671.000,1.000,1.000,16.250,,-0.004308,0.000,-0.002,0.004,0.004,-0.000
90386,2004/11/16,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,15.620,16.100,15.920,714100.000,-0.016069,15.910,15.930,375671.000,1.000,1.000,16.100,,-0.016069,-0.006,-0.006,-0.003,-0.003,-0.007
90386,2004/11/17,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,15.900,16.330,16.270,884400.000,0.021985,16.280,16.320,375671.000,1.000,1.000,15.920,,0.021985,0.006,0.006,0.008,0.008,0.006
90386,2004/11/18,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.110,16.490,16.350,695000.000,0.004917,16.350,16.360,375671.000,1.000,1.000,16.200,,0.004917,0.000,0.000,0.001,0.001,0.001
90386,2004/11/19,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.150,16.360,16.280,584400.000,-0.004281,16.230,16.250,375671.000,1.000,1.000,16.350,,-0.004281,-0.010,-0.010,-0.006,-0.006,-0.011
90386,2004/11/22,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,15.960,16.350,16.220,1163500.000,-0.003686,16.230,16.240,375671.000,1.000,1.000,16.340,,-0.003686,0.006,0.006,0.006,0.006,0.006
90386,2004/11/23,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.150,16.370,16.250,1034000.000,0.001850,16.290,16.310,375671.000,1.000,1.000,16.300,,0.001850,0.001,0.001,0.004,0.004,-0.000
90386,2004/11/24,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.250,17.230,17.230,1456900.000,0.060308,17.160,17.170,375671.000,1.000,1.000,16.250,,0.060308,0.005,0.005,0.008,0.008,0.004
90386,2004/11/26,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,17.120,17.480,17.480,301700.000,0.014510,17.450,17.460,375671.000,1.000,1.000,17.200,,0.014510,0.002,0.002,0.005,0.005,0.001
90386,2004/11/29,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,,28.000,287.000,,,,,,,,,,,,,,,16.890,17.500,17.300,706500.000,-0.010298,17.230,17.280,375671.000,1.000,1.000,17.500,,-0.010298,-0.002,-0.002,0.003,0.003,-0.003
90386,2004/11/30,,11,1,2874,61945A10,MOS,MOSAIC COMPANY,,MOS,325312,N,A,R,45695,0,1,2874,61945C10,,,,,,,,0.000,28.000,287.000,,,,,,,,,,,,,,,17.270,17.560,17.380,1198800.000,0.004624,17.380,17.390,376817.000,1.000,1.000,17.300,,0.004624,-0.003,-0.003,-0.001,-0.001,-0.004
