PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
14704,2014/06/19,2016/07/12,12,3,9999,G5824910,MRKT,MARKIT LTD,,MRKT,561499,Q,A,R,54895,74622,3,9999,G4756710,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,34.000,1.000,26.060,27.400,26.700,32014177.000,C,26.700,26.750,178868.000,1.000,1.000,26.150,114435.000,C,0.002,0.002,0.002,0.002,0.001
14704,2014/06/20,,12,3,9999,G5824910,MRKT,MARKIT LTD,,MRKT,561499,Q,A,R,54895,74622,3,9999,G4756710,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,34.000,4.000,26.700,27.450,26.950,3839958.000,0.009363,27.020,27.250,178868.000,1.000,1.000,26.700,17516.000,0.009363,0.002,0.002,0.001,0.001,0.002
14704,2014/06/23,,12,3,9999,G5824910,MRKT,MARKIT LTD,,MRKT,561499,Q,A,R,54895,74622,3,9999,G4756710,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,33.000,4.000,26.520,27.250,26.740,1527085.000,-0.007792,26.700,26.750,178868.000,1.000,1.000,27.250,7095.000,-0.007792,0.000,0.000,-0.000,-0.001,-0.000
14704,2014/06/24,,12,3,9999,G5824910,MRKT,MARKIT LTD,,MRKT,561499,Q,A,R,54895,74622,3,9999,G4756710,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,34.000,4.000,26.450,27.080,26.760,1102808.000,0.000748,27.010,27.060,178868.000,1.000,1.000,26.570,4727.000,0.000748,-0.007,-0.007,-0.007,-0.007,-0.006
14704,2014/06/25,,12,3,9999,G5824910,MRKT,MARKIT LTD,,MRKT,561499,Q,A,R,54895,74622,3,9999,G4756710,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,33.000,4.000,26.510,27.090,26.900,921052.000,0.005232,26.900,26.950,178868.000,1.000,1.000,26.570,4830.000,0.005232,0.005,0.005,0.004,0.004,0.005
14704,2014/06/26,,12,3,9999,G5824910,MRKT,MARKIT LTD,,MRKT,561499,Q,A,R,54895,74622,3,9999,G4756710,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,35.000,4.000,26.770,27.240,26.980,1161652.000,0.002974,26.980,27.020,178868.000,1.000,1.000,26.790,6124.000,0.002974,-0.001,-0.001,0.000,0.000,-0.001
14704,2014/06/27,,12,3,9999,G5824910,MRKT,MARKIT LTD,,MRKT,561499,Q,A,R,54895,74622,3,9999,G4756710,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,26.700,27.230,26.980,1097712.000,0.000000,26.960,26.980,178868.000,1.000,1.000,26.980,5052.000,0.000000,0.003,0.003,0.005,0.005,0.002
14704,2014/06/30,,12,3,9999,G5824910,MRKT,MARKIT LTD,,MRKT,561499,Q,A,R,54895,74622,3,9999,G4756710,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,26.670,27.180,26.980,694466.000,0.000000,26.960,26.970,178868.000,1.000,1.000,27.180,3112.000,0.000000,0.001,0.001,0.003,0.003,-0.000
14704,2014/07/01,,12,3,9999,G5824910,MRKT,MARKIT LTD,,MRKT,561499,Q,A,R,54895,74622,3,9999,G4756710,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,26.710,27.200,26.740,999672.000,-0.008895,26.720,26.750,178868.000,1.000,1.000,27.200,3582.000,-0.008895,0.007,0.007,0.007,0.007,0.007
14704,2014/07/02,,12,3,9999,G5824910,MRKT,MARKIT LTD,,MRKT,561499,Q,A,R,54895,74622,3,9999,G4756710,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,26.620,27.090,26.770,1401691.000,0.001122,26.770,26.800,178868.000,1.000,1.000,26.620,4300.000,0.001122,-0.000,-0.000,-0.001,-0.001,0.001
