PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
90537,2001/01/02,,11,1,1381,65504210,NE,NOBLE DRILLING CORP,,,,N,A,R,7752,10111,1,1381,G6543110,,,,,,,,,,,,,,,,,,,,,,,,,43.000,45.125,43.312,1269500.000,-0.002878,,,134289.000,2.272,2.000,43.938,,-0.002878,-0.034,-0.034,-0.001,-0.001,-0.028
90537,2001/01/03,,11,1,1381,65504210,NE,NOBLE DRILLING CORP,,,,N,A,R,7752,10111,1,1381,G6543110,,,,,,,,,,,,,,,,,,,,,,,,,40.312,44.250,40.312,2044900.000,-0.069264,,,134289.000,2.272,2.000,44.250,,-0.069264,0.053,0.053,0.046,0.046,0.050
90537,2001/01/04,,11,1,1381,65504210,NE,NOBLE DRILLING CORP,,,,N,A,R,7752,10111,1,1381,G6543110,,,,,,,,,,,,,,,,,,,,,,,,,37.250,39.562,38.500,3740100.000,-0.044961,,,134289.000,2.272,2.000,39.250,,-0.044961,-0.012,-0.012,0.011,0.011,-0.011
90537,2001/01/05,,11,1,1381,65504210,NE,NOBLE DRILLING CORP,,,,N,A,R,7752,10111,1,1381,G6543110,,,,,,,,,,,,,,,,,,,,,,,,,38.000,40.000,39.000,2407400.000,0.012987,,,134289.000,2.272,2.000,39.000,,0.012987,-0.029,-0.029,-0.009,-0.009,-0.026
90537,2001/01/08,,11,1,1381,65504210,NE,NOBLE DRILLING CORP,,,,N,A,R,7752,10111,1,1381,G6543110,,,,,,,,,,,,,,,,,,,,,,,,,39.312,41.125,39.500,1233400.000,0.012821,,,134289.000,2.272,2.000,39.625,,0.012821,-0.003,-0.004,-0.005,-0.005,-0.002
90537,2001/01/09,,11,1,1381,65504210,NE,NOBLE DRILLING CORP,,,,N,A,R,7752,10111,1,1381,G6543110,,,,,,,,,,,,,,,,,,,,,,,,,39.812,42.375,41.000,1535400.000,0.037975,,,134289.000,2.272,2.000,40.688,,0.037975,0.005,0.005,0.012,0.012,0.004
90537,2001/01/10,,11,1,1381,65504210,NE,NOBLE DRILLING CORP,,,,N,A,R,7752,10111,1,1381,G6543110,,,,,,,,,,,,,,,,,,,,,,,,,42.000,43.812,43.125,1993300.000,0.051829,,,134289.000,2.272,2.000,42.000,,0.051829,0.014,0.014,0.021,0.020,0.010
90537,2001/01/11,,11,1,1381,65504210,NE,NOBLE DRILLING CORP,,,,N,A,R,7752,10111,1,1381,G6543110,,,,,,,,,,,,,,,,,,,,,,,,,42.000,43.812,43.062,2233800.000,-0.001449,,,134289.000,2.272,2.000,42.875,,-0.001449,0.015,0.015,0.027,0.027,0.010
90537,2001/01/12,,11,1,1381,65504210,NE,NOBLE DRILLING CORP,,,,N,A,R,7752,10111,1,1381,G6543110,,,,,,,,,,,,,,,,,,,,,,,,,41.375,43.750,41.812,15052900.000,-0.029028,41.000,42.000,134289.000,2.272,2.000,43.500,,-0.029028,-0.004,-0.004,0.019,0.019,-0.006
90537,2001/01/16,,11,1,1381,65504210,NE,NOBLE DRILLING CORP,,,,N,A,R,7752,10111,1,1381,G6543110,,,,,,,,,,,,,,,,,,,,,,,,,41.125,43.375,43.250,2470000.000,0.034380,,,134289.000,2.272,2.000,42.000,,0.034380,0.006,0.006,0.019,0.019,0.006
