PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
24205,2010/06/23,2010/11/23,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,2.000,49.000,491.000,,,,,,,,,,,,,,,48.000,51.080,50.200,1419900.000,-0.010057,50.190,50.200,414673.000,1.000,1.000,48.000,,-0.010057,-0.003,-0.003,-0.002,-0.002,-0.003
24205,2010/06/24,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,49.480,50.720,49.580,1643600.000,-0.012351,49.590,49.610,414673.000,1.000,1.000,49.990,,-0.012351,-0.016,-0.016,-0.012,-0.012,-0.017
24205,2010/06/25,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,49.030,49.810,49.220,2519600.000,-0.007261,49.320,49.370,414673.000,1.000,1.000,49.810,,-0.007261,0.006,0.006,0.010,0.010,0.003
24205,2010/06/28,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,48.910,49.450,49.190,1838800.000,-0.000610,49.200,49.230,414673.000,1.000,1.000,49.280,,-0.000610,-0.003,-0.003,-0.005,-0.005,-0.002
24205,2010/06/29,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,47.960,48.990,48.370,2399400.000,-0.016670,48.340,48.360,414673.000,1.000,1.000,48.390,,-0.016670,-0.033,-0.033,-0.031,-0.031,-0.031
24205,2010/06/30,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,0.000,49.000,491.000,,,,,,,,,,,,,,,48.530,49.630,48.760,2951000.000,0.008063,48.730,48.740,414673.000,1.000,1.000,48.550,,0.008063,-0.009,-0.009,-0.006,-0.006,-0.010
24205,2010/07/01,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,48.440,49.020,48.950,2345200.000,0.003897,48.900,48.920,414673.000,1.000,1.000,49.020,,0.003897,-0.004,-0.004,-0.008,-0.008,-0.003
24205,2010/07/02,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,48.830,49.360,48.960,1489500.000,0.000204,48.930,48.950,414673.000,1.000,1.000,49.130,,0.000204,-0.005,-0.005,-0.004,-0.004,-0.005
24205,2010/07/06,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,48.970,49.889,49.400,1143700.000,0.008987,49.380,49.400,414673.000,1.000,1.000,49.420,,0.008987,0.003,0.003,-0.006,-0.006,0.005
24205,2010/07/07,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,49.320,50.830,50.800,1965600.000,0.028340,50.750,50.800,414673.000,1.000,1.000,49.700,,0.028340,0.031,0.031,0.022,0.022,0.031
24205,2010/07/08,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,50.660,51.000,51.000,1368000.000,0.003937,50.990,51.000,414673.000,1.000,1.000,51.000,,0.003937,0.010,0.010,0.010,0.010,0.009
24205,2010/07/09,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,50.750,51.510,51.430,889700.000,0.008431,51.450,51.470,414673.000,1.000,1.000,50.930,,0.008431,0.009,0.009,0.012,0.012,0.007
24205,2010/07/12,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,51.159,51.920,51.910,907500.000,0.009333,51.910,51.920,414673.000,1.000,1.000,51.200,,0.009333,-0.001,-0.001,-0.005,-0.006,0.001
24205,2010/07/13,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,51.900,52.440,52.280,1058200.000,0.007128,52.230,52.240,414673.000,1.000,1.000,52.020,,0.007128,0.017,0.017,0.022,0.021,0.015
24205,2010/07/14,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,51.750,52.370,52.100,1000200.000,-0.003443,52.090,52.100,414673.000,1.000,1.000,52.000,,-0.003443,-0.001,-0.001,-0.001,-0.001,-0.000
24205,2010/07/15,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,51.720,52.995,52.940,1994700.000,0.016123,52.870,52.880,414673.000,1.000,1.000,51.980,,0.016123,0.000,0.000,-0.004,-0.004,0.001
24205,2010/07/16,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.290,52.980,52.610,2452700.000,-0.006233,52.600,52.620,414673.000,1.000,1.000,52.800,,-0.006233,-0.029,-0.029,-0.024,-0.024,-0.029
24205,2010/07/19,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.290,52.930,52.770,1105000.000,0.003041,52.780,52.820,414673.000,1.000,1.000,52.560,,0.003041,0.005,0.005,0.003,0.003,0.006
24205,2010/07/20,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,51.980,52.810,52.700,1551400.000,-0.001327,52.690,52.700,414673.000,1.000,1.000,52.600,,-0.001327,0.013,0.012,0.012,0.011,0.011
24205,2010/07/21,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,51.850,52.790,52.120,1594200.000,-0.011006,52.060,52.090,414673.000,1.000,1.000,52.510,,-0.011006,-0.013,-0.013,-0.010,-0.010,-0.013
24205,2010/07/22,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.280,53.110,52.840,2304800.000,0.013814,52.750,52.790,414673.000,1.000,1.000,52.280,,0.013814,0.024,0.023,0.023,0.023,0.023
24205,2010/07/23,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.120,53.250,52.810,1773500.000,-0.000568,52.720,52.770,414673.000,1.000,1.000,52.950,,-0.000568,0.010,0.010,0.014,0.014,0.008
24205,2010/07/26,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.500,53.660,52.830,1159600.000,0.000379,52.800,52.820,414673.000,1.000,1.000,52.620,,0.000379,0.012,0.012,0.014,0.014,0.011
24205,2010/07/27,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.420,54.000,53.800,2298700.000,0.018361,53.780,53.790,414673.000,1.000,1.000,52.420,,0.018361,-0.003,-0.003,-0.002,-0.002,-0.001
24205,2010/07/28,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.960,53.690,53.070,1628400.000,-0.013569,53.080,53.110,414673.000,1.000,1.000,53.530,,-0.013569,-0.007,-0.008,-0.008,-0.008,-0.007
24205,2010/07/29,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.340,53.500,52.500,2112900.000,-0.010741,52.470,52.480,414673.000,1.000,1.000,53.280,,-0.010741,-0.003,-0.003,0.000,0.000,-0.004
24205,2010/07/30,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,0.000,49.000,491.000,,,,,,,,,,,,,,,52.010,52.610,52.300,1453500.000,-0.003810,52.280,52.290,414673.000,1.000,1.000,52.420,,-0.003810,0.002,0.002,0.003,0.003,0.000
24205,2010/08/02,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.600,54.010,54.010,1992600.000,0.032696,53.980,54.010,414673.000,1.000,1.000,52.600,,0.032696,0.021,0.021,0.014,0.014,0.022
24205,2010/08/03,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,53.500,54.050,53.740,1022000.000,-0.004999,53.700,53.720,414673.000,1.000,1.000,53.750,,-0.004999,-0.005,-0.005,-0.005,-0.005,-0.005
24205,2010/08/04,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.902,53.850,53.600,1148000.000,-0.002605,53.570,53.590,414673.000,1.000,1.000,53.850,,-0.002605,0.007,0.007,0.007,0.007,0.006
24205,2010/08/05,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.690,53.270,53.260,1939900.000,-0.006343,53.240,53.250,414673.000,1.000,1.000,53.170,,-0.006343,-0.002,-0.003,-0.004,-0.004,-0.001
24205,2010/08/06,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.650,53.710,53.710,952300.000,0.008449,53.640,53.650,414673.000,1.000,1.000,53.040,,0.008449,-0.004,-0.004,-0.003,-0.003,-0.004
24205,2010/08/09,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,53.310,53.860,53.480,1310200.000,-0.004282,53.430,53.470,414673.000,1.000,1.000,53.680,,-0.004282,0.006,0.006,0.007,0.007,0.005
24205,2010/08/10,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.950,53.930,53.750,1620700.000,0.005049,53.700,53.730,414673.000,1.000,1.000,53.120,,0.005049,-0.008,-0.008,-0.012,-0.012,-0.006
24205,2010/08/11,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,52.560,53.420,52.680,1380900.000,-0.019907,52.630,52.650,414673.000,1.000,1.000,52.970,,-0.019907,-0.029,-0.030,-0.029,-0.029,-0.028
24205,2010/08/12,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,51.640,52.410,52.060,1426500.000,-0.011769,52.060,52.070,414673.000,1.000,1.000,52.340,,-0.011769,-0.005,-0.005,-0.003,-0.003,-0.005
24205,2010/08/13,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,51.730,52.490,52.020,1060300.000,-0.000768,52.040,52.060,414673.000,1.000,1.000,51.990,,-0.000768,-0.004,-0.004,-0.004,-0.004,-0.004
24205,2010/08/16,,11,1,4911,65339F10,NEE,NEXTERA ENERGY INC,,NEE,221111,N,A,R,20684,0,1,4911,65339F10,,,,,,,,,49.000,491.000,,,,,,,,,,,,,,,51.330,52.360,52.160,1264100.000,0.002691,52.140,52.150,414673.000,1.000,1.000,51.770,,0.002691,0.001,0.001,0.004,0.004,0.000
