PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
64311,2001/01/02,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,13.625,14.125,13.688,1032900.000,0.028169,13.562,13.812,383499.000,1.000,1.000,13.812,,0.028169,-0.034,-0.034,-0.001,-0.001,-0.028
64311,2001/01/03,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,13.688,14.312,14.125,1073600.000,0.031963,14.000,14.250,383499.000,1.000,1.000,13.750,,0.031963,0.053,0.053,0.046,0.046,0.050
64311,2001/01/04,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,14.312,16.000,15.438,2080500.000,0.092920,15.125,15.688,383499.000,1.000,1.000,14.312,,0.092920,-0.012,-0.012,0.011,0.011,-0.011
64311,2001/01/05,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,15.125,15.500,15.375,1741100.000,-0.004049,15.125,15.625,383499.000,1.000,1.000,15.438,,-0.004049,-0.029,-0.029,-0.009,-0.009,-0.026
64311,2001/01/08,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,15.375,16.250,16.125,2145400.000,0.048780,15.875,16.375,383499.000,1.000,1.000,15.438,,0.048780,-0.003,-0.004,-0.005,-0.005,-0.002
64311,2001/01/09,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,16.125,16.312,16.125,1638000.000,0.000000,15.875,16.375,383499.000,1.000,1.000,16.125,,0.000000,0.005,0.005,0.012,0.012,0.004
64311,2001/01/10,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,15.688,16.188,15.875,1189200.000,-0.015504,15.625,16.125,383499.000,1.000,1.000,16.125,,-0.015504,0.014,0.014,0.021,0.020,0.010
64311,2001/01/11,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,15.688,15.938,15.812,917000.000,-0.003937,15.562,16.062,383499.000,1.000,1.000,15.812,,-0.003937,0.015,0.015,0.027,0.027,0.010
64311,2001/01/12,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,15.375,15.625,15.438,1782600.000,-0.023715,15.000,15.938,383499.000,1.000,1.000,15.625,,-0.023715,-0.004,-0.004,0.019,0.019,-0.006
64311,2001/01/16,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,15.438,16.125,16.125,813200.000,0.044534,15.875,16.375,383499.000,1.000,1.000,15.438,,0.044534,0.006,0.006,0.019,0.019,0.006
64311,2001/01/17,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,16.188,16.500,16.500,1001200.000,0.023256,16.250,16.750,383499.000,1.000,1.000,16.500,,0.023256,0.004,0.004,0.013,0.013,0.002
64311,2001/01/18,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,16.438,16.688,16.562,898100.000,0.003788,16.312,16.812,383499.000,1.000,1.000,16.500,,0.003788,0.012,0.012,0.009,0.008,0.014
64311,2001/01/19,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,16.000,16.562,16.125,2529000.000,-0.026415,15.875,16.375,383499.000,1.000,1.000,16.500,,-0.026415,-0.004,-0.004,0.004,0.004,-0.004
64311,2001/01/22,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,16.000,16.500,16.375,1587600.000,0.015504,16.125,16.625,383499.000,1.000,1.000,16.125,,0.015504,0.000,0.000,0.005,0.005,0.000
64311,2001/01/23,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,16.125,16.625,16.312,2312400.000,-0.003817,16.062,16.562,383499.000,1.000,1.000,16.500,,-0.003817,0.016,0.016,0.015,0.015,0.013
64311,2001/01/24,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,14.688,15.688,15.562,3634300.000,-0.045977,15.312,15.812,383499.000,1.000,1.000,15.500,,-0.045977,0.003,0.003,0.007,0.007,0.003
64311,2001/01/25,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,14.875,15.688,15.188,1798700.000,-0.024096,14.938,15.438,383499.000,1.000,1.000,15.125,,-0.024096,-0.008,-0.008,-0.003,-0.003,-0.005
64311,2001/01/26,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,15.125,15.562,15.312,1007000.000,0.008230,15.125,15.625,383499.000,1.000,1.000,15.250,,0.008230,-0.001,-0.001,0.002,0.002,-0.002
64311,2001/01/29,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,15.310,15.640,15.560,1087400.000,0.016163,15.310,15.810,383499.000,1.000,1.000,15.310,,0.016163,0.009,0.009,0.010,0.010,0.007
64311,2001/01/30,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,15.520,15.740,15.700,1697900.000,0.008997,15.450,15.950,383499.000,1.000,1.000,15.600,,0.008997,0.007,0.007,0.010,0.009,0.007
64311,2001/01/31,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,2001/01/23,,,,,2001/03/10,2001/02/02,0.000,,,1232.000,0.060,0.000,0.000,,,,,,,,,,,15.500,16.490,16.330,1662800.000,0.043949,16.080,16.580,383499.000,1.000,1.000,15.800,,0.040127,-0.007,-0.007,-0.000,-0.000,-0.006
64311,2001/02/01,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,16.330,16.690,16.550,1126800.000,0.013472,16.300,16.800,383499.000,1.000,1.000,16.550,,0.013472,0.004,0.004,0.002,0.002,0.005
64311,2001/02/02,,11,1,4011,65584410,NSC,NORFOLK SOUTHERN CORP,,,,N,A,R,21294,0,1,4011,65584410,,,,,,,,,,,,,,,,,,,,,,,,,16.070,16.740,16.400,4580700.000,-0.009063,16.150,16.650,383499.000,1.000,1.000,16.550,,-0.009063,-0.019,-0.019,-0.009,-0.009,-0.017
