PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
58640,2001/01/02,,12,1,3662,65656810,NT,NORTEL NETWORKS CORP NEW,,,,N,A,R,21301,0,1,3661,65656850,,,,,,,,,,,,,,,,,,,,,,,,,30.062,33.438,30.250,15666900.000,-0.056530,30.125,30.562,3066252.000,0.100,0.100,32.500,,-0.056530,-0.034,-0.034,-0.001,-0.001,-0.028
58640,2001/01/03,,12,1,3662,65656810,NT,NORTEL NETWORKS CORP NEW,,,,N,A,R,21301,0,1,3661,65656850,,,,,,,,,,,,,,,,,,,,,,,,,29.000,35.188,34.875,39337100.000,0.152893,34.875,35.000,3066252.000,0.100,0.100,30.000,,0.152893,0.053,0.053,0.046,0.046,0.050
58640,2001/01/04,,12,1,3662,65656810,NT,NORTEL NETWORKS CORP NEW,,,,N,A,R,21301,0,1,3661,65656850,,,,,,,,,,,,,,,,,,,,,,,,,35.000,36.938,36.250,26679600.000,0.039427,36.125,36.438,3066252.000,0.100,0.100,35.250,,0.039427,-0.012,-0.012,0.011,0.011,-0.011
58640,2001/01/05,,12,1,3662,65656810,NT,NORTEL NETWORKS CORP NEW,,,,N,A,R,21301,0,1,3661,65656850,,,,,,,,,,,,,,,,,,,,,,,,,32.625,36.250,33.062,16361700.000,-0.087931,32.812,33.312,3066252.000,0.100,0.100,36.250,,-0.087931,-0.029,-0.029,-0.009,-0.009,-0.026
58640,2001/01/08,,12,1,3662,65656810,NT,NORTEL NETWORKS CORP NEW,,,,N,A,R,21301,0,1,3661,65656850,,,,,,,,,,,,,,,,,,,,,,,,,31.375,33.375,32.625,14924500.000,-0.013233,32.750,33.250,3066252.000,0.100,0.100,33.375,,-0.013233,-0.003,-0.004,-0.005,-0.005,-0.002
58640,2001/01/09,,12,1,3662,65656810,NT,NORTEL NETWORKS CORP NEW,,,,N,A,R,21301,0,1,3661,65656850,,,,,,,,,,,,,,,,,,,,,,,,,31.500,33.312,31.625,16296500.000,-0.030651,31.000,32.250,3066252.000,0.100,0.100,32.875,,-0.030651,0.005,0.005,0.012,0.012,0.004
58640,2001/01/10,,12,1,3662,65656810,NT,NORTEL NETWORKS CORP NEW,,,,N,A,R,21301,0,1,3661,65656850,,,,,,,,,,,,,,,,,,,,,,,,,30.562,32.438,31.938,29114500.000,0.009881,31.000,31.875,3066252.000,0.100,0.100,30.750,,0.009881,0.014,0.014,0.021,0.020,0.010
58640,2001/01/11,,12,1,3662,65656810,NT,NORTEL NETWORKS CORP NEW,,,,N,A,R,21301,0,1,3661,65656850,,,,,,,,,,,,,,,,,,,,,,,,,30.750,34.250,34.062,34173900.000,0.066536,33.000,34.000,3066252.000,0.100,0.100,31.375,,0.066536,0.015,0.015,0.027,0.027,0.010
58640,2001/01/12,,12,1,3662,65656810,NT,NORTEL NETWORKS CORP NEW,,,,N,A,R,21301,0,1,3661,65656850,,,,,,,,,,,,,,,,,,,,,,,,,32.812,34.250,33.375,16514500.000,-0.020183,33.750,33.875,3066252.000,0.100,0.100,34.000,,-0.020183,-0.004,-0.004,0.019,0.019,-0.006
58640,2001/01/16,,12,1,3662,65656810,NT,NORTEL NETWORKS CORP NEW,,,,N,A,R,21301,0,1,3661,65656850,,,,,,,,,,,,,,,,,,,,,,,,,31.250,32.375,31.938,14481700.000,-0.043071,32.500,33.000,3066252.000,0.100,0.100,32.062,,-0.043071,0.006,0.006,0.019,0.019,0.006
