PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
82598,2001/01/02,,11,3,7370,64120L10,NTAP,NETWORK APPLIANCE INC,,NTAP,,Q,A,R,14152,19072,3,3572,64110D10,,,,,,,,,,,,,,,,,,,,,,,,,48.500,58.250,51.438,15491619.000,-0.198637,51.438,51.500,320845.000,1.000,1.000,57.688,43061.000,-0.198637,-0.034,-0.034,-0.001,-0.001,-0.028
82598,2001/01/03,,11,3,7370,64120L10,NTAP,NETWORK APPLIANCE INC,,NTAP,,Q,A,R,14152,19072,3,3572,64110D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,69.000,9.000,47.062,67.750,64.000,22195939.000,0.244228,63.938,63.938,320845.000,1.000,1.000,48.812,55846.000,0.244228,0.053,0.053,0.046,0.046,0.050
82598,2001/01/04,,11,3,7370,64120L10,NTAP,NETWORK APPLIANCE INC,,NTAP,,Q,A,R,14152,19072,3,3572,64110D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,70.000,9.000,60.500,67.234,66.375,13215151.000,0.037109,66.375,66.438,320845.000,1.000,1.000,60.766,33614.000,0.037109,-0.012,-0.012,0.011,0.011,-0.011
82598,2001/01/05,,11,3,7370,64120L10,NTAP,NETWORK APPLIANCE INC,,NTAP,,Q,A,R,14152,19072,3,3572,64110D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,69.000,9.000,54.312,66.000,54.625,10814346.000,-0.177024,54.625,54.625,320845.000,1.000,1.000,64.812,34800.000,-0.177024,-0.029,-0.029,-0.009,-0.009,-0.026
82598,2001/01/08,,11,3,7370,64120L10,NTAP,NETWORK APPLIANCE INC,,NTAP,,Q,A,R,14152,19072,3,3572,64110D10,,,,,,,,,,,,,,,,,,,,,,,,,48.188,55.938,55.938,11947961.000,0.024027,55.875,55.875,320845.000,1.000,1.000,53.062,36158.000,0.024027,-0.003,-0.004,-0.005,-0.005,-0.002
82598,2001/01/09,,11,3,7370,64120L10,NTAP,NETWORK APPLIANCE INC,,NTAP,,Q,A,R,14152,19072,3,3572,64110D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,68.000,9.000,50.000,57.750,51.250,14806100.000,-0.083799,51.188,51.312,320845.000,1.000,1.000,55.938,44057.000,-0.083799,0.005,0.005,0.012,0.012,0.004
82598,2001/01/10,,11,3,7370,64120L10,NTAP,NETWORK APPLIANCE INC,,NTAP,,Q,A,R,14152,19072,3,3572,64110D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,69.000,9.000,47.750,57.250,56.438,16339189.000,0.101220,56.375,56.438,320845.000,1.000,1.000,49.375,47901.000,0.101220,0.014,0.014,0.021,0.020,0.010
82598,2001/01/11,,11,3,7370,64120L10,NTAP,NETWORK APPLIANCE INC,,NTAP,,Q,A,R,14152,19072,3,3572,64110D10,,,,,,,,,,,,,,,,,,,,,,,,,54.562,63.812,60.438,13480875.000,0.070875,60.438,60.500,320845.000,1.000,1.000,55.000,40437.000,0.070875,0.015,0.015,0.027,0.027,0.010
82598,2001/01/12,,11,3,7370,64120L10,NTAP,NETWORK APPLIANCE INC,,NTAP,,Q,A,R,14152,19072,3,3572,64110D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,68.000,9.000,56.125,61.125,58.125,11463669.000,-0.038263,58.188,58.250,320845.000,1.000,1.000,59.500,32954.000,-0.038263,-0.004,-0.004,0.019,0.019,-0.006
82598,2001/01/16,,11,3,7370,64120L10,NTAP,NETWORK APPLIANCE INC,,NTAP,,Q,A,R,14152,19072,3,3572,64110D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,56.125,60.188,58.125,6817438.000,0.000000,58.125,58.188,320845.000,1.000,1.000,58.188,20376.000,0.000000,0.006,0.006,0.019,0.019,0.006
