PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
44206,2001/01/02,,11,1,4911,66439710,NU,NORTHEAST UTILITIES,,,,N,A,R,21299,0,1,4932,30040W10,,,,,,,,,,,,,,,,,,,,,,,,,23.312,24.000,23.562,494500.000,-0.028351,,,148670.000,1.000,1.000,24.000,,-0.028351,-0.034,-0.034,-0.001,-0.001,-0.028
44206,2001/01/03,,11,1,4911,66439710,NU,NORTHEAST UTILITIES,,,,N,A,R,21299,0,1,4932,30040W10,,,,,,,,,,,,,,,,,,,,,,,,,23.000,24.188,23.000,388500.000,-0.023873,,,148670.000,1.000,1.000,23.688,,-0.023873,0.053,0.053,0.046,0.046,0.050
44206,2001/01/04,,11,1,4911,66439710,NU,NORTHEAST UTILITIES,,,,N,A,R,21299,0,1,4932,30040W10,,,,,,,,,,,,,,,,,,,,,,,,,21.750,22.875,22.125,573100.000,-0.038043,,,148670.000,1.000,1.000,22.750,,-0.038043,-0.012,-0.012,0.011,0.011,-0.011
44206,2001/01/05,,11,1,4911,66439710,NU,NORTHEAST UTILITIES,,,,N,A,R,21299,0,1,4932,30040W10,,,,,,,,,,,,,,,,,,,,,,,,,21.875,22.125,22.000,369200.000,-0.005650,,,148670.000,1.000,1.000,22.125,,-0.005650,-0.029,-0.029,-0.009,-0.009,-0.026
44206,2001/01/08,,11,1,4911,66439710,NU,NORTHEAST UTILITIES,,,,N,A,R,21299,0,1,4932,30040W10,,,,,,,,,,,,,,,,,,,,,,,,,21.875,22.375,22.375,101300.000,0.017045,,,148670.000,1.000,1.000,21.875,,0.017045,-0.003,-0.004,-0.005,-0.005,-0.002
44206,2001/01/09,,11,1,4911,66439710,NU,NORTHEAST UTILITIES,,,,N,A,R,21299,0,1,4932,30040W10,,,,,,,,,,,,,,,,,,,,,,,,,22.000,22.938,22.938,268700.000,0.025140,,,148670.000,1.000,1.000,22.375,,0.025140,0.005,0.005,0.012,0.012,0.004
44206,2001/01/10,,11,1,4911,66439710,NU,NORTHEAST UTILITIES,,,,N,A,R,21299,0,1,4932,30040W10,,,,,,,,,,,,,,,,,,,,,,,,,22.750,23.000,22.812,112500.000,-0.005450,,,148670.000,1.000,1.000,22.875,,-0.005450,0.014,0.014,0.021,0.020,0.010
44206,2001/01/11,,11,1,4911,66439710,NU,NORTHEAST UTILITIES,,,,N,A,R,21299,0,1,4932,30040W10,,,,,,,,,,,,,,,,,,,,,,,,,22.312,23.000,22.375,202100.000,-0.019178,,,148670.000,1.000,1.000,23.000,,-0.019178,0.015,0.015,0.027,0.027,0.010
44206,2001/01/12,,11,1,4911,66439710,NU,NORTHEAST UTILITIES,,,,N,A,R,21299,0,1,4932,30040W10,,,,,,,,,,,,,,,,,,,,,,,,,22.375,22.812,22.688,386300.000,0.013966,,,148670.000,1.000,1.000,22.438,,0.013966,-0.004,-0.004,0.019,0.019,-0.006
44206,2001/01/16,,11,1,4911,66439710,NU,NORTHEAST UTILITIES,,,,N,A,R,21299,0,1,4932,30040W10,,,,,,,,,,,,,,,,,,,,,,,,,21.938,22.688,22.375,281600.000,-0.013774,,,148670.000,1.000,1.000,22.688,,-0.013774,0.006,0.006,0.019,0.019,0.006
