PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
75573,2001/01/02,,11,1,5943,67622010,ODP,OFFICE DEPOT INC,,,,N,A,R,9798,26335,3,5940,67622010,,,,,,,,,,,,,,,,,,,,,,,,,7.125,7.688,7.312,3028600.000,0.026316,,,305672.000,1.000,1.000,7.125,,0.026316,-0.034,-0.034,-0.001,-0.001,-0.028
75573,2001/01/03,,11,1,5943,67622010,ODP,OFFICE DEPOT INC,,,,N,A,R,9798,26335,3,5940,67622010,,,,,,,,,,,,,,,,,,,,,,,,,7.312,8.125,8.125,4966600.000,0.111111,,,305672.000,1.000,1.000,7.312,,0.111111,0.053,0.053,0.046,0.046,0.050
75573,2001/01/04,,11,1,5943,67622010,ODP,OFFICE DEPOT INC,,,,N,A,R,9798,26335,3,5940,67622010,,,,,,,,,,,,,,,,,,,,,,,,,7.688,8.062,8.000,4403400.000,-0.015385,,,305672.000,1.000,1.000,8.000,,-0.015385,-0.012,-0.012,0.011,0.011,-0.011
75573,2001/01/05,,11,1,5943,67622010,ODP,OFFICE DEPOT INC,,,,N,A,R,9798,26335,3,5940,67622010,,,,,,,,,,,,,,,,,,,,,,,,,7.938,8.500,8.125,2433800.000,0.015625,,,305672.000,1.000,1.000,7.938,,0.015625,-0.029,-0.029,-0.009,-0.009,-0.026
75573,2001/01/08,,11,1,5943,67622010,ODP,OFFICE DEPOT INC,,,,N,A,R,9798,26335,3,5940,67622010,,,,,,,,,,,,,,,,,,,,,,,,,7.875,8.188,8.000,1545800.000,-0.015385,,,305672.000,1.000,1.000,8.000,,-0.015385,-0.003,-0.004,-0.005,-0.005,-0.002
75573,2001/01/09,,11,1,5943,67622010,ODP,OFFICE DEPOT INC,,,,N,A,R,9798,26335,3,5940,67622010,,,,,,,,,,,,,,,,,,,,,,,,,7.812,8.125,8.000,982500.000,0.000000,,,305672.000,1.000,1.000,8.062,,0.000000,0.005,0.005,0.012,0.012,0.004
75573,2001/01/10,,11,1,5943,67622010,ODP,OFFICE DEPOT INC,,,,N,A,R,9798,26335,3,5940,67622010,,,,,,,,,,,,,,,,,,,,,,,,,7.688,8.062,7.750,2519200.000,-0.031250,,,305672.000,1.000,1.000,8.000,,-0.031250,0.014,0.014,0.021,0.020,0.010
75573,2001/01/11,,11,1,5943,67622010,ODP,OFFICE DEPOT INC,,,,N,A,R,9798,26335,3,5940,67622010,,,,,,,,,,,,,,,,,,,,,,,,,7.688,8.188,8.062,3559000.000,0.040323,,,305672.000,1.000,1.000,7.750,,0.040323,0.015,0.015,0.027,0.027,0.010
75573,2001/01/12,,11,1,5943,67622010,ODP,OFFICE DEPOT INC,,,,N,A,R,9798,26335,3,5940,67622010,,,,,,,,,,,,,,,,,,,,,,,,,7.812,8.062,8.000,2493800.000,-0.007752,,,305672.000,1.000,1.000,8.062,,-0.007752,-0.004,-0.004,0.019,0.019,-0.006
75573,2001/01/16,,11,1,5943,67622010,ODP,OFFICE DEPOT INC,,,,N,A,R,9798,26335,3,5940,67622010,,,,,,,,,,,,,,,,,,,,,,,,,8.250,8.875,8.812,5847300.000,0.101563,,,305672.000,1.000,1.000,8.312,,0.101563,0.006,0.006,0.019,0.019,0.006
