PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
87800,2001/01/02,,11,3,3570,69664210,PALM,PALM INC,,PALM,,Q,A,R,18342,23562,3,3570,69664310,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,79.000,9.000,23.000,28.875,23.750,16664573.000,-0.161148,23.750,23.750,566450.000,0.170,0.100,28.750,25798.000,-0.161148,-0.034,-0.034,-0.001,-0.001,-0.028
87800,2001/01/03,,11,3,3570,69664210,PALM,PALM INC,,PALM,,Q,A,R,18342,23562,3,3570,69664310,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,78.000,9.000,22.500,28.062,27.875,21372780.000,0.173684,27.938,28.000,566450.000,0.170,0.100,22.938,30591.000,0.173684,0.053,0.053,0.046,0.046,0.050
87800,2001/01/04,,11,3,3570,69664210,PALM,PALM INC,,PALM,,Q,A,R,18342,23562,3,3570,69664310,,,,,,,,,,,,,,,,,,,,,,,,,27.031,31.812,28.000,18139579.000,0.004484,27.938,28.000,566450.000,0.170,0.100,28.312,34061.000,0.004484,-0.012,-0.012,0.011,0.011,-0.011
87800,2001/01/05,,11,3,3570,69664210,PALM,PALM INC,,PALM,,Q,A,R,18342,23562,3,3570,69664310,,,,,,,,,,,,,,,,,,,,,,,,,23.750,29.500,24.312,15903287.000,-0.131696,24.250,24.312,566450.000,0.170,0.100,29.438,28134.000,-0.131696,-0.029,-0.029,-0.009,-0.009,-0.026
87800,2001/01/08,,11,3,3570,69664210,PALM,PALM INC,,PALM,,Q,A,R,18342,23562,3,3570,69664310,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,77.000,9.000,22.641,25.500,24.625,10015908.000,0.012853,24.562,24.625,566450.000,0.170,0.100,25.062,19181.000,0.012853,-0.003,-0.004,-0.005,-0.005,-0.002
87800,2001/01/09,,11,3,3570,69664210,PALM,PALM INC,,PALM,,Q,A,R,18342,23562,3,3570,69664310,,,,,,,,,,,,,,,,,,,,,,,,,23.750,25.500,24.250,10504977.000,-0.015228,24.188,24.250,566450.000,0.170,0.100,25.125,16515.000,-0.015228,0.005,0.005,0.012,0.012,0.004
87800,2001/01/10,,11,3,3570,69664210,PALM,PALM INC,,PALM,,Q,A,R,18342,23562,3,3570,69664310,,,,,,,,,,,,,,,,,,,,,,,,,23.000,24.750,24.312,14127540.000,0.002577,24.312,24.375,566450.000,0.170,0.100,23.750,19256.000,0.002577,0.014,0.014,0.021,0.020,0.010
87800,2001/01/11,,11,3,3570,69664210,PALM,PALM INC,,PALM,,Q,A,R,18342,23562,3,3570,69664310,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,78.000,9.000,24.000,27.250,26.000,17727286.000,0.069409,26.000,26.062,566450.000,0.170,0.100,24.125,21664.000,0.069409,0.015,0.015,0.027,0.027,0.010
87800,2001/01/12,,11,3,3570,69664210,PALM,PALM INC,,PALM,,Q,A,R,18342,23562,3,3570,69664310,,,,,,,,,,,,,,,,,,,,,,,,,26.000,27.875,27.562,14300567.000,0.060096,27.500,27.562,566450.000,0.170,0.100,26.812,16515.000,0.060096,-0.004,-0.004,0.019,0.019,-0.006
87800,2001/01/16,,11,3,3570,69664210,PALM,PALM INC,,PALM,,Q,A,R,18342,23562,3,3570,69664310,,,,,,,,,,,,,,,,,,,,,,,,,24.875,28.438,26.562,14066207.000,-0.036281,26.500,26.562,566450.000,0.170,0.100,27.250,20557.000,-0.036281,0.006,0.006,0.019,0.019,0.006
