PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
17806,2001/01/02,,11,1,3331,71726510,PD,PHELPS DODGE CORP,,,,N,A,R,22806,0,1,3331,71726510,,,,,,,,,,,,,,,,,,,,,,,,,52.875,55.688,52.938,1161000.000,-0.051512,,,78721.000,2.000,2.000,55.125,,-0.051512,-0.034,-0.034,-0.001,-0.001,-0.028
17806,2001/01/03,,11,1,3331,71726510,PD,PHELPS DODGE CORP,,,,N,A,R,22806,0,1,3331,71726510,,,,,,,,,,,,,,,,,,,,,,,,,49.812,53.500,53.500,4648600.000,0.010626,,,78721.000,2.000,2.000,51.625,,0.010626,0.053,0.053,0.046,0.046,0.050
17806,2001/01/04,,11,1,3331,71726510,PD,PHELPS DODGE CORP,,,,N,A,R,22806,0,1,3331,71726510,,,,,,,,,,,,,,,,,,,,,,,,,53.562,55.250,54.688,1115100.000,0.022196,,,78721.000,2.000,2.000,53.562,,0.022196,-0.012,-0.012,0.011,0.011,-0.011
17806,2001/01/05,,11,1,3331,71726510,PD,PHELPS DODGE CORP,,,,N,A,R,22806,0,1,3331,71726510,,,,,,,,,,,,,,,,,,,,,,,,,53.312,54.688,54.062,829300.000,-0.011429,,,78721.000,2.000,2.000,54.688,,-0.011429,-0.029,-0.029,-0.009,-0.009,-0.026
17806,2001/01/08,,11,1,3331,71726510,PD,PHELPS DODGE CORP,,,,N,A,R,22806,0,1,3331,71726510,,,,,,,,,,,,,,,,,,,,,,,,,53.062,55.188,53.312,733800.000,-0.013873,,,78721.000,2.000,2.000,53.750,,-0.013873,-0.003,-0.004,-0.005,-0.005,-0.002
17806,2001/01/09,,11,1,3331,71726510,PD,PHELPS DODGE CORP,,,,N,A,R,22806,0,1,3331,71726510,,,,,,,,,,,,,,,,,,,,,,,,,51.500,53.188,51.500,954800.000,-0.033998,,,78721.000,2.000,2.000,53.188,,-0.033998,0.005,0.005,0.012,0.012,0.004
17806,2001/01/10,,11,1,3331,71726510,PD,PHELPS DODGE CORP,,,,N,A,R,22806,0,1,3331,71726510,,,,,,,,,,,,,,,,,,,,,,,,,50.312,51.438,51.312,748600.000,-0.003641,,,78721.000,2.000,2.000,51.188,,-0.003641,0.014,0.014,0.021,0.020,0.010
17806,2001/01/11,,11,1,3331,71726510,PD,PHELPS DODGE CORP,,,,N,A,R,22806,0,1,3331,71726510,,,,,,,,,,,,,,,,,,,,,,,,,48.000,51.125,48.875,1294500.000,-0.047503,,,78721.000,2.000,2.000,51.125,,-0.047503,0.015,0.015,0.027,0.027,0.010
17806,2001/01/12,,11,1,3331,71726510,PD,PHELPS DODGE CORP,,,,N,A,R,22806,0,1,3331,71726510,,,,,,,,,,,,,,,,,,,,,,,,,47.812,49.000,48.062,759900.000,-0.016624,,,78721.000,2.000,2.000,48.875,,-0.016624,-0.004,-0.004,0.019,0.019,-0.006
17806,2001/01/16,,11,1,3331,71726510,PD,PHELPS DODGE CORP,,,,N,A,R,22806,0,1,3331,71726510,,,,,,,,,,,,,,,,,,,,,,,,,47.250,49.688,49.312,1000400.000,0.026008,,,78721.000,2.000,2.000,48.188,,0.026008,0.006,0.006,0.019,0.019,0.006
