PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
92602,2008/03/31,2008/04/24,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,0.000,21.000,211.000,,,,,,,,,,,,,,,50.000,54.700,50.580,19414200.000,C,50.350,50.580,2108301.000,1.000,1.000,52.400,,C,0.005,0.005,0.005,0.005,0.006
92602,2008/04/01,,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,,21.000,211.000,,,,,,,,,,,,,,,49.010,52.190,50.580,23322900.000,0.000000,50.570,50.580,2108301.000,1.000,1.000,51.100,,0.000000,0.032,0.032,0.021,0.021,0.036
92602,2008/04/02,,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,,21.000,211.000,,,,,,,,,,,,,,,50.150,52.070,51.210,12944600.000,0.012455,51.230,51.290,2108301.000,1.000,1.000,51.160,,0.012455,0.000,0.000,0.003,0.003,-0.002
92602,2008/04/03,,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,,21.000,211.000,,,,,,,,,,,,,,,50.400,51.500,51.050,12439100.000,-0.003124,51.000,51.010,2108301.000,1.000,1.000,51.000,,-0.003124,0.003,0.003,0.002,0.002,0.001
92602,2008/04/04,,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,,21.000,211.000,,,,,,,,,,,,,,,50.800,51.480,51.370,6651200.000,0.006268,51.330,51.370,2108301.000,1.000,1.000,51.480,,0.006268,0.002,0.002,0.003,0.003,0.001
92602,2008/04/07,,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,,21.000,211.000,,,,,,,,,,,,,,,50.500,51.600,50.670,7099400.000,-0.013627,50.600,50.640,2108301.000,1.000,1.000,51.600,,-0.013627,0.002,0.002,0.002,0.002,0.002
92602,2008/04/08,,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,,21.000,211.000,,,,,,,,,,,,,,,50.210,51.010,50.600,8283300.000,-0.001381,50.560,50.570,2108301.000,1.000,1.000,50.410,,-0.001381,-0.003,-0.003,-0.003,-0.003,-0.005
92602,2008/04/09,,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,,21.000,211.000,,,,,,,,,,,,,,,49.150,50.590,49.380,8916700.000,-0.024111,49.420,49.580,2108301.000,1.000,1.000,50.500,,-0.024111,-0.009,-0.009,-0.011,-0.012,-0.008
92602,2008/04/10,,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,,21.000,211.000,,,,,,,,,,,,,,,48.500,49.910,48.660,14323000.000,-0.014581,48.680,48.700,2108301.000,1.000,1.000,49.490,,-0.014581,0.006,0.005,0.005,0.005,0.004
92602,2008/04/11,,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,,21.000,211.000,,,,,,,,,,,,,,,48.080,48.890,48.330,11406100.000,-0.006782,48.360,48.380,2108301.000,1.000,1.000,48.490,,-0.006782,-0.020,-0.020,-0.016,-0.016,-0.020
92602,2008/04/14,,11,1,2111,71817210,PM,PHILIP MORRIS INTERNATIONAL INC,,PM,,N,A,R,52978,0,1,2111,71817210,,,,,,,,,21.000,211.000,,,,,,,,,,,,,,,47.430,48.350,48.000,11532800.000,-0.006828,48.000,48.010,2108301.000,1.000,1.000,48.300,,-0.006828,-0.003,-0.003,-0.004,-0.004,-0.003
